accession	gene	tier	n_chain_features	chain_features	master_ranges_union	length
Q8IWU6	SULF1	2	2	PRO_0000033434 'Extracellular sulfatase Sulf-1' 23-871 | PRO_0000457756 'Extracellular sulfatase Sulf-2 secreted form' 545-870	23-871	871
Q8NHP8	PLBD2	2	3	PRO_0000286110 'Putative aminopeptidase PLBD2' 42-589 | PRO_0000314074 'Putative aminopeptidase PLBD2 32 kDa form' 42-243 | PRO_0000314075 'Putative aminopeptidase PLBD2 45 kDa form' 244-589	42-589	589
Q96AG4	LRRC59	2	2	PRO_0000235159 'Leucine-rich repeat-containing protein 59' 1-307 | PRO_0000441739 'Leucine-rich repeat-containing protein 59, N-terminally processed' 2-307	1-307	307
Q96QA5	GSDMA	2	3	PRO_0000148173 'Gasdermin-A' 1-445 | PRO_0000451664 'Gasdermin-A, N-terminal' 1-246 | PRO_0000451665 'Gasdermin-A, C-terminal' 247-445	1-445	445
Q99832	CCT7	2	2	PRO_0000128365 'T-complex protein 1 subunit eta' 1-543 | PRO_0000434391 'T-complex protein 1 subunit eta, N-terminally processed' 2-543	1-543	543
Q99972	MYOC	2	3	PRO_0000020084 'Myocilin' 33-504 | PRO_0000428749 'Myocilin, N-terminal fragment' 33-226 | PRO_0000428750 'Myocilin, C-terminal fragment' 227-504	33-504	504
Q9BQE3	TUBA1C	2	2	PRO_0000048112 'Tubulin alpha-1C chain' 1-449 | PRO_0000437394 'Detyrosinated tubulin alpha-1C chain' 1-448	1-449	449
Q9BR39	JPH2	1	2	PRO_0000159847 'Junctophilin-2' 1-696 | PRO_0000446375 'Junctophilin-2 N-terminal fragment' 1-572	1-696	696
Q9BV86	NTMT1	2	2	PRO_0000423228 'N-terminal Xaa-Pro-Lys N-methyltransferase 1' 1-223 | PRO_0000119288 'N-terminal Xaa-Pro-Lys N-methyltransferase 1, N-terminally processed' 2-223	1-223	223
Q9GZS3	SKIC8	2	2	PRO_0000425748 'Superkiller complex protein 8' 1-305 | PRO_0000245851 'Superkiller complex protein 8, N-terminally processed' 2-305	1-305	305
Q9H078	CLPB	2	2	PRO_0000191239 'Mitochondrial disaggregase' 37-707 | PRO_0000458241 'Mitochondrial disaggregase, cleaved form' 127-707	37-707	707
Q9H3P7	ACBD3	2	2	PRO_0000436449 'Golgi resident protein GCP60' 1-528 | PRO_0000214029 'Golgi resident protein GCP60, N-terminally processed' 2-528	1-528	528
Q9H583	HEATR1	2	2	PRO_0000424485 'HEAT repeat-containing protein 1' 1-2144 | PRO_0000186201 'HEAT repeat-containing protein 1, N-terminally processed' 2-2144	1-2144	2144
Q9H7Z7	PTGES2	2	2	PRO_0000013127 'Prostaglandin E synthase 2' 1-377 | PRO_0000013128 'Prostaglandin E synthase 2 truncated form' 88-377	1-377	377
Q9NPJ3	ACOT13	2	2	PRO_0000156697 'Acyl-coenzyme A thioesterase 13' 1-140 | PRO_0000424501 'Acyl-coenzyme A thioesterase 13, N-terminally processed' 2-140	1-140	140
Q9NR28	DIABLO	2	2	PRO_0000458409 'Diablo IAP-binding mitochondrial protein' 22-239 | PRO_0000021072 'Diablo IAP-binding mitochondrial protein, cleaved form' 56-239	22-239	239
Q9NY65	TUBA8	2	2	PRO_0000048113 'Tubulin alpha-8 chain' 1-449 | PRO_0000456434 'Dephenylalaninated tubulin alpha-8 chain' 1-448	1-449	449
Q9UBE0	SAE1	2	2	PRO_0000194966 'SUMO-activating enzyme subunit 1' 1-346 | PRO_0000423290 'SUMO-activating enzyme subunit 1, N-terminally processed' 2-346	1-346	346
Q9UG56	PISD	2	3	PRO_0000435571 'Phosphatidylserine decarboxylase proenzyme, mitochondrial' 53-409 | PRO_0000029835 'Phosphatidylserine decarboxylase beta chain' 53-377 | PRO_0000029836 'Phosphatidylserine decarboxylase alpha chain' 378-409	53-409	409
Q9UIQ6	LNPEP	2	2	PRO_0000095114 'Leucyl-cystinyl aminopeptidase' 1-1025 | PRO_0000292264 'Leucyl-cystinyl aminopeptidase, pregnancy serum form' 155-1025	1-1025	1025
Q9UJ14	GGT7	2	2	PRO_0000011066 'Glutathione hydrolase 7 heavy chain' 1-472 | PRO_0000011067 'Glutathione hydrolase 7 light chain' 473-662	1-662	662
Q9UK76	JPT1	2	2	PRO_0000424487 'Jupiter microtubule associated homolog 1' 1-154 | PRO_0000054918 'Jupiter microtubule associated homolog 1, N-terminally processed' 2-154	1-154	154
Q9UNH7	SNX6	2	2	PRO_0000423277 'Sorting nexin-6' 1-406 | PRO_0000213846 'Sorting nexin-6, N-terminally processed' 2-406	1-406	406
Q9Y2J2	EPB41L3	2	2	PRO_0000219399 'Band 4.1-like protein 3' 1-1087 | PRO_0000423194 'Band 4.1-like protein 3, N-terminally processed' 2-1087	1-1087	1087
