# GENERATED by mass_fractions.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-13T06:13:33Z
# dataset     = data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx sha256 223f875331e1b0de0e97ad80a2a8149932a160be4183f573bbb2908d30210d2a
# accessions  = config/accessions.ini sha256 0daa4a1a963f50ff171818212aae17cdf151d51b5a9ca66d35bb8366668efd27
# composition = outputs/composition/amino_acid_composition_per_protein.tsv sha256 697d977bbeec7e47388c1f272690310c061b5c6685fb7a4c9e6cc11b7297454b
# rules       = B0-B8, D31 (within-tier), D47 (summed rows), D48 (shared rows), D58 (combined)
# header_whitespace_stripped_for = ['Median 1', 'Standard deviation 1', 'Median 2A', 'Standard deviation 2A', 'Median 2X', 'Standard deviation 2X']
row_index	gene_cell	n_members	members_in_pool	v_I	v_IIa	v_IIx	outcome
3187	SMAD2;SMAD3;SMAD9	3	SMAD2;SMAD3;SMAD9	32.81925869	9.246940613	11.04440308	shared_split I:SMAD2=0.333,SMAD3=0.333,SMAD9=0.333 IIa:SMAD2=0.333,SMAD3=0.333,SMAD9=0.333 IIx:SMAD2=0.333,SMAD3=0.333,SMAD9=0.333
3189	SMAP;C11orf58	2	SMAP;C11orf58	24.94434547	18.39813232	13.88487911	shared_split I:SMAP=0.500,C11orf58=0.500 IIa:SMAP=0.500,C11orf58=0.500 IIx:SMAP=0.500,C11orf58=0.500
3219	SNRPB;SNRPN	2	SNRPB;SNRPN	4.690781593	3.138663173	2.009027243	shared_split I:SNRPB=0.500,SNRPN=0.500 IIa:SNRPB=0.500,SNRPN=0.500 IIx:SNRPB=0.500,SNRPN=0.500
3227	SNRPG;SNRPGP15	2	SNRPG;SNRPGP15	0	126.2177963	418.1211548	shared_split I:SNRPG=0.500,SNRPGP15=0.500 IIa:SNRPG=0.500,SNRPGP15=0.500 IIx:SNRPG=0.500,SNRPGP15=0.500
3262	SPECC1L;SPECC1L-ADORA2A	2	SPECC1L	3.370322227	6.203711033	5.336620808	shared_group:SPECC1L
3269	SPRR1B;SPRR1A	2	SPRR1B;SPRR1A	85.23306656	12.25243855	40.89170742	shared_split I:SPRR1B=0.500,SPRR1A=0.500 IIa:SPRR1B=0.500,SPRR1A=0.500 IIx:SPRR1B=0.500,SPRR1A=0.500
3308	ST13;ST13P5;ST13P4	3	ST13;ST13P5;ST13P4	134.7716675	284.6523285	466.0793762	shared_split I:ST13=0.333,ST13P5=0.333,ST13P4=0.333 IIa:ST13=0.333,ST13P5=0.333,ST13P4=0.333 IIx:ST13=0.333,ST13P5=0.333,ST13P4=0.333
3311	STAG1;DKFZp781D1416	2		10.64761782	2.984736443	12.10736656	ignored:no_member_in_pool
3318	STAT5B;STAT5A	2	STAT5B;STAT5A	3.375214338	5.400791645	3.603180051	shared_split I:STAT5B=0.500,STAT5A=0.500 IIa:STAT5B=0.500,STAT5A=0.500 IIx:STAT5B=0.500,STAT5A=0.500
3381	SYNJ2BP;SYNJ2BP-COX16	2	SYNJ2BP	47.6697998	35.29859352	32.65410995	shared_group:SYNJ2BP
3464	TIMM23;TIMM23B	2	TIMM23;TIMM23B	6.944065094	13.85691118	0	shared_split I:TIMM23=0.500,TIMM23B=0.500 IIa:TIMM23=0.500,TIMM23B=0.500 IIx:TIMM23=0.500,TIMM23B=0.500
3492	TMED7;TMED7-TICAM2	2	TMED7	6.389898777	15.25699329	17.33390999	shared_group:TMED7
3496	TMEM120A;TMPIT	2	TMEM120A;TMPIT	7.280451775	2.372507572	4.102928638	shared_split I:TMEM120A=0.500,TMPIT=0.500 IIa:TMEM120A=0.500,TMPIT=0.500 IIx:TMEM120A=0.500,TMPIT=0.500
3535	TNNT2;HNTN1	2	TNNT2	3.301280081	5.333713055	10.03249645	shared_group:TNNT2
3582	TPSAB1;TPSB2	2	TPSAB1;TPSB2	18.57561302	5.838545442	0	shared_split I:TPSAB1=0.500,TPSB2=0.500 IIa:TPSAB1=0.500,TPSB2=0.500 IIx:TPSAB1=0.500,TPSB2=0.500
3590	TRAPPC12;CGI-87	2	TRAPPC12	0.4016086757	3.537909746	27.45755577	shared_group:TRAPPC12
3620	TSNAX;DISC1	2	TSNAX;DISC1	15.01357317	3.947387934	74.26465273	shared_split I:TSNAX=0.500,DISC1=0.500 IIa:TSNAX=0.500,DISC1=0.500 IIx:TSNAX=0.500,DISC1=0.500
3647	TUBG1;TUBG2	2	TUBG1;TUBG2	2.885872245	3.710102558	1.764817238	shared_split I:TUBG1=0.500,TUBG2=0.500 IIa:TUBG1=0.500,TUBG2=0.500 IIx:TUBG1=0.500,TUBG2=0.500
3676	UBE2D1;UBE2D4	2	UBE2D1;UBE2D4	54.30799484	197.6782684	216.288826	shared_split I:UBE2D1=0.500,UBE2D4=0.500 IIa:UBE2D1=0.500,UBE2D4=0.500 IIx:UBE2D1=0.500,UBE2D4=0.500
3677	UBE2D3;UBE2D2	2	UBE2D3;UBE2D2	24.33434486	35.90962791	74.84322357	shared_split I:UBE2D3=0.500,UBE2D2=0.500 IIa:UBE2D3=0.500,UBE2D2=0.500 IIx:UBE2D3=0.500,UBE2D2=0.500
3680	UBE2L3;hCG_1789329	2	UBE2L3	43.47268295	80.83649063	68.25788116	shared_group:UBE2L3
3682	UBE2N;UBE2NL	2	UBE2N;UBE2NL	34.80491734	135.5018921	139.9799194	shared_split I:UBE2N=0.500,UBE2NL=0.500 IIa:UBE2N=0.500,UBE2NL=0.500 IIx:UBE2N=0.500,UBE2NL=0.500
3683	UBE2V1;TMEM189-UBE2V1	2	UBE2V1	787.2755737	557.9994202	226.0953064	shared_group:UBE2V1
3723	UQCRFS1;UQCRFS1P1	2	UQCRFS1;UQCRFS1P1	4934.338867	4347.389648	2542.848389	shared_split I:UQCRFS1=0.500,UQCRFS1P1=0.500 IIa:UQCRFS1=0.500,UQCRFS1P1=0.500 IIx:UQCRFS1=0.500,UQCRFS1P1=0.500
3724	UQCRH;UQCRHL	2	UQCRH;UQCRHL	1648.992065	1280.175903	663.3529053	shared_split I:UQCRH=0.500,UQCRHL=0.500 IIa:UQCRH=0.500,UQCRHL=0.500 IIx:UQCRH=0.500,UQCRHL=0.500
3744	VAMP2;VAMP3	2	VAMP2;VAMP3	0	22.12047577	13.14295292	shared_split I:VAMP2=0.000,VAMP3=1.000 IIa:VAMP2=0.000,VAMP3=1.000 IIx:VAMP2=0.000,VAMP3=1.000
3840	ZAK;pk	2	ZAK	6.27156353	13.49562931	22.15312338	shared_group:ZAK
