# Generated by pipeline/digest.py — DO NOT EDIT BY HAND
# generated = 2026-09-13T04:25:20Z
# digest = trypsin; cleave_after=KR; cleave_before_proline=both; length 6-30; missed_cleavages=0; source=Schwanhausser et al. 2011 (B4), Methods, iBAQ definition, as restated in Nature Sci Data 2018;5:180128 (doi 10.1038/sdata.2018.128): "theoretically observable tryptic peptides between 6 and 30 amino acids". Proline rule not stated in A1 Methods; both computed, difference disclosed (D49).
rank	accession	gene	tier	length	mw_full	n_peptides	peptides_per_kDa	n_peptides_trypsin_P	n_peptides_trypsin	proline_rule_rel_diff	robust_z
913	Q86TP1	PRUNE1	2	453	50198.8	23	0.458179	23	21	0.0869565	-0.727291
914	P19429	TNNI3	1	210	24007.1	11	0.458197	11	11	0	-0.727089
915	A0A1B0GWK0	PVALEF	1	134	15275.1	7	0.458262	7	7	0	-0.726363
916	Q5XKP0	MICOS13	2	118	13087.1	6	0.458468	6	6	0	-0.724076
917	Q6P4A8	PLBD1	2	553	63254	29	0.458469	29	23	0.206897	-0.724068
918	P68363	TUBA1B	2	451	50151	23	0.458615	23	22	0.0434783	-0.722451
919	Q8NE71	ABCF1	2	845	95924.5	44	0.458694	44	45	-0.0227273	-0.721569
920	Q71U36	TUBA1A	2	451	50135	23	0.458761	23	22	0.0434783	-0.720827
921	Q86WC6	PPP1R27	2	154	17437.5	8	0.458783	8	8	0	-0.720588
922	Q15661	TPSAB1	2	275	30514.7	14	0.458796	14	13	0.0714286	-0.720438
923	Q10567	AP1B1	2	949	104605	48	0.458868	48	47	0.0208333	-0.719634
924	Q9UHG3	PCYOX1	2	505	56639.4	26	0.459045	26	26	0	-0.717679
925	P02748	C9	2	559	63172.7	29	0.459059	29	29	0	-0.717519
926	Q9H8H3	TMT1A	2	244	28318.7	13	0.45906	13	12	0.0769231	-0.717509
927	P63010	AP2B1	2	937	104551	48	0.459106	48	47	0.0208333	-0.717001
928	Q9NY65	TUBA8	2	449	50092.9	23	0.459147	23	22	0.0434783	-0.716545
929	A8K2U0	A2ML1	2	1454	161104	74	0.45933	74	68	0.0810811	-0.714514
930	Q15006	EMC2	2	297	34833	16	0.459335	16	16	0	-0.714454
931	O95169	NDUFB8	2	186	21765.5	10	0.459443	10	10	0	-0.713255
932	Q96GC5	MRPL48	2	212	23934.5	11	0.459588	11	11	0	-0.711642
933	Q8WXF1	PSPC1	2	523	58742.8	27	0.45963	27	25	0.0740741	-0.711175
934	Q14012	CAMK1	2	370	41336.5	19	0.459642	19	19	0	-0.711042
935	Q5T4S7	UBR4	2	5183	573832	264	0.460065	264	254	0.0378788	-0.706352
936	Q08209	PPP3CA	1	521	58687.1	27	0.460067	27	27	0	-0.706327
937	P08603	CFH	2	1231	139095	64	0.460117	64	65	-0.015625	-0.705776
938	Q96PE2	ARHGEF17	2	2063	221669	102	0.460146	102	97	0.0490196	-0.705455
939	Q14696	MESD	2	234	26076.3	12	0.460188	12	12	0	-0.704984
940	O95168	NDUFB4	2	129	15208.4	7	0.460273	7	8	-0.142857	-0.704036
941	Q14108	SCARB2	2	478	54289.5	25	0.460494	25	22	0.12	-0.701584
942	P16157	ANK1	1	1881	206262	95	0.46058	95	99	-0.0421053	-0.700631
943	Q06033	ITIH3	2	890	99848	46	0.4607	46	43	0.0652174	-0.699297
944	P68366	TUBA4A	2	448	49923.8	23	0.460702	23	22	0.0434783	-0.699276
945	O43776	NARS1	2	548	62942.2	29	0.46074	29	29	0	-0.698855
946	Q9C0E8	LNPK	2	428	47739.2	22	0.460837	22	22	0	-0.697778
947	P24821	TNC	2	2201	240851	111	0.460866	111	105	0.0540541	-0.697458
948	P12821	ACE	2	1306	149712	69	0.460884	69	62	0.101449	-0.697255
949	Q9BR76	CORO1B	2	489	54233.9	25	0.460966	25	23	0.08	-0.696347
950	Q9BQE3	TUBA1C	2	449	49894.7	23	0.460971	23	22	0.0434783	-0.696296
951	P62854	RPS26	2	115	13015.3	6	0.460996	6	6	0	-0.696015
952	Q9C0E2	XPO4	2	1151	130137	60	0.461052	60	59	0.0166667	-0.695395
953	Q8N684	CPSF7	2	471	52049.2	24	0.461102	24	24	0	-0.694832
954	Q8WY91	THAP4	2	577	62888.9	29	0.461131	29	28	0.0344828	-0.694521
955	Q05682	CALD1	1	793	93229.9	43	0.461225	43	44	-0.0232558	-0.693469
956	Q86TC9	MYPN	1	1320	145255	67	0.461258	67	64	0.0447761	-0.693104
957	Q9BUF5	TUBB6	2	446	49856.5	23	0.461324	23	22	0.0434783	-0.692373
958	O00264	PGRMC1	2	195	21670.8	10	0.46145	10	10	0	-0.690976
959	P49593	PPM1F	2	454	49830	23	0.46157	23	22	0.0434783	-0.689647
960	Q13153	PAK1	1	545	60646.1	28	0.461695	28	26	0.0714286	-0.688256
961	Q6ZUT9	DENND5B	2	1274	145018	67	0.462013	67	67	0	-0.684723
962	Q9UKK3	PARP4	2	1724	192592	89	0.462117	89	85	0.0449438	-0.683564
963	Q9BZV1	UBXN6	2	441	49752.9	23	0.462284	23	22	0.0434783	-0.681711
964	Q9Y463	DYRK1B	2	629	69196.7	32	0.46245	32	28	0.125	-0.679877
965	Q96GK7	FAHD2A	2	314	34595.8	16	0.462483	16	16	0	-0.679503
966	Q6UWP8	SBSN	2	590	60540	28	0.462504	28	28	0	-0.679272
967	O00757	FBP2	1	339	36742.7	17	0.462676	17	15	0.117647	-0.677358
968	Q9Y2H0	DLGAP4	2	992	108010	50	0.46292	50	48	0.04	-0.674659
969	Q15303	ERBB4	2	1308	146806	68	0.463195	68	65	0.0441176	-0.671604
970	Q13555	CAMK2G	2	558	62606.3	29	0.463212	29	28	0.0344828	-0.671408
971	Q5TGY3	AHDC1	2	1603	168347	78	0.463329	78	73	0.0641026	-0.67011
972	O00499	BIN1	1	593	64698.4	30	0.46369	30	30	0	-0.666108
973	Q9NZT2	OGFR	2	677	73323.7	34	0.463697	34	30	0.117647	-0.666023
974	Q01433	AMPD2	2	825	94888.7	44	0.463701	44	42	0.0454545	-0.66598
975	O43813	LANCL1	2	399	45282.5	21	0.463756	21	20	0.047619	-0.665379
976	P78406	RAE1	2	368	40967.6	19	0.463781	19	19	0	-0.665092
977	P62917	RPL8	2	257	28024.4	13	0.463881	13	14	-0.0769231	-0.66398
978	Q9BSJ8	ESYT1	2	1104	122854	57	0.463964	57	53	0.0701754	-0.663066
979	O15143	ARPC1B	2	372	40949.2	19	0.463989	19	19	0	-0.662784
980	O43815	STRN	2	780	86130.8	40	0.46441	40	38	0.05	-0.658111
981	P61158	ACTR3	2	418	47370.6	22	0.464423	22	21	0.0454545	-0.657966
982	Q8TCZ2	CD99L2	2	262	27985.5	13	0.464526	13	14	-0.0769231	-0.656825
983	Q96IX5	ATP5MK	2	58	6457.51	3	0.464576	3	3	0	-0.656273
984	Q9UI42	CPA4	2	421	47350.6	22	0.464619	22	20	0.0909091	-0.655789
985	O95671	ASMTL	2	621	68855.8	32	0.46474	32	31	0.03125	-0.654452
986	Q96GG9	DCUN1D1	2	259	30123.9	14	0.464748	14	13	0.0714286	-0.654365
987	Q5VW36	FOCAD	2	1801	200055	93	0.464873	93	87	0.0645161	-0.652975
988	Q7L523	RRAGA	2	313	36565.6	17	0.464918	17	17	0	-0.652476
989	Q8WX93	PALLD	1	1383	150561	70	0.464926	70	69	0.0142857	-0.652379
990	P49674	CSNK1E	2	416	47314.4	22	0.464974	22	22	0	-0.651848
991	Q9H6Z4	RANBP3	2	567	60209	28	0.465047	28	27	0.0357143	-0.65104
992	O43396	TXNL1	2	289	32251	15	0.465102	15	15	0	-0.650427
993	A2A2Y4	FRMD3	2	597	68771	32	0.465312	32	32	0	-0.648094
994	P54646	PRKAA2	2	552	62318.7	29	0.46535	29	29	0	-0.64768
995	O43290	SART1	2	800	90253.6	42	0.465355	42	43	-0.0238095	-0.647618
996	P84103	SRSF3	2	164	19329.4	9	0.465613	9	10	-0.111111	-0.644757
997	P04275	VWF	2	2813	309262	144	0.465625	144	144	0	-0.644626
998	Q8WU76	SCFD2	2	684	75126	35	0.465884	35	33	0.0571429	-0.64175
999	P12268	IMPDH2	2	514	55804.2	26	0.465914	26	25	0.0384615	-0.641411
1000	P05121	SERPINE1	2	402	45059.3	21	0.466052	21	20	0.047619	-0.639879
1001	Q53GQ0	HSD17B12	2	312	34323.8	16	0.466149	16	16	0	-0.638803
1002	P63000	RAC1	2	192	21449.9	10	0.466203	10	9	0.1	-0.638205
1003	P15153	RAC2	2	192	21428.5	10	0.466668	10	9	0.1	-0.633048
1004	Q8N0X7	SPART	2	666	72832.1	34	0.466827	34	32	0.0588235	-0.631278
1005	P08651	NFIC	2	508	55674.1	26	0.467004	26	22	0.153846	-0.62932
1006	Q8NC51	SERBP1	2	408	44964.9	21	0.467031	21	23	-0.0952381	-0.629014
1007	Q99523	SORT1	2	831	92066.5	43	0.467054	43	40	0.0697674	-0.62876
1008	Q9H074	PAIP1	2	479	53523.9	25	0.467081	25	22	0.12	-0.62846
1009	P78357	CNTNAP1	2	1384	156265	73	0.467156	73	64	0.123288	-0.627623
1010	P00387	CYB5R3	2	301	34234.3	16	0.467367	16	16	0	-0.625285
1011	Q9P0I2	EMC3	2	261	29951.5	14	0.467422	14	14	0	-0.624677
1012	Q9BUB5	MKNK1	2	465	51341.7	24	0.467457	24	24	0	-0.624289
1013	Q01804	OTUD4	2	1114	124043	58	0.467581	58	57	0.0172414	-0.62291
1014	Q5NDL2	EOGT	2	527	62009.8	29	0.467668	29	28	0.0344828	-0.621944
1015	P82921	MRPS21	2	87	10688.4	5	0.467796	5	6	-0.2	-0.620517
1016	Q14839	CHD4	2	1912	218002	102	0.467886	102	98	0.0392157	-0.619522
1017	Q9NPJ3	ACOT13	2	140	14960.3	7	0.467904	7	7	0	-0.61932
1018	Q07343	PDE4B	1	736	83342.1	39	0.467951	39	37	0.0512821	-0.618806
1019	P08962	CD63	2	238	25636.4	12	0.468084	12	12	0	-0.617327
1020	P48449	LSS	2	732	83307.5	39	0.468145	39	37	0.0512821	-0.616644
1021	Q13098	GPS1	2	491	55535.7	26	0.468167	26	26	0	-0.616398
1022	Q9H4A4	RNPEP	2	650	72594.7	34	0.468354	34	32	0.0588235	-0.614329
1023	P13716	ALAD	2	330	36294.3	17	0.468393	17	15	0.117647	-0.613899
1024	Q96FZ7	CHMP6	2	201	23484.4	11	0.468396	11	11	0	-0.613865
1025	O14974	PPP1R12A	1	1030	115279	54	0.468429	54	53	0.0185185	-0.613498
1026	Q9NYU2	UGGT1	2	1555	177187	83	0.468432	83	81	0.0240964	-0.613463
1027	Q9Y2E4	DIP2C	2	1556	170765	80	0.46848	80	71	0.1125	-0.612929
1028	Q5VZP5	STYXL2	1	1158	130174	61	0.468604	61	59	0.0327869	-0.611556
1029	Q8TD55	PLEKHO2	2	490	53349.2	25	0.468611	25	24	0.04	-0.611476
1030	P22033	MMUT	2	750	83133.3	39	0.469126	39	38	0.025641	-0.605754
1031	Q16204	CCDC6	2	474	53290.1	25	0.469131	25	23	0.08	-0.605705
1032	O00410	IPO5	2	1097	123628	58	0.469149	58	55	0.0517241	-0.605498
1033	P61160	ACTR2	2	394	44760.3	21	0.469166	21	21	0	-0.605316
1034	Q9NUQ7	UFSP2	2	469	53260.5	25	0.469391	25	24	0.04	-0.602813
1035	P62841	RPS15	2	145	17039.9	8	0.469486	8	7	0.125	-0.601756
1036	Q8IYQ7	THNSL1	2	743	83069	39	0.469489	39	39	0	-0.601727
1037	Q92530	PSMF1	2	271	29816.3	14	0.469542	14	14	0	-0.601137
1038	P08237	PFKM	2	780	85181.6	40	0.469585	40	41	-0.025	-0.600658
1039	Q8IY67	RAVER1	2	606	63875.9	30	0.46966	30	24	0.2	-0.599823
1040	Q9H511	KLHL31	2	634	70245.2	33	0.469783	33	32	0.030303	-0.598462
1041	P45974	USP5	2	858	95785	45	0.469802	45	43	0.0444444	-0.598251
1042	P01767	IGHV3-53	2	116	12769.4	6	0.469875	6	6	0	-0.597446
1043	Q9Y394	DHRS7	2	339	38298.2	18	0.469996	18	18	0	-0.596101
1044	P05090	APOD	2	189	21275.3	10	0.470029	10	10	0	-0.595733
1045	Q96T23	RSF1	2	1441	163818	77	0.470032	77	77	0	-0.595693
1046	Q96RQ1	ERGIC2	2	377	42548.1	20	0.470057	20	20	0	-0.595424
1047	O14980	XPO1	2	1071	123384	58	0.470077	58	58	0	-0.5952
1048	Q02487	DSC2	2	901	99960.5	47	0.470186	47	45	0.0425532	-0.593993
1049	Q86VB7	CD163	2	1156	125449	59	0.47031	59	57	0.0338983	-0.592615
1050	P28827	PTPRM	2	1452	163680	77	0.470429	77	69	0.103896	-0.59129
1051	Q9NX40	OCIAD1	2	245	27625.8	13	0.470575	13	12	0.0769231	-0.589669
1052	Q7L2J0	MEPCE	2	689	74354.2	35	0.47072	35	34	0.0285714	-0.588061
1053	Q6ZT12	UBR3	2	1888	212430	100	0.470743	100	98	0.02	-0.587808
1054	P09211	GSTP1	2	210	23355.5	11	0.470981	11	11	0	-0.58516
1055	Q5H9R7	PPP6R3	2	873	97667.6	46	0.470985	46	46	0	-0.585114
1056	Q2TAA2	IAH1	2	248	27598.2	13	0.471044	13	12	0.0769231	-0.584458
1057	P32455	GBP1	2	592	67929.7	32	0.471075	32	32	0	-0.584118
1058	O00267	SUPT5H	2	1087	120998	57	0.471082	57	56	0.0175439	-0.584043
1059	Q9NYF8	BCLAF1	2	920	106121	50	0.471162	50	51	-0.02	-0.583151
1060	Q9BYT8	NLN	2	704	80650.8	38	0.471167	38	39	-0.0263158	-0.583095
1061	Q01581	HMGCS1	2	520	57292.9	27	0.471263	27	24	0.111111	-0.582034
1062	P23634	ATP2B4	1	1241	137918	65	0.471293	65	64	0.0153846	-0.581697
1063	Q86Y39	NDUFA11	2	141	14851.9	7	0.471319	7	7	0	-0.581408
1064	Q5VT25	CDC42BPA	2	1732	197304	93	0.471354	93	95	-0.0215054	-0.581026
1065	P07339	CTSD	2	412	44551.7	21	0.471363	21	21	0	-0.580923
1066	Q9NR45	NANS	2	359	40307.1	19	0.471381	19	18	0.0526316	-0.580718
1067	Q9H7D7	WDR26	2	661	72122.9	34	0.471418	34	33	0.0294118	-0.580314
1068	Q00587	CDC42EP1	2	391	40294.1	19	0.471533	19	20	-0.0526316	-0.579039
1069	P34949	MPI	2	423	46655.2	22	0.471545	22	17	0.227273	-0.578904
1070	O14983	ATP2A1	1	1001	110251	52	0.47165	52	51	0.0192308	-0.577731
1071	O60524	NEMF	2	1076	122953	58	0.471726	58	60	-0.0344828	-0.576891
1072	Q02641	CACNB1	2	598	65712.6	31	0.471751	31	29	0.0645161	-0.576614
1073	A8MU46	SMTNL1	1	494	52986.1	25	0.471821	25	26	-0.04	-0.575832
1074	Q9H1B7	IRF2BPL	2	796	82657.5	39	0.471826	39	36	0.0769231	-0.575779
1075	P43487	RANBP1	2	201	23309.8	11	0.471904	11	9	0.181818	-0.574912
1076	P51649	ALDH5A1	2	535	57214.1	27	0.471912	27	26	0.037037	-0.574828
1077	Q8NFC6	BOD1L1	2	3051	330463	156	0.472066	156	149	0.0448718	-0.573122
1078	Q14118	DAG1	1	895	97440.1	46	0.472085	46	44	0.0434783	-0.572907
1079	Q5K651	SAMD9	2	1589	184279	87	0.472111	87	90	-0.0344828	-0.572612
1080	P49862	KLK7	2	253	27524.4	13	0.472308	13	13	0	-0.570432
1081	Q9Y3D6	FIS1	2	152	16937.5	8	0.472325	8	8	0	-0.570246
1082	Q6PML9	SLC30A9	2	568	63514.3	30	0.472335	30	30	0	-0.570133
1083	Q6P3W7	SCYL2	2	929	103707	49	0.472483	49	46	0.0612245	-0.568483
1084	A0A0C4DH42	IGHV3-66	2	116	12698.4	6	0.472502	6	6	0	-0.568275
1085	O94919	ENDOD1	2	500	55015.9	26	0.472591	26	26	0	-0.56729
1086	P55290	CDH13	2	713	78285.8	37	0.472627	37	34	0.0810811	-0.566889
1087	P02743	APCS	2	223	25386.8	12	0.472688	12	11	0.0833333	-0.566217
1088	O60763	USO1	2	962	107894	51	0.472688	51	49	0.0392157	-0.56621
1089	P23246	SFPQ	2	707	76148.5	36	0.472761	36	32	0.111111	-0.565407
1090	P28065	PSMB9	2	219	23264	11	0.472833	11	9	0.181818	-0.564598
1091	O60306	AQR	2	1485	171293	81	0.472875	81	78	0.037037	-0.564141
1092	Q12888	TP53BP1	2	1972	213571	101	0.47291	101	99	0.019802	-0.563749
1093	O76021	RSL1D1	2	490	54971.8	26	0.47297	26	26	0	-0.563082
1094	P11047	LAMC1	2	1609	177601	84	0.47297	84	77	0.0833333	-0.56308
1095	Q8NCN5	PDPR	2	879	99363.1	47	0.473013	47	47	0	-0.562606
1096	P19623	SRM	2	302	33824.2	16	0.473034	16	16	0	-0.562373
1097	Q9NZA1	CLIC5	2	410	46502	22	0.473098	22	20	0.0909091	-0.56166
1098	P29728	OAS2	2	719	82429.4	39	0.473132	39	38	0.025641	-0.561281
1099	Q14161	GIT2	2	759	84541.4	40	0.473141	40	39	0.025	-0.56118
1100	Q9Y3R4	NEU2	2	380	42252.9	20	0.47334	20	18	0.1	-0.558968
1101	P54289	CACNA2D1	2	1103	124566	59	0.473643	59	55	0.0677966	-0.555609
1102	P51571	SSR4	2	173	18998.3	9	0.473727	9	9	0	-0.554679
1103	P56199	ITGA1	2	1179	130846	62	0.473838	62	61	0.016129	-0.55344
1104	Q9HD20	ATP13A1	2	1204	132953	63	0.473852	63	57	0.0952381	-0.553287
1105	Q00325	SLC25A3	2	362	40094.4	19	0.473882	19	20	-0.0526316	-0.552958
1106	Q86UT6	NLRX1	2	975	107614	51	0.473915	51	49	0.0392157	-0.552588
1107	Q9Y5Q9	GTF3C3	2	886	101271	48	0.473977	48	47	0.0208333	-0.5519
1108	P20073	ANXA7	2	488	52738.5	25	0.474037	25	23	0.08	-0.55124
1109	Q86Y82	STX12	2	276	31641.3	15	0.474064	15	15	0	-0.550934
1110	P16219	ACADS	2	412	44296.5	21	0.474078	21	21	0	-0.550776
1111	Q9UIV8	SERPINB13	2	391	44275.5	21	0.474303	21	21	0	-0.548282
1112	Q9P0M6	MACROH2A2	2	372	40057.7	19	0.474316	19	19	0	-0.548138
1113	O15075	DCLK1	2	740	82222.9	39	0.47432	39	40	-0.025641	-0.54809
1114	P13747	HLA-E	2	358	40056.9	19	0.474325	19	18	0.0526316	-0.548034
1115	P20929	NEB	1	8525	986650	468	0.474332	468	467	0.00213675	-0.547959
1116	O95870	ABHD16A	2	558	63242.3	30	0.474366	30	29	0.0333333	-0.547584
1117	Q14151	SAFB2	2	953	107472	51	0.474542	51	53	-0.0392157	-0.545627
1118	Q9UPT6	MAPK8IP3	2	1336	147455	70	0.474721	70	66	0.0571429	-0.54364
1119	P22695	UQCRC2	2	453	48442.3	23	0.474792	23	23	0	-0.542855
1120	Q99439	CNN2	2	309	33696.7	16	0.474824	16	16	0	-0.542496
1121	P25789	PSMA4	2	261	29483.4	14	0.474843	14	14	0	-0.542287
1122	P31930	UQCRC1	2	480	52645	25	0.474879	25	25	0	-0.541891
1123	Q8ND56	LSM14A	2	463	50529.2	24	0.474973	24	22	0.0833333	-0.540847
1124	O95359	TACC2	2	2948	309423	147	0.475078	147	141	0.0408163	-0.539673
1125	Q9P2R3	ANKFY1	2	1169	128397	61	0.475089	61	60	0.0163934	-0.539561
1126	Q9Y291	MRPS33	2	106	12628.5	6	0.475114	6	6	0	-0.539273
1127	Q92901	RPL3L	2	407	46295.4	22	0.475209	22	23	-0.0454545	-0.538224
1128	O75339	CILP	2	1184	132563	63	0.475245	63	62	0.015873	-0.537823
1129	Q02952	AKAP12	2	1782	191479	91	0.475247	91	89	0.021978	-0.537802
1130	P63241	EIF5A	2	154	16832.1	8	0.475284	8	8	0	-0.537396
1131	Q6DKJ4	NXN	2	435	48391.4	23	0.475291	23	23	0	-0.537312
1132	P30419	NMT1	2	496	56805.5	27	0.475306	27	25	0.0740741	-0.537145
1133	Q15404	RSU1	2	277	31539.8	15	0.475589	15	16	-0.0666667	-0.534002
1134	Q9NZ08	ERAP1	2	941	107233	51	0.475599	51	51	0	-0.533893
1135	O75962	TRIO	2	3097	346895	165	0.475649	165	162	0.0181818	-0.533342
1136	Q9Y4E1	WASHC2C	2	1341	147151	70	0.475701	70	65	0.0714286	-0.532766
1137	Q12874	SF3A3	2	501	58848	28	0.475802	28	27	0.0357143	-0.531644
1138	O43293	DAPK3	2	454	52534.9	25	0.475874	25	24	0.04	-0.53084
1139	Q8NI27	THOC2	2	1593	182772	87	0.476002	87	85	0.0229885	-0.529417
1140	Q9UIA9	XPO7	2	1087	123905	59	0.47617	59	58	0.0169492	-0.527557
1141	Q96CX2	KCTD12	2	325	35700.3	17	0.476187	17	18	-0.0588235	-0.527366
1142	Q6YHK3	CD109	2	1445	161687	77	0.476229	77	73	0.0519481	-0.526898
1143	P07384	CAPN1	2	714	81888.9	39	0.476255	39	39	0	-0.526613
1144	Q9Y676	MRPS18B	2	258	29395.1	14	0.476269	14	14	0	-0.526451
1145	Q9NQ66	PLCB1	2	1216	138565	66	0.476311	66	62	0.0606061	-0.525993
1146	P62834	RAP1A	2	184	20987	10	0.476486	10	10	0	-0.524044
1147	O95453	PARN	2	639	73449.9	35	0.476515	35	35	0	-0.523725
1148	O43175	PHGDH	2	533	56649.8	27	0.476613	27	24	0.111111	-0.522639
1149	Q96T76	MMS19	2	1030	113288	54	0.476663	54	55	-0.0185185	-0.522081
1150	Q13045	FLII	2	1269	144749	69	0.476687	69	68	0.0144928	-0.521815
1151	Q05086	UBE3A	2	875	100686	48	0.476728	48	48	0	-0.521363
1152	P51608	MECP2	2	486	52440	25	0.476735	25	26	-0.04	-0.521284
1153	P46019	PHKA2	2	1235	138406	66	0.476858	66	65	0.0151515	-0.519914
1154	P01764	IGHV3-23	2	117	12582.2	6	0.476866	6	6	0	-0.519832
1155	Q6IS14	EIF5AL1	2	154	16773	8	0.476958	8	8	0	-0.51881
1156	Q9Y5P6	GMPPB	2	360	39833.9	19	0.476981	19	17	0.105263	-0.518556
1157	P15382	KCNE1	1	129	14674.6	7	0.477016	7	7	0	-0.518163
1158	P18564	ITGB6	2	788	85935.2	41	0.477104	41	39	0.0487805	-0.517191
1159	P04433	IGKV3-11	2	115	12574.9	6	0.47714	6	5	0.166667	-0.516784
1160	P32121	ARRB2	2	409	46105.2	22	0.47717	22	20	0.0909091	-0.516457
1161	P98194	ATP2C1	2	919	100576	48	0.477251	48	47	0.0208333	-0.515555
1162	Q5BKX8	CAVIN4	1	364	41898.6	20	0.477343	20	18	0.1	-0.514531
1163	Q15424	SAFB	2	915	102640	49	0.477396	49	49	0	-0.513944
1164	P13807	GYS1	2	737	83784.3	40	0.477416	40	38	0.05	-0.51372
1165	Q08AM6	VAC14	2	782	87971.2	42	0.477429	42	42	0	-0.513581
1166	O14791	APOL1	2	398	43973.5	21	0.47756	21	19	0.0952381	-0.512123
1167	Q6KC79	NIPBL	2	2804	316047	151	0.477778	151	157	-0.0397351	-0.509707
1168	Q9Y265	RUVBL1	2	456	50227.4	24	0.477827	24	22	0.0833333	-0.50916
1169	Q96PU8	QKI	2	341	37670.2	18	0.477832	18	18	0	-0.509105
1170	P80303	NUCB2	2	420	50222	24	0.477879	24	24	0	-0.508587
1171	Q99816	TSG101	2	390	43943.7	21	0.477884	21	18	0.142857	-0.508529
1172	Q9Y6C2	EMILIN1	2	1016	106694	51	0.478005	51	47	0.0784314	-0.507188
1173	P19174	PLCG1	2	1290	148530	71	0.478018	71	67	0.056338	-0.507037
1174	O43633	CHMP2A	2	222	25103.6	12	0.47802	12	12	0	-0.50702
1175	O14545	TRAFD1	2	582	64840.2	31	0.478099	31	26	0.16129	-0.506143
1176	P27169	PON1	2	355	39730.8	19	0.478219	19	19	0	-0.504811
1177	Q92621	NUP205	2	2012	227918	109	0.478243	109	100	0.0825688	-0.504539
1178	Q96PP9	GBP4	2	640	73163.7	35	0.478379	35	34	0.0285714	-0.503029
1179	Q9UHL4	DPP7	2	492	54340.6	26	0.478464	26	25	0.0384615	-0.502087
1180	O95819	MAP4K4	2	1239	142099	68	0.478541	68	64	0.0588235	-0.501237
1181	Q9Y5S2	CDC42BPB	2	1711	194312	93	0.478611	93	90	0.0322581	-0.500459
1182	Q9Y6K5	OAS3	2	1087	121168	58	0.478673	58	53	0.0862069	-0.499764
1183	Q5TAQ9	DCAF8	2	597	66851.3	32	0.478674	32	33	-0.03125	-0.499754
1184	O95393	BMP10	1	424	48046.7	23	0.478701	23	23	0	-0.499456
1185	P49419	ALDH7A1	2	539	58486.5	28	0.478743	28	27	0.0357143	-0.498987
1186	P35568	IRS1	2	1242	131589	63	0.478763	63	59	0.0634921	-0.498765
1187	Q8NFU3	TSTD1	2	115	12530	6	0.478849	6	6	0	-0.497811
1188	Q969H8	MYDGF	2	173	18795	9	0.478852	9	6	0.333333	-0.497783
1189	P36404	ARL2	2	184	20877.6	10	0.478981	10	10	0	-0.496343
1190	Q8WWQ0	PHIP	2	1821	206686	99	0.478987	99	95	0.040404	-0.496281
1191	P19823	ITIH2	2	946	106462	51	0.479044	51	51	0	-0.495646
1192	O60645	EXOC3	2	745	85566.1	41	0.479162	41	40	0.0243902	-0.494344
1193	Q13332	PTPRS	2	1948	217038	104	0.479178	104	95	0.0865385	-0.494165
1194	Q9Y4B6	DCAF1	2	1507	169005	81	0.479277	81	76	0.0617284	-0.493063
1195	Q15233	NONO	2	471	54230.8	26	0.479432	26	25	0.0384615	-0.491337
1196	Q9Y262	EIF3L	2	564	66726	32	0.479574	32	32	0	-0.48977
1197	P32322	PYCR1	2	319	33360.1	16	0.479615	16	15	0.0625	-0.489311
1198	Q96Q15	SMG1	2	3661	410494	197	0.47991	197	190	0.035533	-0.486038
1199	P52630	STAT2	2	851	97914.6	47	0.48001	47	43	0.0851064	-0.48492
1200	Q9H008	LHPP	2	270	29165	14	0.480028	14	12	0.142857	-0.484724
1201	P37108	SRP14	2	136	14569.8	7	0.480447	7	8	-0.142857	-0.480069
1202	Q93100	PHKB	2	1093	124882	60	0.480452	60	58	0.0333333	-0.48002
1203	Q15031	LARS2	2	903	101975	49	0.480512	49	49	0	-0.47935
1204	P50135	HNMT	2	292	33294.6	16	0.480559	16	16	0	-0.478833
1205	Q58FF6	HSP90AB4P	2	505	58263.7	28	0.480574	28	28	0	-0.478663
1206	O75155	CAND2	2	1236	135254	65	0.480577	65	61	0.0615385	-0.478627
1207	Q8WUM0	NUP133	2	1156	128977	62	0.480707	62	62	0	-0.477191
1208	Q15111	PLCL1	2	1095	122727	59	0.480743	59	59	0	-0.476782
1209	P55809	OXCT1	2	520	56157	27	0.480795	27	27	0	-0.476209
1210	Q9Y5Z4	HEBP2	2	205	22875.1	11	0.480872	11	10	0.0909091	-0.475352
1211	Q13643	FHL3	1	280	31191.7	15	0.480896	15	15	0	-0.475083
1212	P51687	SUOX	2	545	60282.1	29	0.481072	29	27	0.0689655	-0.473139
1213	Q86SX6	GLRX5	2	157	16627.6	8	0.481127	8	8	0	-0.472528
1214	Q969Q0	RPL36AL	2	106	12468.8	6	0.481203	6	6	0	-0.471682
1215	Q709F0	ACAD11	2	780	87263.1	42	0.481303	42	40	0.047619	-0.470566
1216	Q15185	PTGES3	2	160	18697.1	9	0.481357	9	9	0	-0.469968
1217	Q8IYS1	PM20D2	2	436	47775.5	23	0.481419	23	21	0.0869565	-0.469286
1218	Q02318	CYP27A1	2	531	60233.8	29	0.481458	29	29	0	-0.468854
1219	Q9Y2H1	STK38L	2	464	54002.1	26	0.481462	26	26	0	-0.468799
1220	P01871	IGHM	2	474	51922.9	25	0.481483	25	25	0	-0.468567
1221	P52597	HNRNPF	2	415	45671.4	22	0.481702	22	20	0.0909091	-0.466138
