# GENERATED by mass_fractions_pools.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-19T21:22:20Z
# category    = blood
# pool erythrocytes: bryk_2017 file.1 data/literature/bryk_2017/pr7b00025_si_002.xlsx sha256 de865512e5f0478dc6ba2e17258013fa7084a74144fdf1c07bd0e9174daf6400; sheet 'Table S3', header row 3; Bryk AH, Wiśniewski JR. Quantitative analysis of human red blood cell proteome. J Proteome Res 2017;16(8):2752-2761.  [author list verified 2026-09-18 from the article PDF on disk]
# pool plasma: geyer_2016 file.1 data/literature/geyer_2016/1-s2.0-S2405471216300722-mmc3.xlsx sha256 ccffa0e715fa41a3c839842830bcdea45e068004b6b9e1096133c38a6d0921d2; sheet 'Supplementary Table S2', header row 1; Geyer PE, Kulak NA, Pichler G, Holdt LM, Teupser D, Mann M. Plasma proteome profiling to assess human health and disease. Cell Syst 2016;2(3):185-195.  [author list verified 2026-09-18 from the article PDF on disk]
# accessions  = config/blood/accessions.ini sha256 ca1780b8054f3bd0c63af53ab3bf3232e35cca24e13302444f0e92a8639fb271
# composition = outputs/blood/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 5fa362bcf0b6766e6d694840c9c21f80e8d5c70b324748fd239b4caa786cd439
# rules       = B0 (hash), D105 (published mass share, no MW step), D108 (mean of replicates), D47 (summed rows), D48 (shared rows), D53a, D31 (within pool), B5 (low/high), A7, D113 (immunoglobulin bound)
# rows of the deep dataset (Table S5) none of whose accessions appear in a Table S2 protein group, with their share of the deep dataset's summed signal; reported, not used
row_index	identity_cell	gene	value	share_of_deep_signal
411	O75369;O75369-8;O75369-6;O75369-3;O75369-2;O75369-9;E7EN95;O75369-5;O75369-4;O75369-7	FLNB	37395039.82	2.975052049e-06
928	P61956;H7BZT4;P61956-2;P55854;Q6EEV6;A8MUA9;A8MU27;B4DUW4	SUMO2;SUMO3;SUMO4	36849024.9	2.931612523e-06
892	Q6IN84	MRM1	36651014.47	2.915859329e-06
160	P28288;F5GYC1;E7EUE1;P28288-3;P28288-2	ABCD3	36501019.94	2.903926154e-06
237	O15335	CHAD	36400973.63	2.89596673e-06
420	P09382	LGALS1	36339002.35	2.891036456e-06
130	Q9H6X2;Q9H6X2-3;Q9H6X2-4;Q9H6X2-2	ANTXR1	36241986.98	2.883318166e-06
190	P55285;D6RF86;P55285-2	CDH6	36031969.4	2.866609714e-06
530	P01771		35792991.72	2.847597272e-06
873	P28827;E7EPS8;F8WA38;E7EVX9	PTPRM	35402016.49	2.8164923e-06
7	P61981;B4DE78;B4DHC4	YWHAG	35258026.51	2.805036832e-06
781	O00592;F5H3W1;F5H7A2;F5GWY5;O00592-2	PODXL	34985976.49	2.78339324e-06
241	O75390;B4DJV2;H0YIC4	CS	34950951.22	2.780606721e-06
301	P06732	CKM	34605967.85	2.753160742e-06
69	P18124;A8MUD9	RPL7	34292014.6	2.728183438e-06
197	Q9NZT1	CALML5	34154977.22	2.717281101e-06
637	Q96AG4	LRRC59	34102011.77	2.713067307e-06
18	P25398	RPS12	33922980.29	2.698824029e-06
1011	Q12907;B4DWN1;D6RDX1;D6RBV2;D6RIU4	LMAN2	33911031.48	2.697873413e-06
718	P05204;Q15651;Q15651-2	HMGN2;HMGN3	33506032.08	2.665652714e-06
827	Q99497	PARK7	33442982.38	2.660636644e-06
743	P23284	PPIB	33320000.56	2.650852531e-06
29	P62851	RPS25	32915010.65	2.618632587e-06
913	P36952	SERPINB5	32754049.42	2.605826931e-06
388	P49327	FASN	32589972.95	2.592773434e-06
116	P54802;H0Y3D8	NAGLU	31868967.99	2.535412156e-06
930	A1L4H1;F5GZN4;A1L4H1-2	SSC5D	31832005.41	2.532471509e-06
784	Q15366;Q15366-4;Q15366-5;B4DRD7;H3BRU6;F8VWQ4;F8VZX2;B4DXP5;F8VRG9;G3V0E8;Q15366-3;Q15366-2;B4DLC0;P57721;F8W0G4;F8VXH9;H3BSS4;H9KV40;E9PFP8;P57721-2;P57721-3;P57721-5;P57721-4	PCBP2;PCBP3	31740005.67	2.525152249e-06
629	P42167;P42166;P42167-2;G5E972	TMPO	31530002.12	2.508444913e-06
797	P09668;E9PBP2	CTSH	31410004.6	2.498898223e-06
234	O00299	CLIC1	31055033.35	2.470657634e-06
759	P18669	PGAM1	30718994.77	2.443923279e-06
387	Q16658	FSCN1	30690997.23	2.441695868e-06
869	P23467-3;F8VU56;P23467;F8VSD5;P23467-2;F5H3G6;F5H0Y4;Q6ZR19	PTPRB;IGFL2	30389041.34	2.417673043e-06
711	Q7Z3B1;Q8N440	NEGR1	30210992.98	2.403507979e-06
665	P40926;G3XAL0;E9PDB2	MDH2	30164004.71	2.399769714e-06
830	Q9BUN1	MENT	30158032.16	2.399294554e-06
194	Q9HB71;Q5R370;B3KSF1	CACYBP	29873011.08	2.376619018e-06
640	Q8N6C8	LILRA3	29575016.8	2.352911369e-06
60	P47914	RPL29	28964030.76	2.30430291e-06
431	P14314;P14314-2	PRKCSH	28964030.76	2.30430291e-06
340	Q14118;E9PE70	DAG1	28691020.78	2.282582946e-06
98	P00325;P07327;F5HB16;A8MYN5;P00326;B7ZB36	ADH1B;ADH1A;ADH1C	28628988.23	2.277647798e-06
943	Q99536;B3KUF8;B0AZP7	VAT1	28392981.53	2.258871719e-06
309	E9PS42;P21291;E9PND2;E9PP21	CSRP1	28307987.82	2.252109841e-06
712	O14786;E9PEP6;E7EX60;Q5T7F0;Q5T7F1;O14786-2;Q5JWQ6	NRP1	28046004.54	2.231267133e-06
50	P50914;E7EPB3;B7Z6S8	RPL14	27967007.57	2.224982339e-06
628	P02788;E7EQB2;E7ER44;B7Z4X2	LTF	27613979.62	2.196896354e-06
847	P06454;P06454-2;B8ZZQ6;B8ZZA1;B8ZZW7;H7C2N1	PTMA	27612008.6	2.196739545e-06
787	P26599;P26599-2;P26599-3	PTBP1	27568999.15	2.193317825e-06
600	P22692;B4E351	IGFBP4	27533980.47	2.19053183e-06
167	O75531	BANF1	27471982.43	2.185599427e-06
910	Q86U17	SERPINA11	27463001.46	2.184884925e-06
393	P02792;F5H1X1	FTL	27238989.98	2.167063155e-06
34	P62701;P22090;C9JEH7	RPS4X;RPS4Y1	26675035.13	2.122196374e-06
352	Q9NZ08;Q9NZ08-2	ERAP1	26560974.2	2.113121984e-06
320	Q6E0U4-2;E7EUS0;Q6E0U4-6;C9J4P6;Q6E0U4-5;Q6E0U4;H7C145;H7BZ95;C9IYI1;CON__A3EZ82;Q6E0U4-7;Q6E0U4-3;Q6E0U4-4	DMKN	26492991.49	2.107713456e-06
313	P00403	MT-CO2	26100991.19	2.076526932e-06
369	P41567;O60739	EIF1;EIF1B	25887016.47	2.059503661e-06
377	Q9UBQ6;F5GZK1;C9JEG3	EXTL2	25124995.93	1.998879289e-06
122	Q8NI99	ANGPTL6	24777985.82	1.971272068e-06
864	P46940;H0YLE8	IQGAP1	24744005.3	1.968568666e-06
754	P30086;B4DRT4	PEBP1	24717013.8	1.966421293e-06
9	P27348;E9PG15;B4DMT8	YWHAQ	24540985.57	1.952416945e-06
177	P07814;F5H7I7;E7EMN0	EPRS	24539968.45	1.952336026e-06
607	P17301;E7ESP4;E7EMF1	ITGA2	24497005.52	1.948918007e-06
1022	P54289;F8WC36;P54289-5;P54289-2;P54289-3;P54289-4	CACNA2D1	24357011.43	1.937780441e-06
31	P42677;Q71UM5;C9J1C5;Q5T4L4;H0YMV8	RPS27;RPS27L	24262972.17	1.930298923e-06
32	P62857	RPS28	24158001.28	1.921947712e-06
64	P42766;H0Y3A0;F2Z388	RPL35	24028020.84	1.911606806e-06
695	P35579;P35579-2	MYH9	23962989.64	1.906433093e-06
941	P04179;F5H4R2;F5GYZ5;B4E3K9;B3KUK2;F5H3C5;P04179-2	SOD2	23803016.63	1.893706057e-06
698	O43505	B3GNT1	23689996.69	1.884714484e-06
163	Q9NUU7;Q9UMR2;H3BTB3;H3BMQ5;H3BN59;H3BQK0	DDX19A;DDX19B	23622997.28	1.879384186e-06
152	P17174;B7Z1I2;B7Z7E9	GOT1	23487997.93	1.868643989e-06
200	O94985;B4E3Q1;O94985-2;Q5SR54	CLSTN1	23368993.08	1.859176273e-06
366	P60842	EIF4A1	23314977.46	1.85487893e-06
93	Q10588;A6NC48;H0Y984	BST1	23156024.48	1.842233045e-06
825	P13667	PDIA4	22658022.31	1.802613288e-06
27	P62266;D6RDJ2;D6RIX0;D6R9I7;D6RD47	RPS23	22567996.2	1.795451045e-06
952	P49368;P49368-2;B4DUR8	CCT3	22410007.4	1.782881868e-06
804	Q9UQ80;F8VTY8;H0Y3X3;F8VR77;F8VRZ3	PA2G4	22003005.13	1.750501826e-06
370	P60228;H0YBR5;E5RIP5;E5RJ25;H0YBP5;E5RII3;E5RIT4;E5RHS5	EIF3E	21821017.62	1.736023374e-06
373	Q15056;Q15056-2	EIF4H	21737019.75	1.729340722e-06
453	P62873;P62879;Q9HAV0;E7EP32;B1AKQ8;B1AKQ7;B1AKQ9;C9JZN1;C9JIS1;C9JXA5	GNB1;GNB2;GNB4	21702012.04	1.726555599e-06
365	Q9P0I2;Q9P0I2-2	EMC3	21561997.93	1.715416441e-06
664	P40925;B8ZZ51;B9A041;P40925-2;F5H098	MDH1	21462978.97	1.70753875e-06
46	P62906	RPL10A	21452998.38	1.706744721e-06
736	P10451;P10451-5;C9JXD2;P10451-4;P10451-2;Q3LGB0;P10451-3;D6R9C5	SPP1;opn	21335017.33	1.697358455e-06
51	P61313;E7EX53;E7EQV9;Q642I1	RPL15	20975001.47	1.66871653e-06
196	P27482	CALML3	20395013.64	1.622574208e-06
452	Q9Y2T3;Q9Y2T3-3	GDA	20289997.8	1.614219421e-06
771	P13797;F8W8D8;B7Z6M1;B4DGB4	PLS3	20243005.82	1.610480861e-06
181	Q8TDL5	BPIFB1	20155983.77	1.603557614e-06
826	Q15084;B7Z254;F8WA83;B5MCQ5;Q15084-2	PDIA6	20046981.98	1.594885715e-06
168	P98160	HSPG2	19872019.29	1.580966139e-06
96	P24298	GPT	19822982.61	1.577064908e-06
685	Q13477;F5H5V1;F5H2C3;F5H511;Q13477-2;Q13477-3;Q5UGI7	MADCAM1	19799991.33	1.575235782e-06
57	P62750;H7BY10;A8MXA8;A8MUS3	RPL23A	19722002.07	1.569031159e-06
987	P06753-2;P06753-3;Q5VU59;Q5VU58;Q8NAG3;Q5VU61;Q5VU72;Q5VU66;P06753;Q5VU63	TPM3	19551991.51	1.555505561e-06
220	Q9UBX1;H0YD65	CTSF	19436004.91	1.546277969e-06
409	Q5D862;CON__Q5D862	FLG2	19393000.11	1.542856619e-06
353	Q6P179;Q6P179-3;H0Y9X9;D6RGW0;Q6P179-4;Q6P179-2	ERAP2	19169995.02	1.525114915e-06
692	P02144;B0QYF8;F2Z337;Q8WVH6;F2Z2F1;B4DUI1	MB	18954005.4	1.507931343e-06
714	Q14697;Q14697-2;F5H6X6;E9PKU7	GANAB	18945976.75	1.507292604e-06
4	P31946;P31946-2	YWHAB	18931978.39	1.506178931e-06
980	P13693;Q56UQ5;E9PJF7;Q8TBK7	TPT1	18807020.59	1.496237614e-06
361	P00533;P00533-4;P00533-3;Q504U8;E9PFD7;P00533-2	EGFR	18572997.49	1.477619345e-06
970	P37837;F2Z393	TALDO1	18466007.18	1.469107474e-06
622	P14923	JUP	18405982.3	1.464332051e-06
773	P16284;P16284-3;P16284-2;P16284-6;P16284-5;P16284-4	PECAM1	18252022.69	1.452083425e-06
942	E9PBV3;Q6UWP8	SBSN	18109981.22	1.440782975e-06
852	Q9UBP9;E9PB86;H7BZV7;B8ZZ72	GULP1	17597014.83	1.399972704e-06
900	Q9NPR2-2;Q9NPR2;H0YMZ3	SEMA4B	17267004.41	1.373717934e-06
354	P30040;F8VY02	ERP29	17255001.45	1.37276301e-06
444	P06737;E9PMM6;E9PK47;F5H816;P11216;P11217;F5GZH7;P11217-2	PYGL;PYGB;PYGM	17239989.62	1.371568708e-06
944	Q9Y490;Q5TCU6	TLN1	17087007.1	1.359397817e-06
391	Q96RD9;A6NJE8;Q96RD9-3;F5GXJ2;Q96RD9-4;Q96RD9-5	FCRL5	16811017.49	1.337440802e-06
328	Q9UBP4;E7EUD0;F6SYF8;E9PKK9;E9PHY3;E9PKW6	DKK3	16768993.64	1.334097493e-06
686	Q13201;Q13201-2	MMRN1	16706981.82	1.329163994e-06
88	P23526;F5H737	AHCY	16530995.21	1.315162958e-06
933	P23246;P23246-2	SFPQ	16457012.54	1.309277089e-06
482	P52272;P52272-2;Q59ES8;F5H7Z1	HNRNPM	16452996.3	1.308957567e-06
421	P17931	LGALS3	16404009.04	1.305060268e-06
1030	H7BZJ3	PDIA3	16277023.86	1.294957658e-06
371	O75821	EIF3G	16071003.66	1.278567227e-06
757	Q16822;P35558;H0YFK2;B4DT64;H0YML5;B4DW73	PCK2;PCK1	15938006.51	1.26798632e-06
238	Q6UVK1	CSPG4	15665995.59	1.246345839e-06
594	Q14623	IHH	15473016.9	1.230992957e-06
661	P22897	MRC1	15374995.59	1.223194636e-06
662	P14174	MIF	15370995.66	1.222876412e-06
680	Q02252	ALDH6A1	15281993.13	1.215795603e-06
983	P40939	HADHA	15030000.67	1.195747738e-06
433	P49448	GLUD2	15014988.36	1.194553398e-06
425	O75223;H7BZK5;E7EU55;B8ZZK2	GGCT	14829994.84	1.179835795e-06
89	Q01518;F5H6Z3;Q01518-2;Q5T0R7;Q5T0R6;Q5T0R5;Q5T0R4;Q5T0R3;Q5T0R2;Q5T0R1;Q5T0R9	CAP1	14757982.81	1.174106705e-06
157	P48047;H7C086;H7C068;H7C0C1	ATP5O	14745992.21	1.173152764e-06
256	P12109	COL6A1	14722006.33	1.17124451e-06
723	Q02818;C9JKZ2;H7BZI1	NUCB1	14521985.54	1.155331377e-06
526	P01773		14475980.85	1.151671363e-06
620	O75874	IDH1	14464985.41	1.150796595e-06
703	E9PAV3;F8W1N5;F8VZJ2;F8VNW4;F8W0W4;H0YHX9;Q13765;F8VU71	NACA	14343990.87	1.141170584e-06
949	P78371;P78371-2;F5GWF6;F8VQ14	CCT2	14319999.41	1.139261886e-06
1025	P13010	XRCC5	14250988.84	1.133771585e-06
728	P15531;P15531-2	NME1	14230986.28	1.132180233e-06
414	P09467	FBP1	14171995.31	1.127487065e-06
294	Q9P232	CNTN3	14065980.14	1.119052774e-06
778	Q15149;Q15149-4;Q15149-2;Q15149-6;Q15149-9;Q15149-7;Q15149-8;Q15149-5;Q15149-3	PLEC	14008995.64	1.114519235e-06
443	P41250	GARS	13942992.7	1.109268213e-06
779	Q8IUK5;C9JWQ3;B3KSI0;Q8IUK5-3;Q8IUK5-2;Q8IUK5-4;C9JCL2;B4E173	PLXDC1	13872987.66	1.103698794e-06
52	P18621;B4E3C2	RPL17	13776979.11	1.096060604e-06
447	Q8NCC3;H3BM47;B4DJW4;H3BPT3;H3BMU8	PLA2G15	13707996.98	1.090572565e-06
72	P52209;F5H7U0;B4DQJ8;F5H0L3;B4DV68	PGD	13615982.98	1.083252171e-06
312	P99999;C9JFR7;CON__P62894	CYCS	13600002.87	1.081980835e-06
488	P49773;D6RC06;D6REP8;D6RE99;D6RD60	HINT1	13590987.09	1.081263563e-06
324	Q02413	DSG1	13415009.98	1.067263282e-06
738	Q9BUP3;E9PI87;Q9BUP3-3	HTATIP2	13197996.23	1.049998233e-06
817	O14818;O14818-2;H0Y586;Q8TAA3;Q8TAA3-2;F5GY34;F5H3G5;Q8TAA3-5	PSMA7;PSMA8	13108017.12	1.042839729e-06
520	P01760		12939991.77	1.029472069e-06
504	Q86YZ3;CON__Q86YZ3	HRNR	12934987.1	1.029073911e-06
803	P12004	PCNA	12802005.22	1.018494219e-06
252	P53618	COPB1	12738990.1	1.0134809e-06
47	P62913;Q5VVC8;P62913-2;Q5VVC9	RPL11	12732010.85	1.012925649e-06
292	P20023;Q5SR47;C9J0D9;P20023-2;P20023-4;P20023-3	CR2	12685015.43	1.009186815e-06
205	F8W148;E7EMQ1;P23280;Q5FC00	CA6	12614992.6	1.003615981e-06
696	P58546	MTPN	12498992.29	9.943872985e-07
1001	Q9NYU2;Q9NYU2-2	UGGT1	12478000.54	9.927172495e-07
303	P18850	ATF6	12436008.21	9.89376449e-07
845	Q04941	PLP2	12426991.46	9.886590998e-07
724	Q9NR30;Q9NR30-2	DDX21	12325995.36	9.80624113e-07
902	Q92743;E7ESJ0;H0Y7G9	HTRA1	12321994.2	9.803057911e-07
935	Q7KZF4;E7ESM6;H7C597	SND1	12221007.2	9.722715282e-07
240	P10645;G5E968	CHGA	12217011.99	9.719536797e-07
638	D6RD58;O14960	LECT2	12148985.12	9.665416389e-07
221	P07711;Q5T8F0	CTSL	12118001.45	9.640766588e-07
176	O43252	PAPSS1	12108992.22	9.633599079e-07
298	P24387;D6RHH7	CRHBP	12052995.65	9.589049665e-07
1003	Q7Z4R8	C6orf120	11993004.59	9.541322339e-07
934	Q9BUD6;D6RB12	SPON2	11944995.76	9.503127763e-07
164	O00148;Q13838;F6WLT2;F8VZL8;Q5STU3;F8VQ10;Q8N5M0;Q13838-2;F6QWI5;F6U6E2;F6S2B7;F6SXL5;E7EMX2;H0YCC6;H0Y800;F8W0J0;H0Y400;F6V772;F6QYI9;H0Y557;F6R6M7;F6S4E6;F6UN21;F6TRA5;F6UJC5;E9PP12;B1Q2N1;H0Y7X6;H0Y7G4;B4DP52	DDX39A;DDX39B;DDX39;hCG_2005638	11944005.65	9.502340058e-07
191	Q9HBB8;C9J4E6;Q9HBB8-2;Q9HBB8-4	CDHR5	11872003.06	9.445056671e-07
441	P32189;C9JLT1;E7EQC0;P32189-1;A6NJP5;Q14409;P32189-2	GK;GK3P	11789000.88	9.379022296e-07
950	P50991;F5H5W3;B7Z9L0	CCT4	11763999.57	9.359131905e-07
701	P48163;F5H4W0;B4DZ70	ME1	11553990.34	9.192054027e-07
463	P28906;Q5JTA5;B4DG27;B4DUX4;P28906-2	CD34	11531000.74	9.173764099e-07
976	P37802	TAGLN2	11497012.41	9.146723869e-07
16	P42765	ACAA2	11424994.51	9.089428302e-07
25	P15880;H0YEN5;I3L404;E9PM36;E9PMM9;E9PQD7	RPS2	11389010.67	9.060800495e-07
85	P07741;H3BQF1;H3BQB1;G5E9J2	APRT	11254987.06	8.954174799e-07
1014	O60504;H0YAU6;H0YAT3;E5RHS8;E7EQH0	SORBS3	11046991	8.788698546e-07
125	Q9UPS8;E7ESJ3;Q9UPS8-3	ANKRD26	10927001.43	8.693237967e-07
302	Q9Y240;C9JXV2	CLEC11A	10919003.37	8.686874919e-07
907	P62140;P62136;P36873;C9J9S3;C9JP48;E7ETD8;E9PMD7;F8VR82;F8VYE8;F8W0W8;E9PDP1;A6NNR3;P36873-2;P62136-2	PPP1CB;PPP1CA;PPP1CC	10872990.29	8.65026811e-07
790	Q9UHV9	PFDN2	10780005.94	8.576292181e-07
364	Q15006	EMC2	10737001.16	8.542078697e-07
862	P50395;E7EU23;P50395-2	GDI2	10625001.5	8.452974682e-07
14	Q13200;F5GZ16;H7C2Q3;C9JPC0	PSMD2	10616002.2	8.445815073e-07
946	Q92804;P35637;F5GWQ7;B4DR70;H3BPE7;P35637-2;Q92804-2	TAF15;FUS	10558008.32	8.399676652e-07
986	Q14134;Q14134-2;B7Z8U9;E9PRL4	TRIM29	10421998.35	8.291470659e-07
874	Q13332-6;Q13332-2;Q13332;G8JL96;F8W9T5;F8W846;E9PDC5;Q13332-3;Q13332-4;F5H2T4;H0YG31;Q13332-7;F8W800;Q13332-5	PTPRS	10268996.36	8.169746258e-07
232	Q02224;F8W957;Q02224-3;Q02224-2;D6RBW0	CENPE	10265001.09	8.166567725e-07
82	P61158;F5H3P5;B4DXW1;Q9P1U1;B4DTI0;Q9P1U1-2	ACTR3;ACTR3B	10247997.25	8.153039912e-07
464	Q96RW7;Q96RW7-2	HMCN1	10188001.49	8.105308847e-07
866	P62820;E7END7;Q9H0U4;E7ETK2;E7EWA5;B7Z8M7;P62820-3;P62820-2	RAB1A;RAB1B	9975392.665	7.936162799e-07
195	Q05682;Q05682-3;Q05682-6;Q05682-2;Q05682-4;E7EUR9;C9J813;E9PGZ1;F5H1Z9;E7EX44;Q05682-5	CALD1	9914207.403	7.887485397e-07
616	P32942	ICAM3	9875702.532	7.856851924e-07
926	Q9UHB9;Q96K98;F5H5Y3;E7ETK6;B3KUU5;G3V1U4;Q9UHB9-2	SRP68	9872405.834	7.854229156e-07
481	P14866	HNRNPL	9848497.976	7.835208687e-07
694	P24844;O14950;P19105;P24844-2	MYL9;MYL12B;MYL12A	9745609.376	7.753353194e-07
255	P02452	COL1A1	9619909.801	7.653349884e-07
15	Q99714;Q99714-2;Q5H928	HSD17B10	9396908.542	7.475935886e-07
12	O00232;O00232-2	PSMD12	9385102.064	7.466542959e-07
380	Q8IXL6	FAM20C	9357395.807	7.444500582e-07
230	Q9BY67;H3BM05;Q9BY67-2;H0YGA7;F5H0J4;F5H125;H0YG94	CADM1	9210495.612	7.32763061e-07
360	P42126;H3BP91;P42126-2;H3BS70;Q96DC0	ECI1;DCI	9184108.378	7.306637613e-07
853	P00491	PNP	9169697.312	7.295172544e-07
473	P51858;A8K8G0;B7Z525;Q5SZ08;Q5SZ07	HDGF	9118806.497	7.254685136e-07
218	P07858;B4DMY4;F5H2P9	CTSB	9089688.492	7.231519609e-07
206	P16152	CBR1	9065692.832	7.212429286e-07
101	P05091;F8VXI5;F8VP50;F8W0A9;E7EUE5	ALDH2	9024704.697	7.179820193e-07
646	P23141;I3L0R9;B7Z795;E9PAU8;P23141-2;H3BSU0;H3BQV8;I3L1E2	CES1	8844209.062	7.036222563e-07
384	P47755;C9JUG7;F8W9N7;B4DG50	CAPZA2	8781708.155	6.986498468e-07
477	O14979;O14979-3;O14979-2	HNRNPDL	8772290.395	6.979005943e-07
356	Q9HCU0	CD248	8748205.978	6.959845008e-07
378	P55060;E7EPX1;B4DUC5;F8W904;P55060-3	CSE1L	8748004.545	6.959684753e-07
644	Q13449;C9J5G3;H3BLU2;F5H5G1	LSAMP	8705004.501	6.925475037e-07
376	Q16394	EXT1	8665806.752	6.894290328e-07
435	O76003	GLRX3	8633999.119	6.868985003e-07
22	P62249;Q6IPX4	RPS16	8485901.766	6.751162603e-07
75	Q7L2J0;D6W5V7	MEPCE	8436493.962	6.71185504e-07
260	P12110;P12110-3;P12110-2	COL6A2	8404599.054	6.686480281e-07
990	P23381;P23381-2;G3V3H8;G3V3Y5	WARS	8350010.085	6.643050718e-07
149	O95831;Q1L6K4;O95831-4;O95831-3	AIFM1	8175192.731	6.503970581e-07
923	P10768;H7BZT7	ESD	8164094.066	6.495140772e-07
818	P49721	PSMB2	8104495.771	6.447725919e-07
904	Q07955	SRSF1	7874300.783	6.264588778e-07
632	P55268;F5H520	LAMB2	7730596.397	6.150261308e-07
961	Q86V81;E9PB61	ALYREF	7638903.082	6.077312493e-07
750	Q13162;H7C3T4	PRDX4	7531803.829	5.992107114e-07
59	P46776;E9PLL6;E9PJD9;E9PLX7	RPL27A	7479903.587	5.950816633e-07
984	P22102;B4DJ93;H7C489	GART	7459590.72	5.934656244e-07
337	P04843;B4DNJ5;B7Z4L4;F5H6I5	RPN1	7447302.591	5.924880129e-07
809	P07602;C9JIZ6;F8W6Z6;B1AVU8;P07602-2;P07602-3;F5H0X6;Q5BJH1	PSAP	7446891.049	5.924552716e-07
305	P21127;Q9UQ88;P21127-12;P21127-9;Q5QPR4;Q5QPR3;Q9UQ88-5;Q9UQ88-10;P21127-4;P21127-5;P21127-10;P21127-6;Q9UQ88-4;P21127-8;Q9UQ88-3;Q9UQ88-2;P21127-3;P21127-2;Q13882;Q9UQ88-9	CDK11B;CDK11A;PTK6	7369397.794	5.862901099e-07
1027	Q5VUA4	ZNF318	7286701.852	5.79711036e-07
805	Q96NZ9-3;Q96NZ9;H7BY64	PRAP1	7205298.875	5.73234827e-07
997	P61088;Q5JXB2;F8VQQ8	UBE2N;UBE2NL	7172705.504	5.706417832e-07
291	P17927;E9PQN4;Q5SR44;E9PDY4;H7BYX0;H0YE06	CR1	7148303.774	5.687004451e-07
906	P84103;B4E241	SRSF3	7115099.864	5.660588284e-07
816	P60900;G3V295;G3V5Z7;G3V3U4;G3V3I1;B4DXJ9	PSMA6	7071100.34	5.625583408e-07
639	P30740;B4E3A8;B4DNT0	SERPINB1	6951891.735	5.530744144e-07
635	P48357;P48357-5;P48357-2;P48357-4;P48357-3	LEPR	6890710.433	5.482069893e-07
700	O95168;O95168-2	NDUFB4	6855892.512	5.454369661e-07
448	Q14393;E9PBL7;Q14393-4;Q14393-3;Q14393-2	GAS6	6787502.46	5.399960315e-07
1035	C9JPV4	SERPINF2	6725491.064	5.350625663e-07
887	P13489;E9PMJ3;E9PLZ3;E9PIM9	RNH1	6648505.005	5.289377557e-07
889	P16083;Q5TD05;Q59EN2;Q5TD07;A2A2U4	NQO2	6634298.377	5.278075134e-07
67	P46777;B3KTM6	RPL5	6216601.087	4.94576604e-07
829	Q9NUP9;O14910;H0YI92;H0YIA8	LIN7C;LIN7A	6192300.163	4.926432858e-07
643	Q14847;C9J9W2;Q14847-2;B4DIC4;B4DGQ0	LASP1	6176195.008	4.913620016e-07
621	P41252;Q5TCC5;Q5TCC4	IARS	6074408.576	4.832641379e-07
99	P08319;P08319-2;D6R9K8	ADH4	6062601.184	4.823247725e-07
28	P62847;E7ETK0;P62847-2;P62847-3;E7EPK6	RPS24	6058707.691	4.820150164e-07
593	O00410;C9JZD8;E7EQT5;H7C609;E7ETV3;B4E0R6	IPO5	6044800.887	4.809086272e-07
627	Q16719;B8ZZA3;Q16719-2	KYNU	6012097.292	4.783068143e-07
903	Q9NQ38-3;Q9NQ38	SPINK5	5958596.813	4.740504555e-07
920	Q15165;G3V1K3;Q15165-3;Q15165-1	PON2	5933801.308	4.720777896e-07
863	Q13283;F5H4D6;F8W7N6	G3BP1	5933200.163	4.720299641e-07
821	Q99436	PSMB7	5927301.244	4.715606614e-07
345	P38117;P38117-2	ETFB	5919704.116	4.709562537e-07
13	O00487	PSMD14	5865999.208	4.66683631e-07
634	Q01650	SLC7A5	5844495.115	4.649728213e-07
888	O00584;D6REQ6;D6RHI9;C9JIU8;H0YAE9	RNASET2	5832597.401	4.640262701e-07
77	Q92484;B7Z729	SMPDL3A	5808299.469	4.620931899e-07
730	P55209;H0YH88;H0YHC3;F8W020;F8W118;F8VXI6;F8VUX1;F8VY35;B3KV44;F8VV59;F8W543;B7Z9C2;F8W0J6;F5H4R6;H0YIV4;B3KNT8	NAP1L1	5777194.645	4.596185711e-07
300	P12277;G3V4N7;E7EUJ8	CKB	5681094.324	4.519730796e-07
165	O00571;O15523;O00571-2;B4DXX7;C9J8G5;C9J081;B4E3C4;B4E132;B4DLU5	DDX3X;DDX3Y	5671304.947	4.511942623e-07
932	Q01081;Q8WU68;Q01081-3;Q8WU68-3;Q8WU68-2;Q01081-2	U2AF1;U2AF1L4	5565395.083	4.427683491e-07
877	Q96B86;F5H7G2;F5GZU6;G3V518;Q96B86-2	RGMA	5526001.52	4.396342997e-07
496	Q16576;Q16576-2;E9PC52	RBBP7	5446205.194	4.332859117e-07
401	Q86WI1	PKHD1L1	5340500.991	4.248763604e-07
3	Q15029;B4DK30	EFTUD2	5315902.416	4.229193618e-07
474	Q99729;Q99729-3;D6R9P3;D6RD18;D6RBZ0;Q99729-4;Q99729-2	HNRNPAB	5314103.394	4.227762363e-07
719	Q15233;H7C367;C9JYS8;F5GYZ3	NONO	5312696.42	4.226643011e-07
408	P20930;CON__P20930	FLG	5303407.519	4.219253003e-07
6	Q04917	YWHAH	5271400.337	4.193788922e-07
386	P14324;E9PCI9	FDPS	5264001.447	4.187902558e-07
