accession	gene	tier	n_sites_total	n_sites_in_master	n_sites_with_mass	n_sites_count_only	n_modified_residue	n_lipidation	n_glycosylation	n_cross_link	n_disulfide_bond	sum_mass_delta_g_per_mol	mw_master	ptm_mass_delta_fraction_of_mw
P11137	MAP2	2	46	46	46	0	46	0	0	0	0	3679.08	199523.4500	0.01843933633
P11142	HSPA8	2	21	21	21	0	19	0	0	2	0	989.59	70766.0600	0.0139839635
P11166	SLC2A1	1	6	6	5	1	5	0	1	0	0	361.96	54083.0650	0.006692668028
P11171	EPB41	2	26	26	26	0	26	0	0	0	0	2079.48	97015.4550	0.02143452298
P11172	UMPS	2	3	3	3	0	3	0	0	0	0	202	52089.6500	0.003877929685
P11177	PDHB	2	2	2	2	0	2	0	0	0	0	122.02	35904.0000	0.00339850713
P11182	DBT	2	16	16	16	0	16	0	0	0	0	1146.99	46399.0800	0.02472010221
P11216	PYGB	2	5	5	5	0	5	0	0	0	0	511.11	96563.4750	0.0052929951
P11217	PYGM	2	10	10	10	0	10	0	0	0	0	911.01	96959.5000	0.00939577865
P11233	RALA	2	4	4	4	0	2	1	1	0	0	528.63	23237.0900	0.02274940623
P11234	RALB	2	2	2	2	0	1	1	0	0	0	286.51	23078.8400	0.01241440211
P11277	SPTB	2	11	11	11	0	11	0	0	0	0	879.78	246332.3450	0.003571516359
P11279	LAMP1	2	28	28	4	24	0	0	24	0	4	-8.064	41984.1700	-0.000192072393
P11310	ACADM	2	14	14	14	0	14	0	0	0	0	974.68	43642.3650	0.02233334513
P11387	TOP1	2	27	27	27	0	8	0	0	19	0	183.64	90593.4450	0.002027078228
P11413	G6PD	2	11	11	11	0	11	0	0	0	0	658.25	59124.7650	0.01113323664
P11532	DMD	1	18	18	18	0	18	0	0	0	0	1439.64	426770.3300	0.003373336661
P11586	MTHFD1	2	4	4	4	0	4	0	0	0	0	281.98	101529.9100	0.002777309662
P11717	IGF2R	2	82	82	64	18	5	0	18	0	59	177.066	270332.2800	0.0006549939208
P11766	ADH5	2	6	6	6	0	6	0	0	0	0	482.12	39592.7300	0.012176983
P11908	PRPS2	2	0	0	0	0	0	0	0	0	0	0	34637.4200	0
P11940	PABPC1	2	18	18	16	2	18	0	0	0	0	440.44	70669.9050	0.006232355909
P12004	PCNA	2	9	9	9	0	5	0	0	3	1	192.064	28768.4200	0.006676209538
P12081	HARS1	2	3	3	3	0	3	0	0	0	0	202	57278.5850	0.003526623432
P12109	COL6A1	1	5	5	0	5	0	0	5	0	0	0	106476.7900	0
P12110	COL6A2	2	8	8	2	6	2	0	6	0	0	159.96	106508.8000	0.001501847735
P12111	COL6A3	2	31	31	15	16	12	0	15	0	4	313.912	340803.6050	0.000921093543
P12235	SLC25A4	2	7	7	7	0	7	0	0	0	0	494.32	32932.8700	0.01500992777
P12236	SLC25A6	2	5	5	5	0	5	0	0	0	0	211.25	32865.8550	0.006427643522
P12268	IMPDH2	2	8	8	8	0	5	0	0	3	0	307.9	55673.0500	0.005530503538
P12270	TPR	2	33	33	33	0	33	0	0	0	0	1830.42	267157.2950	0.006851469281
P12273	PIP	2	4	4	3	1	1	0	1	0	2	-21.062	13522.5050	-0.001557551652
P12277	CKB	2	11	11	11	0	7	0	0	4	0	452.8	42512.5050	0.01065098375
P12429	ANXA3	2	2	2	2	0	2	0	0	0	0	122.02	36243.4850	0.003366674038
P12694	BCKDHA	2	7	7	7	0	7	0	0	0	0	562.1	45512.4550	0.01235046538
P12814	ACTN1	1	9	9	9	0	9	0	0	0	0	568.06	103055.8450	0.005512157025
P12821	ACE	2	27	27	7	20	1	0	20	0	6	67.884	146826.6900	0.000462341009
P12829	MYL4	1	1	1	1	0	1	0	0	0	0	43.09	21433.1650	0.002010435696
P12882	MYH1	1	37	37	37	0	37	0	0	0	0	2856.42	223142.1500	0.01280089844
P12883	MYH7	1	9	9	9	0	9	0	0	0	0	682.93	223093.9700	0.003061176418
P12955	PEPD	2	2	2	2	0	2	0	0	0	0	122.02	54416.3650	0.002242340149
P12956	XRCC6	2	25	25	25	0	22	0	0	3	0	1251.27	69710.9150	0.01794941294
P13010	XRCC5	2	20	20	20	0	13	0	0	7	0	723.9	82572.1200	0.008766881606
P13073	COX4I1	2	8	8	8	0	8	0	0	0	0	528.26	17199.5600	0.03071357639
P13473	LAMP2	2	30	30	4	26	0	0	26	0	4	-8.064	42010.5450	-0.0001919518064
P13533	MYH6	1	13	13	13	0	13	0	0	0	0	1002.85	223731.4300	0.004482383186
P13535	MYH8	1	35	35	35	0	35	0	0	0	0	2696.46	222759.2000	0.01210481991
P13591	NCAM1	2	15	15	7	8	2	2	6	0	5	149.88	92406.4000	0.001621965578
P13611	VCAN	2	53	53	19	34	3	0	34	0	16	207.684	370511.0850	0.0005605338367
P13639	EEF2	2	25	25	25	0	22	0	0	3	0	2131.06	95205.8400	0.02238371092
P13667	PDIA4	2	4	4	4	0	1	0	0	0	3	35.992	70670.6900	0.0005092917587
P13674	P4HA1	2	2	2	0	2	0	0	2	0	0	0	59108.9700	0
P13693	TPT1	2	3	3	3	0	3	0	0	0	0	239.94	19595.1450	0.01224486984
P13716	ALAD	2	3	3	3	0	3	0	0	0	0	280.12	36294.3450	0.007718006758
P13747	HLA-E	2	4	4	3	1	1	0	1	0	2	75.948	37815.2800	0.00200839449
P13797	PLS3	2	5	5	5	0	5	0	0	0	0	399.9	70810.0550	0.005647503028
P13798	APEH	2	3	3	3	0	3	0	0	0	0	202	81223.4050	0.002486967888
P13804	ETFA	2	24	24	24	0	24	0	0	0	0	1665.14	32964.5750	0.05051301283
P13805	TNNT1	1	1	1	1	0	1	0	0	0	0	79.98	32947.7050	0.002427483189
P13807	GYS1	2	15	15	15	0	15	0	0	0	0	1199.7	83784.3400	0.01431890494
P13861	PRKAR2A	2	10	10	10	0	10	0	0	0	0	761.86	45386.6200	0.01678600433
P13929	ENO3	2	9	9	9	0	9	0	0	0	0	681.88	46855.1200	0.01455294533
P13987	CD59	2	10	10	6	4	0	1	4	0	5	152.06	8961.0600	0.01696897465
P13995	MTHFD2	2	2	2	2	0	1	0	0	1	0	24.02	34137.1700	0.0007036318476
P14209	CD99	2	2	2	2	0	2	0	0	0	0	159.96	16728.0100	0.009562404614
P14314	PRKCSH	2	17	17	15	2	7	0	2	0	8	563.822	57815.5150	0.009752088172
P14324	FDPS	2	4	4	4	0	4	0	0	0	0	212.21	48274.7000	0.004395884387
P14406	COX7A2	2	1	1	1	0	1	0	0	0	0	42.04	6721.7250	0.006254346912
P14543	NID1	2	26	26	24	2	2	0	2	0	22	115.768	133455.8600	0.000867462845
P14550	AKR1A1	2	7	7	7	0	7	0	0	0	0	524.16	36441.2850	0.01438368598
P14618	PKM	2	32	32	32	0	28	0	0	4	0	1601.51	57804.9850	0.027705396
P14621	ACYP2	2	2	2	2	0	2	0	0	0	0	122.02	11008.2750	0.01108438879
P14625	HSP90B1	2	17	17	10	7	10	0	6	0	1	808.15	90176.8350	0.00896183593
P14649	MYL6B	2	0	0	0	0	0	0	0	0	0	0	22763.7650	0
P14672	SLC2A4	2	6	6	5	1	4	1	1	0	0	558.33	54786.4800	0.01019101793
P14678	SNRPB	2	8	8	8	0	8	0	0	0	0	168.32	24609.8650	0.006839533659
P14735	IDE	2	2	2	2	0	2	0	0	0	0	200.14	117966.7700	0.001696579469
P14854	COX6B1	2	3	3	3	0	1	0	0	0	2	38.008	10061.0700	0.003777729407
P14866	HNRNPL	2	15	15	15	0	10	0	0	5	0	567.9	64132.1000	0.008855159897
P14868	DARS1	2	5	5	5	0	5	0	0	0	0	324.02	57135.4100	0.005671089085
P14923	JUP	1	7	7	7	0	6	0	1	0	0	645.13	81743.4900	0.007892126945
P14927	UQCRB	2	8	8	8	0	8	0	0	0	0	452.38	13399.0650	0.03376205728
P15090	FABP4	2	3	3	3	0	3	0	0	0	0	202	14587.5900	0.01384738672
P15104	GLUL	2	5	5	5	0	5	0	0	0	0	286.08	41932.7650	0.006822350017
P15121	AKR1B1	2	5	5	5	0	5	0	0	0	0	248.14	35721.7200	0.006946474022
P15151	PVR	2	14	14	4	10	1	0	10	0	3	73.932	43209.3600	0.001711018168
P15153	RAC2	2	5	5	5	0	3	1	1	0	0	1073.04	21115.1400	0.05081851221
P15170	GSPT1	2	0	0	0	0	0	0	0	0	0	0	55755.3600	0
P15172	MYOD1	1	2	2	1	1	1	0	0	1	0	14.03	34500.8050	0.000406657178
P15259	PGAM2	2	7	7	7	0	7	0	0	0	0	559.86	28765.7800	0.01946270882
P15311	EZR	2	7	7	7	0	7	0	0	0	0	521.92	69411.7350	0.007519189659
P15374	UCHL3	2	2	2	2	0	2	0	0	0	0	159.96	26182.2250	0.006109488403
P15382	KCNE1	1	4	4	1	3	1	0	3	0	0	79.98	14674.5600	0.005450248593
P15502	ELN	2	58	58	58	0	57	0	0	0	1	518.294	65750.0050	0.00788279788
P15529	CD46	2	36	36	15	21	7	0	21	0	8	543.732	39896.3950	0.01362859978
P15531	NME1	2	13	13	12	1	7	0	0	2	4	1358.712	17017.3500	0.07984274872
P15559	NQO1	2	3	3	3	0	1	0	0	2	0	43.94	30867.1650	0.001423519134
P15586	GNS	2	15	15	2	13	2	0	13	0	0	61.9	58307.7050	0.001061609268
P15735	PHKG2	2	1	1	1	0	1	0	0	0	0	79.98	46441.4550	0.001722168265
P15848	ARSB	2	11	11	5	6	1	0	6	0	4	-26.144	56011.7500	-0.0004667592068
P15880	RPS2	2	12	12	12	0	7	0	0	5	0	355.94	31192.9450	0.01141091359
P15924	DSP	2	34	34	34	0	34	0	0	0	0	2445.65	331768.7800	0.007371549547
P15927	RPA2	2	9	9	9	0	7	0	0	2	0	485.88	29246.4550	0.01661329553
P15954	COX7C	2	2	2	2	0	2	0	0	0	0	142.11	5356.1800	0.02653196868
P16070	CD44	2	17	17	7	10	4	0	10	0	3	313.872	79209.6050	0.003962549744
P16083	NQO2	2	2	2	2	0	2	0	0	0	0	159.96	25918.2000	0.006171724888
P16118	PFKFB1	2	3	3	3	0	3	0	0	0	0	202	54549.3550	0.003703068533
P16152	CBR1	2	4	4	4	0	4	0	0	0	0	274.06	30243.3550	0.009061825317
P16157	ANK1	1	34	34	34	0	34	0	0	0	0	2143.5	206261.6200	0.01039214179
P16219	ACADS	2	11	11	11	0	11	0	0	0	0	732.5	41720.4550	0.01755733489
P16284	PECAM1	2	20	20	11	9	4	1	9	0	6	546.234	79563.6800	0.006865368721
P16298	PPP3CB	1	2	2	2	0	2	0	0	0	0	122.02	58892.3200	0.002071917017
P16402	H1-3	2	32	32	32	0	32	0	0	0	0	2353.97	22218.4950	0.1059464199
P16403	H1-2	2	63	63	63	0	63	0	0	0	0	5209.47	21233.3650	0.2453435901
P16435	POR	2	2	2	2	0	2	0	0	0	0	122.02	76557.4650	0.001593835428
P16615	ATP2A2	2	8	8	8	0	7	0	0	0	1	487.884	114755.4950	0.004251508828
P16671	CD36	2	19	19	9	10	0	4	10	2	3	911.552	52921.5700	0.01722458347
P16930	FAH	2	4	4	4	0	4	0	0	0	0	281.98	46242.4850	0.006097855684
P16949	STMN1	2	11	11	11	0	11	0	0	0	0	662.07	17171.0650	0.03855730556
P16989	YBX3	2	13	13	13	0	13	0	0	0	0	869.9	39958.2400	0.02177022812
P17050	NAGA	2	11	11	6	5	2	0	5	0	4	151.896	44702.4450	0.003397934945
P17066	HSPA6	2	1	1	1	0	1	0	0	0	0	43.09	71027.2100	0.000606668909
P17152	TMEM11	2	0	0	0	0	0	0	0	0	0	0	21540.4550	0
P17174	GOT1	2	2	2	2	0	2	0	0	0	0	309.11	46115.6550	0.00670292984
P17301	ITGA2	2	16	16	6	10	0	0	10	0	6	-12.096	126377.1550	-9.571350138e-05
P17480	UBTF	2	14	14	14	0	14	0	0	0	0	1081.78	89404.6850	0.01209981334
P17540	CKMT2	2	2	2	2	0	2	0	0	0	0	159.96	43342.9750	0.003690563465
P17568	NDUFB7	2	4	4	4	0	1	1	0	0	2	286.308	16270.5250	0.01759672783
P17655	CAPN2	2	3	2	2	0	1	0	0	2	0	-36.04	78140.0500	-0.00046122315
P17661	DES	1	21	21	21	0	21	0	0	0	0	1891.12	53403.7200	0.03541176532
P17693	HLA-G	2	5	5	2	3	0	0	1	0	4	-4.032	38223.5250	-0.0001054847767
P17812	CTPS1	2	11	11	11	0	11	0	0	0	0	841.84	66689.5300	0.01262327085
P17844	DDX5	2	22	22	22	0	8	0	0	14	0	235.8	69147.2050	0.003410116143
P17858	PFKL	2	5	5	5	0	4	0	1	0	0	485.17	84886.2600	0.005715530405
P17931	LGALS3	2	5	5	4	1	4	0	0	0	1	281.98	26020.8100	0.01083671108
P17980	PSMC3	2	3	3	3	0	3	0	0	0	0	202	49202.8900	0.004105449903
P17987	TCP1	2	9	9	9	0	9	0	0	0	0	568.06	60342.7550	0.009413889041
P18031	PTPN1	2	17	17	17	0	16	0	0	1	0	1028.86	49966.1500	0.0205911402
P18077	RPL35A	2	3	3	3	0	3	0	0	0	0	184.15	12537.5450	0.01468788347
P18085	ARF4	2	2	2	2	0	1	1	0	0	0	290.34	20379.2900	0.01424681625
P18124	RPL7	2	5	5	5	0	5	0	0	0	0	344.11	29225.4650	0.01177432078
P18206	VCL	1	21	21	21	0	21	0	0	0	0	1603.7	123797.3550	0.01295423477
P18510	IL1RN	2	2	2	1	1	0	0	1	0	1	-2.016	17126.2250	-0.0001177142073
P18564	ITGB6	2	37	37	28	9	0	0	9	0	28	-56.448	83530.3700	-0.0006757781631
P18583	SON	2	46	46	46	0	42	0	0	4	0	2965.51	263694.9800	0.0112459858
P18621	RPL17	2	0	0	0	0	0	0	0	0	0	0	21265.5700	0
P18669	PGAM1	2	10	10	10	0	10	0	0	0	0	668.13	28672.2800	0.02330229755
P18859	ATP5PF	2	9	9	9	0	9	0	0	0	0	532.36	8960.0350	0.05941494648
P19022	CDH2	2	9	7	0	7	2	0	7	0	0	0	82028.8100	0
P19075	TSPAN8	2	1	1	0	1	0	0	1	0	0	0	26043.5300	0
P19105	MYL12A	2	2	2	2	0	2	0	0	0	0	159.96	19793.8900	0.008081281648
P19174	PLCG1	2	13	13	13	0	13	0	0	0	0	1001.8	148398.7300	0.006750731627
P19237	TNNI1	1	2	2	2	0	2	0	0	0	0	122.02	21560.8750	0.005659325051
P19256	CD58	2	7	7	1	6	0	0	6	0	1	-2.016	25338.6950	-7.956210847e-05
P19320	VCAM1	2	12	12	6	6	0	0	6	0	6	-12.096	78744.1300	-0.0001536114501
P19338	NCL	2	72	72	72	0	61	0	0	11	0	3260.63	76482.5000	0.04263236688
P19367	HK1	2	2	2	2	0	2	0	0	0	0	122.02	102484.7800	0.001190615816
P19387	POLR2C	2	2	2	2	0	2	0	0	0	0	159.96	31309.5350	0.005108986767
P19404	NDUFV2	2	2	2	2	0	2	0	0	0	0	122.02	23760.0700	0.005135506756
P19429	TNNI3	1	18	18	18	0	18	0	0	0	0	1401.7	23875.9500	0.05870761163
P19474	TRIM21	2	1	1	1	0	1	0	0	0	0	79.98	54168.9500	0.001476491606
P19525	EIF2AK2	2	17	17	17	0	15	0	0	2	0	1125.72	61962.2650	0.01816783166
P19623	SRM	2	1	1	1	0	1	0	0	0	0	42.04	33824.2250	0.001242896179
P19793	RXRA	2	11	11	11	0	9	0	0	2	0	645.84	50810.6550	0.01271071983
P19823	ITIH2	2	14	13	6	7	6	0	6	0	2	243.948	72451.2250	0.003367065222
P19827	ITIH1	2	11	10	5	5	4	0	5	0	2	235.908	71413.9450	0.003303388435
P19961	AMY2B	2	6	6	6	0	1	0	0	0	5	-27.11	55889.8850	-0.0004850609372
P19971	TYMP	2	1	0	0	0	1	0	0	0	0	0	49023.5250	0
P20020	ATP2B1	2	10	10	10	0	10	0	0	0	0	761.86	134551.8500	0.005662203827
P20042	EIF2S2	2	13	13	13	0	12	0	0	1	0	827.92	38256.7950	0.02164112284
P20073	ANXA7	2	1	1	1	0	1	0	0	0	0	42.04	52738.5450	0.0007971399287
P20231	TPSB2	2	6	6	5	1	1	0	1	0	4	71.916	27580.1400	0.002607528461
P20339	RAB5A	2	4	4	4	0	1	2	1	0	0	828.13	23658.3700	0.03500367946
P20340	RAB6A	2	6	6	6	0	4	2	0	0	0	1010.22	23461.2900	0.04305901338
P20472	PVALB	2	3	3	3	0	3	0	0	0	0	202	11927.4100	0.01693578069
P20591	MX1	2	1	1	1	0	1	0	0	0	0	42.04	75519.1650	0.0005566798838
P20592	MX2	2	0	0	0	0	0	0	0	0	0	0	82087.4600	0
P20618	PSMB1	2	8	7	7	0	6	0	2	0	0	768.34	23548.6800	0.03262773115
P20671	H2AC7	2	40	40	39	1	37	0	0	3	0	2899.62	13976.0900	0.2074700435
P20674	COX5A	2	3	3	3	0	3	0	0	0	0	164.06	12500.9900	0.0131237606
P20700	LMNB1	2	41	41	40	1	26	1	1	12	1	1845.3	65960.6850	0.02797575556
P20774	OGN	2	5	5	1	4	0	0	4	0	1	-2.016	31733.9250	-6.352822728e-05
P20807	CAPN3	1	0	0	0	0	0	0	0	0	0	0	94252.3600	0
P20839	IMPDH1	2	3	3	3	0	3	0	0	0	0	108.04	55273.9000	0.001954629581
P20908	COL5A1	2	78	73	73	0	73	0	0	0	5	2128.9	153485.7150	0.01387034618
P20929	NEB	1	0	0	0	0	0	0	0	0	0	0	986650.4600	0
P20962	PTMS	2	8	8	8	0	8	0	0	0	0	488.08	11398.6000	0.0428192936
P21266	GSTM3	2	2	2	2	0	0	0	0	2	0	-36.04	26559.2200	-0.001356967562
P21281	ATP6V1B2	2	0	0	0	0	0	0	0	0	0	0	56499.9700	0
P21283	ATP6V1C1	2	1	1	1	0	1	0	0	0	0	42.04	43809.8000	0.000959602646
P21291	CSRP1	1	8	8	8	0	7	0	0	1	0	352.14	20567.3300	0.01712132785
P21333	FLNA	1	53	53	53	0	48	0	0	5	0	3220.02	280605.1050	0.01147527234
P21397	MAOA	2	3	3	3	0	3	0	0	0	0	905.56	59680.9500	0.01517335096
P21399	ACO1	2	1	1	1	0	1	0	0	0	0	79.98	98397.6100	0.0008128246204
P21695	GPD1	2	3	3	3	0	3	0	0	0	0	260.03	37567.2500	0.006921720381
P21796	VDAC1	2	21	21	21	0	12	0	0	9	0	627.97	30641.0650	0.02049439208
P21817	RYR1	1	8	8	8	0	8	0	0	0	0	588.86	565167.7050	0.001041920822
P21912	SDHB	2	2	2	2	0	2	0	0	0	0	84.08	28806.9950	0.002918735536
P21953	BCKDHB	2	2	2	2	0	2	0	0	0	0	84.08	37864.9250	0.002220524668
P21964	COMT	2	1	1	1	0	1	0	0	0	0	79.98	30036.6100	0.002662750557
P21980	TGM2	2	6	6	5	1	3	0	0	1	2	160.028	77196.7050	0.002072990032
P22033	MMUT	2	7	7	7	0	7	0	0	0	0	448.28	79339.8650	0.00565012305
P22059	OSBP	2	15	15	15	0	15	0	0	0	0	1161.76	89288.1950	0.01301135049
P22061	PCMT1	2	1	1	1	0	1	0	0	0	0	42.04	24504.8350	0.001715579803
P22087	FBL	2	18	18	18	0	12	0	0	6	0	440.23	33783.9700	0.01303073617
P22102	GART	2	7	7	7	0	7	0	0	0	0	483.98	107634.6000	0.004496509487
P22105	TNXB	2	61	61	56	5	0	0	5	0	56	-112.896	455951.7600	-0.0002476051414
P22234	PAICS	2	8	8	8	0	8	0	0	0	0	526.02	46947.4150	0.01120445077
P22314	UBA1	2	16	16	16	0	16	0	0	0	0	1148.01	117716.1500	0.009752357684
P22392	NME2	2	0	0	0	0	0	0	0	0	0	0	17297.8450	0
P22460	KCNA5	1	4	4	4	0	1	1	0	2	0	282.35	67226.8800	0.004199956922
P22528	SPRR1B	2	0	0	0	0	0	0	0	0	0	0	9887.4500	0
P22570	FDXR	2	2	2	2	0	2	0	0	0	0	159.96	49994.6900	0.003199539791
P22626	HNRNPA2B1	2	46	46	46	0	36	0	0	10	0	1746.08	37429.5400	0.04664978517
P22694	PRKACB	2	9	9	9	0	8	1	0	0	0	771.2	40490.9550	0.01904622897
P22695	UQCRC2	2	3	3	3	0	3	0	0	0	0	126.12	46783.3200	0.002695832617
P22735	TGM1	2	7	7	7	0	7	0	0	0	0	559.86	89785.6300	0.00623551898
P22830	FECH	2	4	4	4	0	4	0	0	0	0	284.22	42186.0600	0.006737296633
P23109	AMPD1	2	4	4	4	0	4	0	0	0	0	319.92	86488.6900	0.003698980757
P23142	FBLN1	2	38	38	35	3	0	0	3	0	35	-70.56	74290.0050	-0.0009497912943
P23193	TCEA1	2	6	6	6	0	5	0	0	1	0	343.94	33969.2700	0.0101250336
P23246	SFPQ	2	31	31	31	0	28	0	0	3	0	1326.31	76148.4900	0.01741741694
P23258	TUBG1	2	1	1	1	0	1	0	0	0	0	79.98	51169.1100	0.001563052396
P23284	PPIB	2	6	6	5	1	5	0	1	0	0	313.22	20289.1600	0.01543780028
P23297	S100A1	2	1	1	1	0	1	0	0	0	0	29	10545.7050	0.002749934689
P23327	HRC	1	8	8	8	0	8	0	0	0	0	639.84	77182.7900	0.008289930955
P23352	ANOS1	2	11	11	5	6	0	0	6	0	5	-10.08	73799.0750	-0.0001365870778
P23368	ME2	2	5	5	5	0	5	0	0	0	0	210.2	63413.2450	0.00331476492
P23381	WARS1	2	2	2	2	0	2	0	0	0	0	180.05	53033.4250	0.003395028701
P23396	RPS3	2	21	21	21	0	16	0	0	5	0	978	26556.8450	0.03682666371
P23434	GCSH	2	1	1	1	0	1	0	0	0	0	188.3	13813.2200	0.0136318686
P23490	LORICRIN	2	8	8	0	8	0	0	0	8	0	0	25760.8650	0
P23497	SP100	2	20	20	20	0	13	0	0	7	0	875.66	100284.2250	0.008731782092
P23508	MCC	2	1	1	1	0	1	0	0	0	0	79.98	93025.7800	0.0008597616704
P23526	AHCY	2	4	4	4	0	4	0	0	0	0	288.09	47584.3200	0.006054305284
P23527	H2BC17	2	95	95	82	13	90	0	1	4	0	6473.92	13774.7700	0.4699838908
P23528	CFL1	2	15	15	15	0	14	0	0	1	0	949.94	18371.1200	0.05170833351
P23588	EIF4B	2	24	24	24	0	23	0	0	1	0	1745.64	69150.1700	0.02524418957
P23634	ATP2B4	1	3	3	3	0	3	0	0	0	0	239.94	137918.4100	0.001739724233
P23786	CPT2	2	12	12	12	0	12	0	0	0	0	910.69	71128.6900	0.01280341308
P23919	DTYMK	2	2	2	2	0	2	0	0	0	0	84.08	23687.7500	0.003549513989
P23921	RRM1	2	4	4	4	0	3	0	0	0	1	162.044	90068.9550	0.00179911047
P24043	LAMA2	2	94	94	64	30	0	0	28	0	66	-129.024	341912.3950	-0.0003773598205
P24298	GPT	2	3	3	3	0	3	0	0	0	0	351.15	54504.9200	0.006442537664
P24310	COX7A1	2	0	0	0	0	0	0	0	0	0	0	6742.6950	0
P24311	COX7B	2	0	0	0	0	0	0	0	0	0	0	6362.0650	0
P24534	EEF1B2	2	9	9	9	0	8	0	0	1	0	583.88	24632.1850	0.02370394669
P24539	ATP5PB	2	7	7	7	0	7	0	0	0	0	352.31	24625.2650	0.01430685111
P24593	IGFBP5	2	11	11	10	1	1	0	1	0	9	61.836	28572.5450	0.002164175435
P24666	ACP1	2	3	3	3	0	3	0	0	0	0	202	17911.0700	0.01127794152
P24821	TNC	2	70	70	46	24	4	0	24	0	42	235.248	238643.3000	0.0009857724897
P24844	MYL9	1	3	3	3	0	3	0	0	0	0	202	19695.7500	0.0102560197
P24928	POLR2A	2	70	70	69	1	69	0	0	1	0	4176.19	217203.3350	0.01922709888
P25205	MCM3	2	18	18	18	0	18	0	0	0	0	1325.82	90848.3000	0.01459377886
P25311	AZGP1	2	7	7	3	4	1	0	4	0	2	-21.062	32144.4650	-0.0006552294462
P25325	MPST	2	10	10	9	1	9	0	0	0	1	704.21	33046.7050	0.02130953752
P25398	RPS12	2	2	2	2	0	2	0	0	0	0	142.11	14383.6200	0.009879988487
P25685	DNAJB1	2	1	1	1	0	1	0	0	0	0	79.98	37912.5200	0.002109593348
P25686	DNAJB2	2	4	4	4	0	3	1	0	0	0	408.53	35108.9050	0.01163607922
P25705	ATP5F1A	2	37	37	37	0	36	0	1	0	0	2592.53	55208.5350	0.04695886243
P25786	PSMA1	2	6	6	6	0	3	0	1	2	0	369.15	29555.1300	0.01249021743
P25787	PSMA2	2	10	10	10	0	10	0	0	0	0	685.98	25767.0600	0.02662236204
P25788	PSMA3	2	6	6	6	0	6	0	0	0	0	328.12	28301.7050	0.0115936478
P25789	PSMA4	2	5	5	5	0	5	0	0	0	0	324.02	29483.4300	0.01098990179
P25815	S100P	2	0	0	0	0	0	0	0	0	0	0	10399.7800	0
P25940	COL5A3	2	8	8	2	6	0	0	3	0	5	-4.032	169089.8450	-2.384531135e-05
P26038	MSN	2	10	10	10	0	10	0	0	0	0	655.09	67687.8150	0.009678108239
P26196	DDX6	2	1	1	1	0	1	0	0	0	0	79.98	54416.0500	0.001469786947
P26232	CTNNA2	2	5	5	5	0	5	0	0	0	0	399.9	105311.4100	0.003797309332
P26368	U2AF2	2	9	9	9	0	7	0	0	2	0	319.98	53369.1350	0.005995600266
P26373	RPL13	2	10	10	10	0	5	0	0	5	0	233.92	24261.1400	0.009641756323
P26440	IVD	2	10	10	10	0	10	0	0	0	0	710.55	43068.0250	0.01649831865
P26447	S100A4	2	3	3	3	0	3	0	0	0	0	126.12	11597.2150	0.01087502474
P26583	HMGB2	2	12	12	12	0	11	0	0	0	1	554.184	24033.5300	0.02305878496
P26599	PTBP1	2	8	8	8	0	6	0	0	2	0	405.9	59632.1400	0.006806732074
P26639	TARS1	2	6	6	6	0	6	0	0	0	0	441.94	83434.0500	0.005296878193
P26640	VARS1	2	4	4	4	0	4	0	0	0	0	244.04	140342.6000	0.001738887551
P26641	EEF1G	2	8	8	8	0	6	0	0	2	0	260.21	49986.8850	0.00520556542
P26678	PLN	2	4	4	4	0	3	1	0	0	0	440.41	6108.4750	0.07209819145
P26885	FKBP2	2	0	0	0	0	0	0	0	0	0	0	13300.2400	0
P27105	STOM	2	6	6	6	0	4	2	0	0	0	796.74	31730.2550	0.02510978875
P27144	AK4	2	6	6	6	0	6	0	0	0	0	426.33	25267.6300	0.0168725757
P27169	PON1	2	4	4	1	3	0	0	3	0	1	-2.016	39599.5850	-5.090962443e-05
P27338	MAOB	2	3	3	3	0	3	0	0	0	0	867.62	58631.0000	0.01479797377
P27348	YWHAQ	2	10	10	10	0	9	0	0	1	0	442.14	27763.8500	0.01592502481
P27361	MAPK3	2	5	5	5	0	5	0	0	0	0	361.96	43003.7150	0.008416947234
P27482	CALML3	2	0	0	0	0	0	0	0	0	0	0	16890.5500	0
P27635	RPL10	2	3	3	3	0	1	0	0	2	0	-35.06	24445.4000	-0.001434216662
P27694	RPA1	2	23	23	23	0	7	0	0	16	0	119.78	68137.3850	0.001757918946
P27695	APEX1	2	13	13	13	0	12	0	0	0	1	539.224	35422.8100	0.01522250776
P27797	CALR	2	6	6	5	1	4	0	1	0	1	210.194	46465.7450	0.004523633485
P27816	MAP4	2	47	47	47	0	45	0	0	2	0	3525.12	120872.2100	0.02916402372
P27824	CANX	2	9	9	9	0	5	2	0	0	2	834.748	65394.6950	0.01276476632
P27986	PIK3R1	2	6	6	6	0	6	0	0	0	0	441.94	83465.9400	0.005294854404
P28065	PSMB9	2	2	2	2	0	2	0	0	0	0	84.08	21275.7800	0.003951911516
P28066	PSMA5	2	6	6	6	0	5	0	1	0	0	565.15	26410.6700	0.02139854839
P28070	PSMB4	2	3	1	1	0	3	0	0	0	0	79.98	24391.4700	0.003279015164
P28072	PSMB6	2	2	1	1	0	2	0	0	0	0	79.98	21903.6000	0.003651454555
P28074	PSMB5	2	0	0	0	0	0	0	0	0	0	0	22458.0850	0
P28161	GSTM2	2	2	2	2	0	2	0	0	0	0	159.96	25744.2650	0.006213422679
