# GENERATED by mass_fractions_pools.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-19T07:18:36Z
# category    = blood
# pool erythrocytes: bryk_2017 file.1 data/literature/bryk_2017/pr7b00025_si_002.xlsx sha256 de865512e5f0478dc6ba2e17258013fa7084a74144fdf1c07bd0e9174daf6400; sheet 'Table S3', header row 3; Bryk AH, Wiśniewski JR. Quantitative analysis of human red blood cell proteome. J Proteome Res 2017;16(8):2752-2761.  [author list verified 2026-09-18 from the article PDF on disk]
# pool plasma: geyer_2016 file.1 data/literature/geyer_2016/1-s2.0-S2405471216300722-mmc3.xlsx sha256 ccffa0e715fa41a3c839842830bcdea45e068004b6b9e1096133c38a6d0921d2; sheet 'Supplementary Table S2', header row 1; Geyer PE, Kulak NA, Pichler G, Holdt LM, Teupser D, Mann M. Plasma proteome profiling to assess human health and disease. Cell Syst 2016;2(3):185-195.  [author list verified 2026-09-18 from the article PDF on disk]
# accessions  = config/blood/accessions.ini sha256 ca1780b8054f3bd0c63af53ab3bf3232e35cca24e13302444f0e92a8639fb271
# composition = outputs/blood/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 5fa362bcf0b6766e6d694840c9c21f80e8d5c70b324748fd239b4caa786cd439
# rules       = B0 (hash), D105 (published mass share, no MW step), D108 (mean of replicates), D47 (summed rows), D48 (shared rows), D53a, D31 (within pool), B5 (low/high), A7, D113 (immunoglobulin bound)
# v = the entry's published mass share (mass_share, D105), summed over its rows (D47) plus its split of shared rows (D48); as a fraction of the listing (not renormalised).
# sd / n: share_columns -> sd over the replicates of v (the replicate sums, D53a), n = replicates; replicate_columns (log10 runs) -> sd of 10^run in linear space, n = runs present.
# w_<pool> = v / sum over the pool's entries (D31 within pool: the listing renormalised after the contaminant rule removed its rows); _low/_high = (v -/+ sd) over the same denominator, _high plus the whole of every shared row (B5, D48).
# v_<pool>_rep<k> = the entry's share in replicate k (the per-donor sensitivity's input); cv_percent_published = the dataset's own CV column, carried for the first row of the entry.
# match_rule: single | summed:n | shared_split | none (no dataset row, or every row zero-weighted; w = 0).
accession	gene	tier	mw_master	match_rule_erythrocytes	n_rows_erythrocytes	rows_erythrocytes	v_erythrocytes	sd_erythrocytes	n_erythrocytes	published_share_erythrocytes	shared_row_value_erythrocytes	w_erythrocytes	w_erythrocytes_low	w_erythrocytes_high	v_erythrocytes_rep1	v_erythrocytes_rep2	v_erythrocytes_rep3	v_erythrocytes_rep4	match_rule_plasma	n_rows_plasma	rows_plasma	v_plasma	sd_plasma	n_plasma	published_share_plasma	shared_row_value_plasma	w_plasma	w_plasma_low	w_plasma_high	cv_percent_published_plasma
P07099	EPHX1	erythrocytes	52948.1100	single	1	764	2.943570838e-06	4.741754941e-06	4	2.943570838e-06	0	2.968995803e-06	0	7.751707446e-06	9.94210395e-06	9.006370672e-09	1.613555129e-08	1.80703748e-06												
P07108	DBI	erythrocytes	9913.1150	single	1	582	1.280086808e-05	3.386415021e-06	4	1.280086808e-05	0	1.291143502e-05	9.495769983e-06	1.632710005e-05	1.608890815e-05	9.777923001e-06	9.983280731e-06	1.535336042e-05												
P07195	LDHB	erythrocytes;plasma	36506.8400	single	1	1260	0.003727013033	0.0006646665146	4	0.003727013033	0	0.003759204946	0.003088797403	0.004429612489	0.002875641039	0.003570541031	0.00441553217	0.004046337892	single	1	233	19975975.65	4456691.73	3	4.940193506e-06	0	4.957868451e-06	3.851755202e-06	6.063981699e-06	20.4
P07225	PROS1	plasma	70644.4400																single	1	316	1139499135	85455908.28	15	0.0002818058215	0	0.0002828140618	0.0002616046271	0.0003040234965	7.4
P07237	P4HB	erythrocytes	55293.2600	single	1	1536	0.0001689739518	8.537868116e-05	4	0.0001689739518	0	0.0001704334569	8.431732111e-05	0.0002565495927	8.761395427e-05	0.0002000310964	0.0001134427479	0.0002748080085												
P07311	ACYP1	erythrocytes	11129.5150	single	1	56	2.601543778e-05	1.043269308e-05	4	2.601543778e-05	0	2.624014499e-05	1.571733998e-05	3.676295e-05	4.138537881e-05	1.870827424e-05	2.050260754e-05	2.346549054e-05												
P07333	CSF1R	plasma	106066.9200																single	1	240	4932294.503	1571091.449	9	1.219789696e-06	0	1.22415384e-06	8.34222211e-07	1.614085469e-06	29.8
P07355	ANXA2	erythrocytes	38472.2950	single	1	146	9.419467351e-05	5.44616924e-05	4	9.419467351e-05	0	9.50082759e-05	4.0076173e-05	0.0001499403788	0.000169027765	3.948016178e-05	7.698766313e-05	9.128310412e-05												
P07357	C8A	plasma	61710.3450																single	1	83	878909178.8	94630005.08	15	0.0002173601677	0	0.0002181378354	0.0001946514673	0.0002416242035	10.6
P07358	C8B	plasma	60943.1500																single	1	84	1094999700	81841982.09	15	0.0002708008109	0	0.0002717696776	0.0002514571889	0.0002920821664	7.3
P07359	GP1BA	plasma	69776.6250																single	1	272	17316016.86	5773915.362	14	4.282367757e-06	0	4.297689143e-06	2.864652114e-06	5.730726172e-06	29.4
P07360	C8G	plasma	20384.7850																single	1	85	318920179.6	41565347.48	15	7.887111136e-05	0	7.915329515e-05	6.883712695e-05	8.946946336e-05	13
P07384	CAPN1	erythrocytes	81757.7300	single	1	366	0.0009053692114	0.0001774092798	4	0.0009053692114	0	0.0009131892985	0.0007342476538	0.001092130943	0.001107588044	0.0006749467947	0.0009238005624	0.0009151414444												
P07437	TUBB	erythrocytes	49670.2450	single	1	2432	0	0	4	0	0	0	0	0	0	0	0	0												
P07451	CA3	erythrocytes	29425.7900	single	1	352	0.0004675109816	0.0001241802678	4	0.0004675109816	0	0.0004715490874	0.000346296218	0.0005968019568	0.0005036402882	0.0002832362334	0.0005452010987	0.0005379663063												
P07477	PRSS1	erythrocytes	24114.0050	single	1	1745	9.0013139e-05	3.23358335e-05	4	9.0013139e-05	0	9.079062356e-05	5.817549071e-05	0.0001234057564	0.0001248982513	6.963839969e-05	5.630571383e-05	0.0001092101912												
P07602	PSAP	erythrocytes	56492.0750	single	1	1748	2.527013619e-07	3.989371373e-07	4	2.527013619e-07	0	2.548840589e-07	0	6.572669983e-07	0	1.722206376e-07	0	8.385848101e-07												
P07737	PFN1	erythrocytes	14922.9000	single	1	1595	4.45475391e-06	5.286958703e-06	4	4.45475391e-06	0	4.493231652e-06	0	9.825856231e-06	1.289925331e-06	1.228532262e-05	1.217095154e-06	3.026672529e-06												
P07738	BPGM	erythrocytes	29873.5450	single	1	301	0.004631347168	0.0003351669788	4	0.004631347168	0	0.004671350227	0.004333288258	0.005009412196	0.004817807924	0.004144573779	0.004681002421	0.004882004547												
P07741	APRT	erythrocytes	19476.2700	single	1	178	0.0002214775684	3.150691411e-05	4	0.0002214775684	0	0.0002233905713	0.0001916115175	0.000255169625	0.000191379754	0.0001995563171	0.0002584105994	0.0002365636032												
P07814	EPRS1	erythrocytes	170588.7550	single	1	767	2.177426968e-07	1.91082152e-07	4	2.177426968e-07	0	2.196234398e-07	2.689082407e-08	4.123560555e-07	4.246741679e-07	3.351017101e-07	6.903686492e-08	4.215804413e-08												
P07858	CTSB	erythrocytes	27814.7250	single	1	554	1.518740769e-05	1.271721661e-05	4	1.518740769e-05	0	1.531858827e-05	2.491527253e-06	2.814564928e-05	0	1.710469366e-05	3.084470197e-05	1.280023514e-05												
P07900	HSP90AA1	erythrocytes	84527.4800	single	1	1064	0.0006751866264	8.007013307e-05	4	0.0006751866264	0	0.0006810185215	0.0006002567861	0.0007617802568	0.0005821745796	0.0007523054995	0.0007306138447	0.000635652582												
P07902	GALT	erythrocytes	43362.3300	single	1	883	2.772548404e-07	5.545096807e-07	4	2.772548404e-07	0	2.79649617e-07	0	8.389488509e-07	1.109019361e-06	0	0	0												
P07910	HNRNPC	erythrocytes	33538.4000	single	1	1050	1.329408975e-06	1.590165662e-06	4	1.329408975e-06	0	1.340891687e-06	0	2.944792336e-06	6.090954704e-07	3.712581247e-06	4.481336242e-07	5.478255586e-07												
P07947	YES1	erythrocytes	60669.3050	single	1	2596	3.839014138e-06	2.746933479e-06	4	3.839014138e-06	0	3.872173455e-06	1.101513459e-06	6.642833452e-06	2.395150923e-06	3.00477748e-06	2.040261383e-06	7.915866766e-06												
P07948	LYN	erythrocytes	58442.1100	single	1	1301	8.448471087e-06	1.009267395e-05	4	8.448471087e-06	0	8.521444387e-06	0	1.870129337e-05	2.332219401e-05	1.883053719e-06	6.130059662e-06	2.458576953e-06												
P07951	TPM2	erythrocytes	32850.2550	single	1	2386	3.415455965e-05	1.393545441e-05	4	3.415455965e-05	0	3.444956817e-05	2.039374688e-05	4.850538946e-05	5.434942692e-05	2.307028242e-05	2.73194206e-05	3.187910865e-05												
P07954	FH	erythrocytes	50080.9550	single	1	840	0.0001184195375	3.939216881e-05	4	0.0001184195375	0	0.0001194423811	7.970996415e-05	0.0001591747981	7.492411792e-05	0.000118612805	0.0001702848637	0.0001098563634												
P08174	CD55	erythrocytes	34963.9000	single	1	417	2.196734267e-06	3.928454602e-06	4	2.196734267e-06	0	2.215708463e-06	0	6.178094921e-06	0	8.077558922e-06	5.808147318e-07	1.285634128e-07												
P08185	SERPINA6	plasma	42638.1400																single	1	94	3419605446	183519302.8	15	0.0008456914901	0	0.0008487171914	0.0008031692504	0.0008942651325	5.4
P08195	SLC3A2	erythrocytes	57812.6650	single	1	2151	0	0	4	0	0	0	0	0	0	0	0	0												
P08235	NR3C2	erythrocytes	107080.1450	single	1	1488	4.335843448e-06	6.309443971e-06	4	4.335843448e-06	0	4.373294107e-06	0	1.073723563e-05	1.371113529e-05	0	1.686515713e-06	1.945722792e-06												
P08236	GUSB	erythrocytes	72577.2800	single	1	984	0	0	4	0	0	0	0	0	0	0	0	0												
P08237	PFKM	erythrocytes	85050.3600	single	1	1593	0.0001337430711	4.365797196e-05	4	0.0001337430711	0	0.0001348982711	9.086320528e-05	0.0001789333369	0.00017537448	0.0001668628133	8.950831443e-05	0.0001032266768												
P08238	HSP90AB1	erythrocytes	83131.9600	single	1	1065	7.660832854e-05	3.283815725e-05	4	7.660832854e-05	0	7.727002964e-05	4.414823424e-05	0.000110391825	4.22218876e-05	0.0001198756596	8.056756659e-05	6.376820038e-05												
P08246	ELANE	erythrocytes	25561.0850	single	1	737	0	0	4	0	0	0	0	0	0	0	0	0												
P08294	SOD3	plasma	24132.4250																single	1	108	4319743.9	1319024.714	12	1.068301801e-06	0	1.072123954e-06	7.447531593e-07	1.399494748e-06	28
P08397	HMBS	erythrocytes	39198.2450	single	1	1042	0.0006290379331	0.0001214307941	4	0.0006290379331	0	0.0006344712208	0.0005119915735	0.0007569508681	0.0007654724853	0.0005231450482	0.000697260292	0.0005302739067												
P08571	CD14	plasma	37214.1050																single	1	248	90168947.42	12870367.61	14	2.229938884e-05	0	2.237917123e-05	1.918485469e-05	2.557348778e-05	14.4
P08603	CFH	plasma	137051.4600																single	1	89	8381099565	478359803	15	0.002072702449	0	0.00208011813	0.001961393267	0.002198842993	5.7
P08631	HCK	erythrocytes	59467.8800	single	1	1011	0	0	4	0	0	0	0	0	0	0	0	0												
P08637	FCGR3A	plasma	27324.4750																single	1	234	23958024.24	3303126.491	15	5.924980979e-06	0	5.94617928e-06	5.126371181e-06	6.765987379e-06	14
P08670	VIM	erythrocytes	53519.5800	single	1	2533	0	0	4	0	0	0	0	0	0	0	0	0												
P08697	SERPINF2	plasma	50449.9650																single	1	14	4596698298	347181816.1	15	0.001136794491	0	0.001140861696	0.001054694102	0.001227029291	7.6
P08708	RPS17	erythrocytes	15418.7650	single	1	1995	6.216412607e-05	1.356950944e-05	4	6.216412607e-05	0	6.2701066e-05	4.901435052e-05	7.638778149e-05	7.724402225e-05	4.588309807e-05	6.820520018e-05	5.732418379e-05												
P08709	F7	plasma	45078.6750																single	1	62	19210514.66	3307361.887	4	4.75088984e-06	0	4.767887497e-06	3.947028209e-06	5.588746785e-06	17.6
P08754	GNAI3	erythrocytes	40400.5000	single	1	929	2.392535321e-05	5.72033023e-06	4	2.392535321e-05	0	2.413200741e-05	1.836226807e-05	2.990174674e-05	1.579931742e-05	2.71880386e-05	2.415897568e-05	2.855508114e-05												
P08758	ANXA5	erythrocytes	35805.0300	single	1	148	2.360632036e-05	2.51700352e-05	4	2.360632036e-05	0	2.381021892e-05	0	4.91976592e-05	5.693662892e-06	6.090068544e-05	1.463440893e-05	1.319652416e-05												
P08865	RPSA	erythrocytes	32722.3250	single	1	2019	8.781549324e-06	8.20888139e-06	4	8.781549324e-06	0	8.857399574e-06	5.776143286e-07	1.713718482e-05	9.927044076e-06	1.995834519e-05	2.669667581e-06	2.571140446e-06												
P09104	ENO2	erythrocytes	47136.7600	single	1	748	4.180779237e-05	1.381398413e-05	4	4.180779237e-05	0	4.216890536e-05	2.823560354e-05	5.610220718e-05	4.443834069e-05	5.491266136e-05	4.555945157e-05	2.232071587e-05												
P09105	HBQ1	erythrocytes	15507.4550	single	1	1007	0.0005594546217	8.049549585e-05	4	0.0005594546217	0	0.0005642868866	0.0004830961144	0.0006454776588	0.0005647741565	0.0004694973293	0.000663967502	0.000539579499												
P09132	SRP19	erythrocytes	16155.5150	single	1	2217	0	0	4	0	0	0	0	0	0	0	0	0												
P09172	DBH	plasma	69063.9900																single	1	103	193039862.7	16515621.27	15	4.774006e-05	0	4.791086361e-05	4.381182589e-05	5.200990133e-05	8.3
P09210	GSTA2	erythrocytes	25532.3600	single	1	973	6.421234746e-07	4.85023908e-07	4	6.421234746e-07	0	6.476697882e-07	1.584565073e-07	1.136883069e-06	0	9.50435432e-07	1.076097286e-06	5.419611803e-07												
P09211	GSTP1	erythrocytes	23224.3000	single	1	977	0.0002497777568	8.075782148e-05	4	0.0002497777568	0	0.0002519352013	0.0001704798376	0.0003333905649	0.0002471545455	0.0001621941925	0.0003574074752	0.0002323548139												
P09327	VIL1	erythrocytes	92562.6650	single	1	2531	0	0	4	0	0	0	0	0	0	0	0	0												
P09417	QDPR	erythrocytes	25657.9600	single	1	1827	0.000124062354	3.028639537e-05	4	0.000124062354	0	0.0001251339371	9.458594434e-05	0.0001556819299	0.0001683835627	0.0001106360805	0.0001005552847	0.0001166744879												
P09493	TPM1	erythrocytes	32708.0250	summed:3	3	2383;2384;2385	0.0006485517867	0.0001304345968	4	0.0006485517867	0	0.0006541536245	0.0005225924046	0.0007857148444	0.0005518290078	0.0005827735156	0.000839698125	0.0006199064984												
P09496	CLTA	erythrocytes	27076.2650	single	1	474	5.223053924e-05	2.232082048e-05	4	5.223053924e-05	0	5.268167824e-05	3.016806265e-05	7.519529384e-05	5.172740075e-05	5.738371019e-05	2.29144378e-05	7.68966082e-05												
P09497	CLTB	erythrocytes	25190.0800	single	1	475	1.641901435e-05	4.818195178e-06	4	1.641901435e-05	0	1.656083287e-05	1.170102074e-05	2.1420645e-05	2.027021523e-05	1.185127481e-05	1.267287703e-05	2.088169032e-05												
P09525	ANXA4	erythrocytes	35751.0250	single	1	147	1.014959655e-05	2.774326077e-06	4	1.014959655e-05	0	1.023726325e-05	7.438974052e-06	1.303555245e-05	7.822481732e-06	1.408523922e-05	1.00132503e-05	8.677414952e-06												
P09543	CNP	erythrocytes	47250.5750	summed:2	2	487;488	9.309936933e-05	1.756246004e-05	4	9.309936933e-05	0	9.390351107e-05	7.618935605e-05	0.0001116176661	7.266575134e-05	0.0001048625538	0.0001103153187	8.455385346e-05												
P09651	HNRNPA1	erythrocytes	38746.4650	single	1	1046	4.235679246e-05	1.578019064e-05	4	4.235679246e-05	0	4.27226474e-05	2.680615605e-05	5.863913876e-05	2.063363744e-05	5.096361373e-05	5.649952618e-05	4.133039247e-05												
P09871	C1S	plasma	74886.5200																single	1	75	3342897035	200285597.5	15	0.0008267209827	0	0.0008296788117	0.0007799696179	0.0008793880055	6
P09960	LTA4H	erythrocytes	69153.0050	single	1	1298	0.0003080584619	9.303136568e-05	4	0.0003080584619	0	0.0003107193035	0.0002168843834	0.0004045542235	0.000184616484	0.000369927347	0.0003888610121	0.0002888290046												
P09972	ALDOC	erythrocytes	39455.3250	single	1	109	0.0001203635903	4.244675418e-05	4	0.0001203635903	0	0.0001214032255	7.858983935e-05	0.0001642166117	7.256632362e-05	0.0001316100522	0.0001727427941	0.0001045351911												
P0C0L4	C4A	erythrocytes;plasma	188910.9750	single	1	337	1.372193919e-06	8.162823074e-07	4	1.372193919e-06	0	1.384046185e-06	5.607132743e-07	2.207379095e-06	2.071696395e-06	1.585112369e-06	1.639881399e-06	1.920855138e-07	single	1	78	1493499220	159628164.2	15	0.0003693524299	0	0.000370673893	0.0003310555308	0.0004102922552	10.5
P0C0L5	C4B	erythrocytes;plasma	188876.9350	single	1	338	0	0	4	0	0	0	0	0	0	0	0	0	single	1	79	4.124867475e+10	1827983415	15	0.01020107547	0	0.01023757271	0.009783882664	0.01069126276	4.4
P0C0S5	H2AZ1	erythrocytes	13421.3300	single	1	989	0	0	4	0	0	0	0	0	0	0	0	0												
P0C0S8	H2AC11	erythrocytes	13960.0900	single	1	1031	1.900239027e-05	1.758307652e-05	4	1.900239027e-05	0	1.916652259e-05	1.431573012e-06	3.690147217e-05	3.770314702e-05	2.970676629e-06	3.026147224e-05	5.074265203e-06												
P0C645	OR4E1	erythrocytes	35736.2600	single	1	1522	0	0	4	0	0	0	0	0	0	0	0	0												
P0C7P3	SLFN14	erythrocytes	103906.0750	single	1	2165	7.721306671e-06	2.989984821e-06	4	7.721306671e-06	0	7.787999121e-06	4.772188436e-06	1.080380981e-05	1.171488595e-05	8.314013896e-06	5.467140222e-06	5.389186611e-06												
P0CF51	TRGC1	erythrocytes	19803.7300	single	1	2402	0	0	4	0	0	0	0	0	0	0	0	0												
P0CG38	POTEI	erythrocytes	121280.7900	single	1	1666	3.364086819e-06	3.829385511e-06	4	3.364086819e-06	0	3.393143972e-06	0	7.255605633e-06	9.08637508e-06	9.854276337e-07	1.697272182e-06	1.68727238e-06												
P0DJI8	SAA1	plasma	11696.5350																single	1	293	1076799884	222255372.2	15	0.0002662998737	0	0.0002672526371	0.0002120907308	0.0003224145434	21.4
P0DJI9	SAA2	plasma	11647.5550																single	1	294	3732853.965	1067011.845	10	9.231599617e-07	0	9.264628285e-07	6.616395e-07	1.191286157e-06	27.4
P0DMV9	HSPA1B	erythrocytes	69920.1450	single	1	1069	0.0005530349306	0.0001373197182	4	0.0005530349306	0	0.0005578117457	0.0004193059344	0.000696317557	0.000389122022	0.000620346183	0.000500078836	0.0007025926813												
P0DOY2	IGLC2	plasma	11293.4150																shared_split	1	204	2.936229545e+10	3207780466	15	0.007261493698	5.87245909e+10	0.007287473753	0.006491329732	0.01537109153	
P0DOY3	IGLC3	plasma	11265.4050																shared_split	1	204	2.936229545e+10	3207780466	15	0.007261493698	5.87245909e+10	0.007287473753	0.006491329732	0.01537109153	
P10114	RAP2A	erythrocytes	20259.8450	single	1	1888	5.105162387e-07	4.862464518e-07	4	5.105162387e-07	0	5.149258005e-07	2.447941615e-08	1.005372185e-06	8.790624403e-07	0	1.92415176e-07	9.705873385e-07												
P10155	RO60	erythrocytes	60669.8550	single	1	2409	0	0	4	0	0	0	0	0	0	0	0	0												
P10398	ARAF	erythrocytes	67584.3850	single	1	181	0	0	4	0	0	0	0	0	0	0	0	0												
P10599	TXN	erythrocytes	11606.2050	single	1	2439	0.0007313661772	0.0003037170107	4	0.0007313661772	0	0.0007376833206	0.0004313429675	0.001044023674	0.001172286144	0.0006635650103	0.0006085085534	0.0004811050007												
P10606	COX5B	erythrocytes	10612.9150	single	1	517	0	0	4	0	0	0	0	0	0	0	0	0												
P10643	C7	plasma	91114.5900																single	1	82	1467100956	95128295.71	15	0.0003628239612	0	0.0003641220669	0.0003405120273	0.0003877321065	6.5
P10644	PRKAR1A	erythrocytes	42981.1200	summed:3	3	1720;1721;1722	4.306615733e-05	9.235825292e-06	4	4.306615733e-05	0	4.343813939e-05	3.412254006e-05	5.275373872e-05	4.02867439e-05	3.140096614e-05	5.226029641e-05	4.831662288e-05												
P10720	PF4V1	plasma	8255.5350																single	1	271	5111895.886	0	1	1.26420633e-06	0	1.268729387e-06	1.268729387e-06	1.268729387e-06	
P10721	KIT	plasma	107118.0300																single	1	245	4650546.595	1344194.856	8	1.150111538e-06	0	1.154226389e-06	8.20608578e-07	1.4878442e-06	29.3
P10746	UROS	erythrocytes	28627.2800	single	1	2492	1.988700316e-05	6.000617663e-06	4	1.988700316e-05	0	2.005877628e-05	1.400632854e-05	2.611122402e-05	2.788134322e-05	1.422811032e-05	2.088290369e-05	1.655565539e-05												
P10768	ESD	erythrocytes	31331.1700	single	1	784	0.0005721701778	0.0001493407552	4	0.0005721701778	0	0.0005771122728	0.0004264815933	0.0007277429522	0.0003489766329	0.0006285939921	0.0006567605835	0.0006543495027												
P10809	HSPD1	erythrocytes	57962.2600	summed:2	2	1082;1083	5.366028249e-07	6.123232855e-07	4	5.366028249e-07	0	5.412377084e-07	0	1.15884991e-06	5.711595717e-07	1.919508162e-07	1.383300912e-06	0												
P10909	CLU	erythrocytes;plasma	50061.8800	single	1	479	7.491706177e-06	7.526119014e-06	4	7.491706177e-06	0	7.556415463e-06	0	1.5147541e-05	1.692587042e-05	9.356767019e-07	1.941641652e-06	1.016363594e-05	single	1	59	1.527214364e+10	1222431549	15	0.003776904124	0	0.00379041707	0.003487019884	0.004093814257	8
P10966	CD8B	erythrocytes	21350.8900	single	1	421	0	0	4	0	0	0	0	0	0	0	0	0												
P11021	HSPA5	erythrocytes;plasma	70477.7850	single	1	1073	0.0001245375944	3.283737043e-05	4	0.0001245375944	0	0.0001256132824	9.249228062e-05	0.0001587342842	0.0001386306068	9.307305501e-05	0.0001024389179	0.0001640077977	single	1	2	17963005.38	2473814.524	15	4.442372382e-06	0	4.45826623e-06	3.844286358e-06	5.072246102e-06	14.6
P11047	LAMC1	erythrocytes	174280.1650	single	1	1241	0	0	4	0	0	0	0	0	0	0	0	0												
P11137	MAP2	plasma	199523.4500																single	1	247	26938970.83	9859176.821	13	6.662189175e-06	0	6.686025048e-06	4.239060626e-06	9.132989469e-06	33.9
P11142	HSPA8	erythrocytes	70766.0600	summed:4	4	1075;1076;1077;1078	0.001658062602	0.0001463308659	4	0.001658062602	0	0.001672384045	0.001524789253	0.001819978838	0.001495764293	0.001628961344	0.001656980039	0.001850544732												
P11166	SLC2A1	erythrocytes	54083.0650	single	1	2140	0.0009065953064	0.0001752531218	4	0.0009065953064	0	0.0009144259839	0.0007376591209	0.001091192847	0.001157047119	0.0007857982107	0.0008984148749	0.0007851210213												
P11171	EPB41	erythrocytes	97015.4550	summed:6	6	752;753;754;755;756;757	0.00275589356	0.0003812228609	4	0.00275589356	0	0.002779697471	0.002395181814	0.003164213127	0.002200957063	0.003062677859	0.002840398647	0.002919540672												
P11226	MBL2	plasma	24020.7150																single	1	243	226560398.6	47074023.76	15	5.602991459e-05	0	5.623037751e-05	4.454700238e-05	6.791375265e-05	21.8
P11233	RALA	erythrocytes	23237.0900	single	1	1874	9.194601184e-06	6.981491631e-06	4	9.194601184e-06	0	9.274019151e-06	2.23222519e-06	1.631581311e-05	1.920019251e-05	8.126786596e-06	3.139890645e-06	6.311534986e-06												
P11234	RALB	erythrocytes	23078.8400	single	1	1875	1.127335259e-06	1.706874729e-06	4	1.127335259e-06	0	1.137072568e-06	0	2.858690352e-06	3.606840047e-06	0	0	9.025009868e-07												
P11277	SPTB	erythrocytes	246332.3450	summed:2	2	2207;2208	0.02332816022	0.0004440248338	4	0.02332816022	0	0.02352965618	0.02308179611	0.02397751626	0.02384985877	0.02334152104	0.02276399776	0.0233572633												
P11279	LAMP1	erythrocytes	41984.1700	single	1	1242	3.364659193e-06	1.902570381e-06	4	3.364659193e-06	0	3.39372129e-06	1.47471754e-06	5.31272504e-06	5.107736131e-06	8.989839871e-07	2.865616357e-06	4.586300295e-06												
P11413	G6PD	erythrocytes	59124.7650	single	1	873	0.000189266156	1.941265963e-05	4	0.000189266156	0	0.0001909009342	0.0001713205986	0.0002104812698	0.0002094776398	0.0001666959565	0.0001802021183	0.0002006889095												
P11441	UBL4A	erythrocytes	17776.2000	single	1	2468	7.535619505e-06	1.190382503e-05	4	7.535619505e-06	0	7.60070809e-06	0	1.960735189e-05	2.537453861e-05	2.158683396e-06	1.700964091e-06	9.082919269e-07												
P11586	MTHFD1	erythrocytes	101529.9100	summed:2	2	1392;1393	0.0004872508165	0.0002268434407	4	0.0004872508165	0	0.0004914594242	0.0002626566332	0.0007202622152	0.0004191202244	0.0003008811784	0.0004112606348	0.0008177412285												
P11597	CETP	plasma	53093.3650																single	1	57	54212071.19	14940423.06	15	1.340701084e-05	0	1.345497822e-05	9.7468914e-06	1.716306505e-05	25.1
P11766	ADH5	erythrocytes	39592.7300	single	1	68	1.275861357e-05	9.8341276e-06	4	1.275861357e-05	0	1.286881554e-05	2.949746088e-06	2.278788499e-05	2.608429384e-05	1.406865029e-05	6.807894449e-06	4.073615694e-06												
P11908	PRPS2	erythrocytes	34637.4200	single	1	1740	1.749756503e-06	2.040372197e-06	4	1.749756503e-06	0	1.764869949e-06	0	3.822865772e-06	0	3.151113214e-06	0	3.847912798e-06												
P11940	PABPC1	erythrocytes	70669.9050	single	1	1539	7.644636578e-06	4.10124692e-06	4	7.644636578e-06	0	7.710666793e-06	3.573995532e-06	1.184733805e-05	1.379565959e-05	5.501795946e-06	5.663629729e-06	5.617461043e-06												
P12081	HARS1	erythrocytes	57278.5850	single	1	996	2.926680521e-06	1.283834234e-06	4	2.926680521e-06	0	2.951959596e-06	1.6570363e-06	4.246882893e-06	2.711962954e-06	4.305287496e-06	3.421933783e-06	1.26753785e-06												
P12236	SLC25A6	erythrocytes	32865.8550	single	1	2135	4.998089047e-07	9.996178095e-07	4	4.998089047e-07	0	5.041259824e-07	0	1.512377947e-06	1.999235619e-06	0	0	0												
P12259	F5	plasma	248682.7850																single	1	61	338780184.3	50662389.63	15	8.378262448e-05	0	8.40823806e-05	7.150840336e-05	9.665635784e-05	15.6
P12270	TPR	erythrocytes	267157.2950	single	1	2393	0	0	4	0	0	0	0	0	0	0	0	0												
P12273	PIP	erythrocytes	13522.5050	single	1	1626	0	0	4	0	0	0	0	0	0	0	0	0												
P12829	MYL4	erythrocytes	21433.1650	single	1	1413	4.451478531e-05	1.858782635e-05	4	4.451478531e-05	0	4.489927983e-05	2.615090194e-05	6.364765772e-05	2.376053715e-05	3.924641741e-05	4.658445098e-05	6.846773569e-05												
P12955	PEPD	erythrocytes;plasma	54416.3650	single	1	1583	0.0001139107662	3.394150723e-05	4	0.0001139107662	0	0.0001148946654	8.065998991e-05	0.000149129341	0.0001640756032	8.944951184e-05	9.872693544e-05	0.0001033910141	single	1	320	14991013.66	3976966.329	14	3.707378785e-06	0	3.720642985e-06	2.73359353e-06	4.707692441e-06	24.6
P13473	LAMP2	plasma	42010.5450																single	1	238	1926100.748	4266996.756	13	4.763377056e-07	0	4.78041939e-07	0	1.537074497e-06	119.1
P13489	RNH1	erythrocytes	49841.5250	single	1	1933	0.0008218111907	0.000203923382	4	0.0008218111907	0	0.000828909549	0.0006232247877	0.00103459431	0.000612726109	0.0006816851127	0.0009817857927	0.001011047748												
P13591	NCAM1	plasma	92406.4000																single	1	251	8584401.07	4623594.492	13	2.122980282e-06	0	2.130575846e-06	9.830387418e-07	3.278112951e-06	49.4
P13598	ICAM2	plasma	28059.9300																single	1	218	18411492.7	7042286.743	14	4.55328632e-06	0	4.569576994e-06	2.8217409e-06	6.317413088e-06	35.1
P13639	EEF2	erythrocytes	95205.8400	single	1	696	7.667687029e-05	2.024015606e-05	4	7.667687029e-05	0	7.733916342e-05	5.692418389e-05	9.775414295e-05	9.201575717e-05	9.394694806e-05	6.942176441e-05	5.132301153e-05												
