# GENERATED by mass_fractions.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-18T05:09:41Z
# dataset     = data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx sha256 223f875331e1b0de0e97ad80a2a8149932a160be4183f573bbb2908d30210d2a
# accessions  = config/accessions.ini sha256 0daa4a1a963f50ff171818212aae17cdf151d51b5a9ca66d35bb8366668efd27
# composition = outputs/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 697d977bbeec7e47388c1f272690310c061b5c6685fb7a4c9e6cc11b7297454b
# rules       = B0-B8, D31 (within-tier), D47 (summed rows), D48 (shared rows), D58 (combined)
# header_whitespace_stripped_for = ['Median 1', 'Standard deviation 1', 'Median 2A', 'Standard deviation 2A', 'Median 2X', 'Standard deviation 2X']
# per pool entry: intensity in the slow and fast sheets (joined by accession), slow/fast, the primary dataset's I/IIa, and their quotient; fast pools ~80/20 IIa/IIx per config
accession	gene	tier	intensity_slow	intensity_fast	slow_over_fast	primary_I_over_IIa	primary_over_source
P13591	NCAM1	2	4535340	9646200	0.4701685638	3.113364084	6.621804016
P13611	VCAN	2	17052000	27326600	0.6240073774	0.6646291797	1.065098272
P13639	EEF2	2	4383440000	4782600000	0.916539121	0.3122856866	0.3407227029
P13667	PDIA4	2	75211000	98169200	0.7661364257	1.020716301	1.332290525
P13674	P4HA1	2	12556820	1874454	6.698921393	1.847686377	0.2758184891
P13693	TPT1	2	1948280000	2069360000	0.9414891561	0.1643763968	0.1745919172
P13716	ALAD	2	222378000	242452000	0.9172042301	0.2231574521	0.243301813
P13797	PLS3	2	113665200	102926200	1.104336894	0.1848971777	0.1674282356
P13798	APEH	2	951796000	1137362000	0.8368452612	0.3248762566	0.3882154463
P13804	ETFA	2	6234720000	3062780000	2.035640823	1.448959651	0.7117953398
P13805	TNNT1	1	1.70176e+11	2.00218e+10	8.499535506	2.370666793	0.2789172175
P13807	GYS1	2	7188680000	8526860000	0.8430629798	0.8946039678	1.061135395
P13861	PRKAR2A	2	1686230000	1612870000	1.045484137	1.174974768	1.123857098
P13929	ENO3	2	1.014582e+11	2.2323e+11	0.4545007391	0.1976375877	0.4348454703
P13987	CD59	2	55767800	363922000	0.1532410791	0	0
P14314	PRKCSH	2	245984000	194426000	1.265180583	1.162703637	0.9190021194
P14324	FDPS	2	36427400	20114800	1.810975003	0.9523778902	0.5258923444
P14406	COX7A2	2	379332000	272928000	1.389861062	1.104734377	0.7948523826
P14543	NID1	2	1184948000	1258996000	0.9411848807	1.853309593	1.969123847
P14550	AKR1A1	2	736676000	774402000	0.9512837002	0.1764673049	0.1855043925
P14618	PKM	2	7.705386e+10	1.42025406e+11	0.5425357489	0.09470420012	0.1745584513
P14621	ACYP2	2	1595000000	2948940000	0.5408723134	0.9934023911	1.836667114
P14625	HSP90B1	2	983514000	938740000	1.047695848	0.9440266412	0.9010502841
P14649	MYL6B	2	2.09668e+10	909932000	23.04216139	15.82181248	0.6866461965
P14672	SLC2A4	2	28471000	28118580	1.01253335	0.8523661766	0.8418154096
P14678	SNRPB	2	5650640	6677990	0.8461587993	1.494515765	1.766235565
P14735	IDE	2	169524000	168198400	1.007881169	1.3812137	1.370413242
P14854	COX6B1	2	2847640000	3491140000	0.8156762547	1.19890832	1.469833544
P14866	HNRNPL	2	238312000	127341000	1.871447531	0.9473107897	0.506191477
P14868	DARS1	2	1997220000	1814334000	1.100800624	0.7455523011	0.6772818661
P14923	JUP	1	707476000	495784000	1.426984332	3.957953631	2.773648976
P14927	UQCRB	2	7081800000	5664860000	1.250127982	1.47351074	1.178687911
P15090	FABP4	2	981230000	895708000	1.095479777	1.295563275	1.182644629
P15104	GLUL	2	9023720	21228800	0.4250697166	2.759022129	6.490752036
P15121	AKR1B1	2	9331460000	1.092548e+10	0.8541006894	0.294881941	0.3452543063
P15170	GSPT1	2	141897600	155154000	0.9145597278	2.41708399	2.642893533
P15259	PGAM2	2	3.21278e+10	4.53934e+10	0.7077636837	0.1085338532	0.1533475872
P15311	EZR	2	279644000	448792000	0.6231037986	0.7269631976	1.166680735
P15374	UCHL3	2	881196000	770988000	1.142943859	0.6808350319	0.5956854543
P15531	NME1	2	23282600	38488000	0.6049314072	0.6338580992	1.047818136
P15559	NQO1	2	14067000	0	nan	0.5853598671	nan
P15586	GNS	2	54616000	3891000	14.03649447	1.150373049	0.08195586521
P15880	RPS2	2	91423800	37824900	2.417026879	1.144477756	0.4735064248
P15924	DSP	2	4816900000	4080160000	1.180566448	2.02400959	1.714439363
P15927	RPA2	2	3807420	3492280	1.090239042	1.31621973	1.207276276
P15954	COX7C	2	36726600	41894420	0.8766465797	1.454201826	1.658823361
P16070	CD44	2	22913660	12277560	1.866304054	11.47547232	6.148768898
P16083	NQO2	2	318569200	339433400	0.9385322717	2.713952662	2.89169882
P16118	PFKFB1	2	145056600	283632000	0.5114253681	5.319641452	10.40159872
P16152	CBR1	2	836830000	997382000	0.8390265716	0.2661446767	0.3172064935
P16157	ANK1	1	361240800	543263600	0.6649457096	1.552088028	2.334157519
P16219	ACADS	2	2183018000	1143238000	1.909504408	2.279779486	1.193911612
P16284	PECAM1	2	11763460	7886100	1.491670154	0.6235832876	0.4180436848
P16298	PPP3CB	1	366422000	1287040000	0.2847013302	0.4254258084	1.494288095
P16403	H1-2	2	1008982000	755426000	1.335646377	0.8764155878	0.6561733726
P16435	POR	2	19950000	9970400	2.000922731	0.8087070533	0.4041670578
P16615	ATP2A2	2	6.57924e+10	3.6253e+10	1.814812567	2.094689462	1.154218072
P16671	CD36	2	302962000	159395400	1.90069475	3.077602658	1.6191988
P16930	FAH	2	176667000	127375800	1.386974606	0.3793266957	0.2734921707
P16949	STMN1	2	19338500	37354800	0.5176978594	0.04203144662	0.08118914508
P16989	YBX3	2	2474728000	2345700000	1.055006182	1.645546572	1.559750645
P17050	NAGA	2	1974740	6252300	0.3158421701	0.2643652887	0.837017073
P17066	HSPA6	2	1676840000	1653760000	1.013956076	0.6020827402	0.5937956826
P17152	TMEM11	2	222440000	291344000	0.7634960734	1.0163059	1.331121319
P17174	GOT1	2	2.5104e+10	2.69762e+10	0.9305980828	0.122407582	0.1315364648
P17540	CKMT2	2	5.09926e+10	4.16014e+10	1.225742403	1.369263132	1.117088818
P17568	NDUFB7	2	37598200	52150200	0.7209598429	1.004135692	1.392776175
P17655	CAPN2	2	630750000	533612000	1.182038635	1.494879287	1.264661952
P17661	DES	1	5.51602e+10	5.41098e+10	1.01941238	1.438666618	1.411270499
P17812	CTPS1	2	57764600	27718400	2.083980316	2.656233411	1.274596209
P17844	DDX5	2	3731200	5894560	0.6329904183	0.1684825536	0.2661692006
P17858	PFKL	2	32113800	328274400	0.09782608696	2.059515887	21.05282907
P17931	LGALS3	2	195090000	193866800	1.006309487	0.7566852097	0.7519408489
P17980	PSMC3	2	510642000	542522000	0.941237406	0.267453567	0.2841510179
P17987	TCP1	2	546906000	469490000	1.164893821	0.4877264188	0.418687446
P18031	PTPN1	2	19174400	24234140	0.7912143777	0.6376385297	0.8058985626
P18077	RPL35A	2	103395600	106379400	0.9719513364	2.135075571	2.196689784
P18085	ARF4	2	151160400	98731000	1.531032806	0.390265108	0.2549031649
P18124	RPL7	2	377322000	234316000	1.610312569	0.9161934577	0.5689538013
P18206	VCL	1	5993580000	4865860000	1.231761703	0.6513607856	0.5288042192
P18510	IL1RN	2	0	3343780	0	1.106109466	nan
P18564	ITGB6	2	7776280	10688120	0.727562939	1.360687709	1.870199313
P18621	RPL17	2	251476800	141833400	1.773043585	0.9362235387	0.5280318807
P18669	PGAM1	2	388116000	327224000	1.186086595	1.268074401	1.069124638
P18859	ATP5PF	2	2354340000	1428924000	1.647631365	1.402542365	0.8512476729
P19022	CDH2	2	0	3813300	0	0.5423476279	nan
P19105	MYL12A	2	2988460	0	nan	5.106586751	nan
P19237	TNNI1	1	1.4311e+11	1013742000	141.1700413	124.5069896	0.881964675
P19338	NCL	2	488358000	214978000	2.271665008	1.15025827	0.5063503054
P19367	HK1	2	629518000	1185026000	0.5312271629	0.5851469921	1.101500512
P19387	POLR2C	2	7055580	2129280	3.313598963	2.043091972	0.6165779246
P19404	NDUFV2	2	1938420000	1250818000	1.549721862	1.107163107	0.7144269781
P19525	EIF2AK2	2	1511620	1498380	1.00883621	0.7420409849	0.7355415851
P19623	SRM	2	12212880	13766140	0.8871680805	0	0
P19823	ITIH2	2	134525600	228036000	0.5899314143	1.036447978	1.756895721
P19827	ITIH1	2	137819600	277168000	0.4972421059	1.794942408	3.609795686
P19961	AMY2B	2	23735300	13679100	1.735150704	0.6400329445	0.368863029
P19971	TYMP	2	112407200	197493800	0.5691682473	8.697212038	15.28056437
P20042	EIF2S2	2	118384400	54563500	2.16966287	0.9095038583	0.4191913273
P20073	ANXA7	2	2000420000	2196900000	0.9105648869	0.1391904905	0.1528616933
P20231	TPSB2	2	128471000	125485000	1.023795673	3.181548077	3.107600629
P20339	RAB5A	2	3604900	2557000	1.409816191	1.06706973	0.756885711
P20340	RAB6A	2	142482000	204025200	0.6983549091	1.217221474	1.742984059
P20472	PVALB	2	40024560	26346000	1.519189251	0.5385501101	0.354498368
P20618	PSMB1	2	490936000	431240000	1.138428717	1.249791151	1.097821174
P20671	H2AC7	2	186702800	123372800	1.513322223	0.3504305952	0.2315637673
P20674	COX5A	2	9353820000	7963740000	1.174551153	1.364943905	1.162098306
P20700	LMNB1	2	61385800	37233400	1.648675651	2.873439825	1.742877577
P20774	OGN	2	523756000	449570000	1.165015459	0.8119265297	0.6969233955
P20807	CAPN3	1	1501220000	1344910000	1.11622339	0.7853651862	0.7035914074
P20839	IMPDH1	2	15929200	2671600	5.962419524	0.450843519	0.07561418938
P20908	COL5A1	2	195050000	592948000	0.3289495875	2.018891077	6.137387471
P20962	PTMS	2	48587000	57515800	0.8447591792	0.3272850812	0.3874300384
P21266	GSTM3	2	2102460000	1631716000	1.288496282	0.4700068847	0.3647716265
P21281	ATP6V1B2	2	210352000	136706000	1.538718125	0.6793203365	0.4414845874
P21283	ATP6V1C1	2	0	1605660	0	1.602579268	nan
P21291	CSRP1	1	334492000	139180000	2.403305073	0.5856399553	0.2436810715
P21333	FLNA	1	609674000	283246000	2.152454051	0.6940289095	0.3224361093
P21397	MAOA	2	88759180	90539000	0.9803419521	6.215313592	6.339944525
P21399	ACO1	2	1199408000	878466000	1.365343679	0.2356535781	0.1725965277
P21695	GPD1	2	9877620000	1.96914e+10	0.5016210122	0.2015066869	0.4017110168
P21796	VDAC1	2	1.74756e+10	1.36346e+10	1.281709768	1.353836461	1.056273811
P21817	RYR1	1	4361300000	9375900000	0.4651606779	0.6062584274	1.303331206
P21912	SDHB	2	2997340000	3084260000	0.9718181995	1.489485538	1.532679198
P21953	BCKDHB	2	74433200	38220400	1.947473077	2.834039264	1.455239252
P21964	COMT	2	288844000	365896000	0.7894155716	1.213352605	1.537026439
P21980	TGM2	2	356234000	187514000	1.899772817	1.685264364	0.8870873134
P22033	MMUT	2	84530000	31290600	2.701450276	1.23106262	0.4557043417
P22059	OSBP	2	42144400	80961200	0.5205505847	1.046320631	2.01002681
P22061	PCMT1	2	1959440000	2172440000	0.9019535637	0.8730960224	0.9680055132
P22087	FBL	2	4361120	234360	18.60863629	0.964919939	0.05185333971
P22102	GART	2	66453520	54828200	1.212031765	0.4483830989	0.3699433562
P22105	TNXB	2	55889200	69809600	0.8005947606	0.7462315514	0.9320964714
P22234	PAICS	2	73746500	46002800	1.603087203	1.289068588	0.8041163231
P22314	UBA1	2	3147540000	3099260000	1.015577912	0.6897102304	0.6791307906
P22392	NME2	2	1597580000	1587428000	1.006395251	nan	nan
P22570	FDXR	2	3765880	6414640	0.5870758141	1.212157764	2.064738038
P22626	HNRNPA2B1	2	2137620000	1862540000	1.147690788	0.9883247566	0.8611420141
P22694	PRKACB	2	4761420	0	nan	0.6801477109	nan
P22695	UQCRC2	2	1.98878e+10	1.574824e+10	1.26285858	1.287820164	1.019765938
P22735	TGM1	2	135724400	80035800	1.695796131	0.8433236801	0.4973025145
P22830	FECH	2	270788000	274548000	0.9863047627	1.388251108	1.407527532
P23109	AMPD1	2	6323640000	5101940000	1.239457932	0.3272999837	0.2640670372
P23142	FBLN1	2	196774400	30289120	6.496537371	0.5540162908	0.08527870452
P23246	SFPQ	2	232348000	141764000	1.638977455	1.417727337	0.8650072228
P23258	TUBG1	2	0	759700	0	0.7778416363	nan
P23284	PPIB	2	95273400	56117000	1.697763601	0.7655681459	0.4509274115
P23297	S100A1	2	2.3527e+10	1.709576e+10	1.376189184	1.075440973	0.7814630326
P23327	HRC	1	4332200000	4843380000	0.8944580025	1.115220963	1.246811992
P23352	ANOS1	2	41424480	28858800	1.435419352	0	0
P23368	ME2	2	289028000	43670000	6.618456606	3.35824522	0.5074060948
P23381	WARS1	2	524392000	468146000	1.120146279	1.993331043	1.779527442
P23396	RPS3	2	367174000	295466000	1.242694591	0.9041834031	0.7275990495
P23434	GCSH	2	198908000	134404800	1.479917384	2.113458724	1.42809237
P23490	LORICRIN	2	36582200	5624000	6.504658606	0.1625283829	0.0249864586
P23497	SP100	2	45892600	40384800	1.136382996	1.601496317	1.40929275
P23526	AHCY	2	913106000	715356000	1.276435789	0.2604313152	0.204030095
P23528	CFL1	2	1367498000	1150328000	1.188789632	0.358615423	0.3016643259
P23588	EIF4B	2	215576000	309250000	0.6970929669	1.062805638	1.524625392
P23634	ATP2B4	1	13393340	77232200	0.1734165283	0.940064181	5.420845348
P23786	CPT2	2	791592000	633052000	1.250437563	1.414195021	1.130960124
P24043	LAMA2	2	4474220000	5190720000	0.8619651994	0.7558442266	0.8768848523
P24298	GPT	2	2225220000	1427174000	1.559179189	0.3920764942	0.2514633962
P24310	COX7A1	2	1773120000	1382176000	1.282846758	0.7912890072	0.6168227051
P24311	COX7B	2	1793660000	1375078000	1.304406005	1.667277798	1.2781893
P24534	EEF1B2	2	599092000	431208000	1.38933415	0.8146506934	0.5863605192
P24539	ATP5PB	2	7780480000	4312980000	1.803968486	1.1651785	0.6458973699
P24666	ACP1	2	1238188000	481322000	2.572473313	0.8904697845	0.3461531671
P24821	TNC	2	1455740	9709000	0.1499371717	0.2992535347	1.995859541
P24844	MYL9	1	51874800	73699000	0.7038738653	1.101239947	1.564541605
P24928	POLR2A	2	20118400	0	nan	9.45956446	nan
P25205	MCM3	2	2546640	0	nan	1.696208398	nan
P25311	AZGP1	2	2255700000	3082260000	0.7318331354	1.181343978	1.614225867
P25325	MPST	2	390358000	284994000	1.369706029	1.010436111	0.7377029012
P25398	RPS12	2	239328000	229314800	1.043665738	0.9372304823	0.8980178692
P25685	DNAJB1	2	3013960	1043760	2.887598682	0.03257676268	0.01128161018
P25686	DNAJB2	2	183098000	100750800	1.817335445	0.940667373	0.5176080043
P25705	ATP5F1A	2	6.42528e+10	5.1414e+10	1.249714086	1.562289202	1.250117303
P25786	PSMA1	2	1413940000	1450160000	0.9750234457	0.6190702108	0.6349285379
P25787	PSMA2	2	594266000	818146000	0.7263569094	0.6551475883	0.9019637314
P25788	PSMA3	2	830032000	1088788000	0.7623449193	0.6698985873	0.8787342453
P25789	PSMA4	2	686018000	691990000	0.9913698175	0.2973319352	0.2999203022
P25815	S100P	2	8838580	5451400	1.621341307	nan	nan
P25940	COL5A3	2	172828000	195534600	0.8838742606	1.4189966	1.605428128
P26038	MSN	2	1226456000	1372140000	0.8938271605	0.8685318295	0.971699975
P26196	DDX6	2	74187000	67201200	1.103953501	0.8432958422	0.7638871035
P26232	CTNNA2	2	8154966.667	7827066.667	1.041893089	1.442982985	1.384962623
P26368	U2AF2	2	43237200	12498080	3.45950738	2.754191096	0.7961223356
P26373	RPL13	2	355332800	41514800	8.559183713	0.7809027392	0.09123565581
P26440	IVD	2	429492000	263192000	1.631858111	2.8046174	1.718664987
P26447	S100A4	2	275814000	576044000	0.4788071745	0.6205099158	1.295949495
P26583	HMGB2	2	117675400	73697200	1.596741803	0	0
P26599	PTBP1	2	0	2800800	0	1.021866207	nan
P26639	TARS1	2	78592800	68436400	1.148406404	0.2561343817	0.2230346164
P26640	VARS1	2	131192200	185838800	0.7059462287	0.5242156284	0.7425716111
P26641	EEF1G	2	2120480000	2210760000	0.9591633646	0.7250571354	0.7559266358
P26678	PLN	2	458732600	303752400	1.510218849	3.343228603	2.213737833
P26885	FKBP2	2	36913200	30470600	1.211436598	1.087041773	0.8973162732
P27105	STOM	2	42756800	52745800	0.8106199925	0.8726313705	1.076498703
P27169	PON1	2	45318600	64877200	0.6985289131	2.308655887	3.305025523
P27338	MAOB	2	672172800	427013400	1.574125777	1.819434665	1.155838175
P27348	YWHAQ	2	143219400	67028600	2.136690905	0.4585598327	0.2146121517
P27361	MAPK3	2	18477000	17765840	1.04002963	0.3154625429	0.3033207265
P27482	CALML3	2	11646200	46390360	0.251047847	1.168275139	4.653595531
P27635	RPL10	2	11539200	22412600	0.5148532522	0.887631657	1.724047878
P27694	RPA1	2	73647200	41253000	1.78525683	0.7536369009	0.4221448076
P27695	APEX1	2	104099000	64194600	1.621616148	1.743076199	1.074900617
P27797	CALR	2	840532000	1064506000	0.7895981798	0.8093965844	1.025074025
P27816	MAP4	2	4607019460	3526183400	1.306517256	0.9163203498	0.7013457691
P27824	CANX	2	1165020000	1412600000	0.8247345321	1.332939656	1.616204493
P28065	PSMB9	2	3527300	3736700	0.9439612492	9.179134525	9.724058623
P28066	PSMA5	2	1035456000	874724000	1.183751675	0.571744319	0.4829934615
P28070	PSMB4	2	521962000	648618000	0.8047294401	0.6083238347	0.7559358517
P28072	PSMB6	2	437242000	709376000	0.6163755188	0.4168211896	0.6762455304
P28074	PSMB5	2	905654000	1149736000	0.7877060473	0.3595560841	0.456459723
P28161	GSTM2	2	8703200000	7546140000	1.153331372	0.1933066683	0.1676072229
P28289	TMOD1	1	280492000	357264000	0.7851112903	0.5536020077	0.7051255211
P28331	NDUFS1	2	1.127188e+10	8078180000	1.395348952	1.269492259	0.9098027102
P28482	MAPK1	2	283242000	247266000	1.145495135	0.7458442319	0.6511107811
P28838	LAP3	2	654280000	547568000	1.194883558	0.9861998593	0.825352272
P28907	CD38	2	4068840	18891800	0.2153759832	0.1998151887	0.9277505586
P29144	TPP2	2	88362600	176792800	0.4998088157	0.3211746181	0.6425949443
P29218	IMPA1	2	715636000	456332000	1.568235408	0.6991440872	0.4458157773
P29373	CRABP2	2	2852400	5649800	0.5048674289	0.489590504	0.9697407198
P29475	NOS1	1	70191000	57921000	1.211840265	0.5755418808	0.474932132
P29508	SERPINB3	2	1270014000	1260980000	1.007164269	2.034663119	2.020189935
P29536	LMOD1	1	45310700	52076800	0.8700745822	1.99329819	2.290950949
P29590	PML	2	416474000	225560800	1.846393522	1.341702566	0.7266612182
P29692	EEF1D	2	1380100000	1596640000	0.8643776932	0.4967635635	0.5747065981
P29992	GNA11	2	105100600	68502200	1.534266053	13.93891429	9.085069871
P30038	ALDH4A1	2	2430580000	1434720000	1.694114531	1.906292123	1.125243948
P30040	ERP29	2	81041400	117355400	0.6905638769	1.782845152	2.581723736
P30041	PRDX6	2	1.861e+10	1.72686e+10	1.077678561	0.1912376598	0.1774533397
P30043	BLVRB	2	4905880000	7100280000	0.6909417657	0.5856691771	0.8476389852
P30044	PRDX5	2	1745160000	1700880000	1.026033583	1.171023291	1.14131088
P30046	DDT	2	196390000	337398000	0.5820722115	0.3841986554	0.6600532508
P30048	PRDX3	2	3624900000	3292140000	1.101077111	1.377562951	1.251104884
P30049	ATP5F1D	2	2634220000	2543320000	1.035740685	1.358775923	1.311888142
P30050	RPL12	2	100791800	73570600	1.37000106	1.323938332	0.9663775966
P30084	ECHS1	2	6906480000	3212940000	2.149582625	1.154165721	0.5369254976
P30085	CMPK1	2	485254000	573106000	0.8467089858	0.2475404228	0.2923559652
P30086	PEBP1	2	2.35562e+10	1.79226e+10	1.314329394	0.2681007866	0.2039829497
P30101	PDIA3	2	518630000	606512000	0.8551026196	0.8944243136	1.045984766
P30153	PPP2R1A	2	1632140000	1583334000	1.030824829	0.4554912991	0.44187071
P30405	PPIF	2	1427040000	979410000	1.457040463	2.120271939	1.455190842
P30419	NMT1	2	47842000	15982000	2.993492679	7.045485353	2.353600329
P30519	HMOX2	2	5906160	13479920	0.4381450335	0.1068819177	0.2439418674
P30533	LRPAP1	2	4108427000	204594000	20.08087725	0.7997821474	0.03982804822
P30566	ADSL	2	761338000	1227876000	0.6200446951	0.0609293211	0.09826601467
P30622	CLIP1	2	4335320000	3424280000	1.26605301	0.4405031975	0.3479342446
P30626	SRI	1	87519200	127197600	0.6880570074	1.947966528	2.831112113
P30711	GSTT1	2	246271000	220098000	1.11891521	0.3373578011	0.301504348
P30740	SERPINB1	2	390504000	607930000	0.6423502706	0.7413217324	1.154077092
P30837	ALDH1B1	2	973988000	742212000	1.312277355	1.045739305	0.7968889358
P31025	LCN1	2	4814580000	1288908000	3.735394613	0.6390936887	0.1710913451
P31040	SDHA	2	7634260000	6302080000	1.211387351	1.556634256	1.285001246
P31150	GDI1	2	538006000	640870000	0.8394931889	0.6014345034	0.7164257093
P31151	S100A7	2	3028900000	3637420000	0.832705599	0.9485417687	1.139108191
P31153	MAT2A	2	105514600	33393000	3.15978199	1.642648775	0.5198614271
P31323	PRKAR2B	2	1686230000	1612870000	1.045484137	2.13432331	2.041468861
P31327	CPS1	2	37170800	52330800	0.7103044479	26.69555628	37.58325935
P31415	CASQ1	1	5.40078e+10	9.35132e+10	0.5775419941	0.7474325151	1.29416133
P31689	DNAJA1	2	35970200	8126560	4.426251698	1.091334564	0.2465595359
P31749	AKT1	2	43885000	16162600	2.715219086	8.15393173	3.003047442
P31751	AKT2	2	26678400	64155520	0.41583951	0.7024620302	1.689262356
P31930	UQCRC1	2	1.55962e+10	1.77438e+10	0.8789661741	1.340267003	1.524822049
P31937	HIBADH	2	1954380000	1604434000	1.218111808	1.158616214	0.9511575268
P31939	ATIC	2	881938000	972270000	0.9070916515	0.6461861967	0.7123714518
P31942	HNRNPH3	2	233786000	226642000	1.031521077	1.088592013	1.05532697
P31943	HNRNPH1	2	590196000	412098000	1.4321739	1.0003572	0.6984886398
P31944	CASP14	2	1318842000	973120000	1.355271703	1.362279753	1.005170955
P31946	YWHAB	2	1224140000	1224820000	0.9994448164	0.5086736854	0.5089562495
P31948	STIP1	2	1904200000	1756260000	1.084235819	0.504148321	0.4649803225
P31949	S100A11	2	264836000	174177400	1.52049577	1.153473273	0.7586165617
P32119	PRDX2	2	1.54364e+10	1.57264e+10	0.9815596704	0.5318768199	0.541869064
P32455	GBP1	2	9331460	1453920	6.41813855	2.370014687	0.3692682339
P32456	GBP2	2	47308000	4069000	11.62644384	0.4549064157	0.03912687506
P33121	ACSL1	2	3231540000	2922520000	1.105737514	1.659200047	1.500536995
P33176	KIF5B	2	407204000	507950000	0.8016615809	0.4232921577	0.5280185153
P33240	CSTF2	2	0	8557760	0	0.6817983324	nan
P33316	DUT	2	2594820	0	nan	0.9666712353	nan
P34896	SHMT1	2	16067640	19166900	0.8383014468	4.60605614	5.494510546
P34897	SHMT2	2	48434200	115074200	0.4208953875	1.230782431	2.924200331
P34913	EPHX2	2	32992800	3879860	8.5036058	0.8317560457	0.09781215937
P34932	HSPA4	2	717392000	550376000	1.303458	0.3431476195	0.2632594373
P34949	MPI	2	515540000	481958000	1.069678271	0.3231909898	0.3021385015
P35030	PRSS3	2	3440240	4563540	0.7538533682	0.691367027	0.9171107488
P35052	GPC1	2	94085400	56565800	1.663291247	0.3187920594	0.1916634023
P35080	PFN2	2	818074000	362422000	2.257241558	0.5203825133	0.2305391337
P35221	CTNNA1	2	8154966.667	7827066.667	1.041893089	0.7478476531	0.717777727
P35222	CTNNB1	1	45310400	41958400	1.079888652	0.8530119247	0.7899072959
P35232	PHB1	2	3678640000	3142440000	1.170631738	1.435714448	1.22644415
P35237	SERPINB6	2	1107724000	544334000	2.035007918	1.211267787	0.5952152698
P35241	RDX	2	562766000	702280000	0.8013413453	0.5078115587	0.633701932
P35244	RPA3	2	25969200	12887000	2.015147047	0.4195536807	0.2082000325
P35268	RPL22	2	141394200	117046800	1.20801423	1.373688724	1.137146144
P35270	SPR	2	233492000	231092200	1.0103846	1.054881994	1.044040056
P35321	SPRR1A	2	35306000	28585000	1.235123316	6.956416573	5.632163591
P35443	THBS4	2	28701780	16015200	1.792158699	0	0
P35520	CBS	2	384920	2681000	0.1435732935	3.701530654	25.78147065
P35555	FBN1	2	1185764000	883808000	1.341653391	0.6793635566	0.5063629409
P35568	IRS1	2	0	5301200	0	0.6236338841	nan
P35573	AGL	2	1.5778e+10	3.22176e+10	0.4897323202	0.4571802526	0.9335308979
P35579	MYH9	2	3215500000	2095420000	1.534537229	2.5639612	1.670836753
P35580	MYH10	2	21719400	83214800	0.2610040522	0.4883529679	1.871055119
P35606	COPB2	2	90088800	69420600	1.297724307	0.4620480471	0.3560448431
P35609	ACTN2	1	3.1858e+11	2.94026e+11	1.083509622	1.279244599	1.180649044
P35611	ADD1	2	144182000	88983200	1.620328332	1.632014297	1.007212097
P35613	BSG	2	851066000	987710000	0.8616557492	0.9804187788	1.137831181
P35637	FUS	2	204940000	90577200	2.262600301	1.722396336	0.7612464011
P35658	NUP214	2	43429800	56691200	0.7660765692	0.454712773	0.5935604759
P35659	DEK	2	7178860	1918920	3.741093949	27.19972	7.270525781
P35754	GLRX	2	362660600	695958000	0.5210955259	0.2473944617	0.4747583684
P35813	PPM1A	2	134482000	114260800	1.17697408	0.2297040228	0.195164895
P35914	HMGCL	2	63448800	126770000	0.5005032736	2.122944388	4.241619385
P35998	PSMC2	2	487098000	491062000	0.9919276996	0.567258914	0.5718752629
P36404	ARL2	2	8925440	0	nan	0.09154301214	nan
P36405	ARL3	2	5830800	9388460	0.621060323	12.7847345	20.58533451
P36507	MAP2K2	2	291844000	358544000	0.8139698335	0.88284718	1.084619041
P36542	ATP5F1C	2	8761080000	6615820000	1.324262147	1.460933765	1.103205863
P36543	ATP6V1E1	2	51476400	47245400	1.089553692	0.9441830467	0.8665778049
P36551	CPOX	2	3716700	12331700	0.3013939684	2.020042577	6.702332459
P36578	RPL4	2	190980000	188684000	1.012168493	0.9087610136	0.8978357058
P36776	LONP1	2	617328000	475558000	1.298112954	0.739072549	0.5693437901
P36871	PGM1	2	1.438193255e+10	2.27404972e+10	0.6324370317	0.07692279073	0.1216291692
P36873	PPP1CC	2	3089620	345240	8.949194763	2.178581314	0.2434388089
P36915	GNL1	2	8763460	5856680	1.496318733	0.507960301	0.3394733286
P36955	SERPINF1	2	165802200	153366800	1.081082738	0.3767442167	0.3484878664
P36957	DLST	2	3501460000	3134360000	1.117121199	1.27169628	1.138369124
P36959	GMPR	2	166498200	291446000	0.571283188	0.986546701	1.726896085
P37108	SRP14	2	93881200	116860400	0.8033619601	1.173943991	1.461288994
P37198	NUP62	2	3033880	12482000	0.243060407	1.987847611	8.178409785
P37235	HPCAL1	2	3108920	1665520	1.866636246	1.85750236	0.9951067673
P37802	TAGLN2	2	286958000	171838000	1.669933309	0.8541785476	0.511504587
P37837	TALDO1	2	589290000	410696000	1.434856926	1.269384669	0.8846768248
P38117	ETFB	2	3125860000	1641500000	1.904270484	2.170487911	1.139800217
P38159	RBMX	2	314002000	241064000	1.302566953	2.472864803	1.898455044
P38606	ATP6V1A	2	287842000	338680000	0.849893705	0.7210668538	0.848420043
P38646	HSPA9	2	6645960000	5844860000	1.137060597	1.300140553	1.143422397
P38919	EIF4A3	2	566164000	648474000	0.8730712411	1.478123077	1.693015423
P39019	RPS19	2	199191200	268710000	0.7412868892	1.362224559	1.837648255
P39023	RPL3	2	890593200	39559400	22.51280859	0.5647836874	0.02508721581
