# Generated by pipeline/digest.py — DO NOT EDIT BY HAND
# generated = 2026-09-19T05:52:13Z
# digest = trypsin; cleave_after=KR; cleave_before_proline=both; length 6-30; missed_cleavages=0; source=Schwanhausser et al. 2011 (B4), Methods, iBAQ definition, as restated in Nature Sci Data 2018;5:180128 (doi 10.1038/sdata.2018.128): "theoretically observable tryptic peptides between 6 and 30 amino acids". Proline rule not stated in A1 Methods; both computed, difference disclosed (D49).
accession_a	gene_a	accession_b	gene_b	n_shared_peptides	frac_of_a	frac_of_b
O15198	SMAD9	Q15796	SMAD2	4	0.153846	0.2
O15230	LAMA5	Q16787	LAMA3	4	0.0199005	0.0203046
O60488	ACSL4	O95573	ACSL3	4	0.1	0.102564
O60825	PFKFB2	P16118	PFKFB1	4	0.1	0.114286
O75688	PPM1B	P35813	PPM1A	4	0.153846	0.166667
O95757	HSPA4L	P34932	HSPA4	4	0.0645161	0.0701754
O95757	HSPA4L	Q92598	HSPH1	4	0.0645161	0.0727273
P02458	COL2A1	P05997	COL5A2	4	0.0449438	0.0434783
P07900	HSP90AA1	Q58FF6	HSP90AB4P	4	0.105263	0.142857
P07900	HSP90AA1	Q58FF8	HSP90AB2P	4	0.105263	0.173913
P08238	HSP90AB1	Q58FF6	HSP90AB4P	4	0.105263	0.142857
P09429	HMGB1	P23497	SP100	4	0.4	0.0784314
P09429	HMGB1	P26583	HMGB2	4	0.4	0.363636
P09651	HNRNPA1	P51991	HNRNPA3	4	0.210526	0.2
P0CG04	IGLC1	P0DOY2	IGLC2	4	0.571429	0.571429
P0CG04	IGLC1	P0DOY3	IGLC3	4	0.571429	0.571429
P0DMV8	HSPA1A	P54652	HSPA2	4	0.111111	0.1
P0DMV9	HSPA1B	P54652	HSPA2	4	0.111111	0.1
P11233	RALA	P11234	RALB	4	0.4	0.4
P13861	PRKAR2A	P31323	PRKAR2B	4	0.153846	0.16
P15153	RAC2	P63000	RAC1	4	0.4	0.4
P16157	ANK1	Q01484	ANK2	4	0.0421053	0.0174672
P16157	ANK1	Q12955	ANK3	4	0.0421053	0.0148148
P16989	YBX3	P67809	YBX1	4	0.266667	0.285714
P17066	HSPA6	P54652	HSPA2	4	0.102564	0.1
P18085	ARF4	P61204	ARF3	4	0.333333	0.363636
P18085	ARF4	P84077	ARF1	4	0.333333	0.363636
P18085	ARF4	P84085	ARF5	4	0.333333	0.333333
P20671	H2AC7	Q16777	H2AC20	4	0.571429	0.666667
P22528	SPRR1B	P35321	SPRR1A	4	0.571429	0.571429
P23109	AMPD1	Q01432	AMPD3	4	0.0952381	0.102564
P23528	CFL1	Q9Y281	CFL2	4	0.333333	0.307692
P27348	YWHAQ	P61981	YWHAG	4	0.222222	0.222222
P27348	YWHAQ	P63104	YWHAZ	4	0.222222	0.210526
P27348	YWHAQ	Q04917	YWHAH	4	0.222222	0.222222
P31943	HNRNPH1	P52597	HNRNPF	4	0.153846	0.181818
P32455	GBP1	P32456	GBP2	4	0.125	0.121212
P35498	SCN1A	Q14524	SCN5A	4	0.0506329	0.0555556
P42677	RPS27	Q71UM5	RPS27L	4	0.8	0.8
P46940	IQGAP1	Q13576	IQGAP2	4	0.0421053	0.0412371
P47755	CAPZA2	P52907	CAPZA1	4	0.25	0.25
P48739	PITPNB	Q00169	PITPNA	4	0.166667	0.153846
P51991	HNRNPA3	Q32P51	HNRNPA1L2	4	0.2	0.222222
P54284	CACNB3	Q02641	CACNB1	4	0.142857	0.129032
P54725	RAD23A	P54727	RAD23B	4	0.266667	0.266667
P61077	UBE2D3	P62837	UBE2D2	4	0.8	0.8
P61981	YWHAG	P63104	YWHAZ	4	0.222222	0.210526
P62854	RPS26	Q5JNZ5	RPS26P11	4	0.666667	0.5
P63104	YWHAZ	Q04917	YWHAH	4	0.210526	0.222222
P63261	ACTG1	Q9BYX7	POTEKP	4	0.173913	0.173913
P84243	H3-3A	Q6NXT2	H3-5	4	0.666667	0.666667
Q12792	TWF1	Q6IBS0	TWF2	4	0.181818	0.181818
Q14194	CRMP1	Q16555	DPYSL2	4	0.111111	0.117647
Q15208	STK38	Q9Y2H1	STK38L	4	0.148148	0.153846
Q16695	H3-4	Q5TEC6	H3-7	4	0.666667	0.5
Q16695	H3-4	Q6NXT2	H3-5	4	0.666667	0.666667
Q16777	H2AC20	Q7L7L0	H2AC25	4	0.666667	0.571429
Q16777	H2AC20	Q96QV6	H2AC1	4	0.666667	0.571429
Q5JSL3	DOCK11	Q9BZ29	DOCK9	4	0.0305344	0.0327869
Q5K651	SAMD9	Q8IVG5	SAMD9L	4	0.045977	0.0430108
Q8IUE6	H2AC21	Q93077	H2AC6	4	0.666667	0.571429
Q8IUE6	H2AC21	Q96KK5	H2AC12	4	0.666667	0.571429
Q8IUE6	H2AC21	Q96QV6	H2AC1	4	0.666667	0.571429
Q8IUE6	H2AC21	Q99878	H2AC14	4	0.666667	0.571429
Q8IUE6	H2AC21	Q9BTM1	H2AJ	4	0.666667	0.666667
Q93077	H2AC6	Q96QV6	H2AC1	4	0.571429	0.571429
Q969Q1	TRIM63	Q9BYV6	TRIM55	4	0.148148	0.133333
Q96KK5	H2AC12	Q96QV6	H2AC1	4	0.571429	0.571429
Q96QV6	H2AC1	Q99878	H2AC14	4	0.571429	0.571429
Q96QV6	H2AC1	Q9BTM1	H2AJ	4	0.571429	0.666667
Q9BS92	NIPSNAP3B	Q9UFN0	NIPSNAP3A	4	0.235294	0.25
Q9BX46	RBM24	Q9H0Z9	RBM38	4	0.5	0.444444
A0A0B4J1X5	IGHV3-74	A0A0C4DH42	IGHV3-66	3	0.428571	0.5
A0A0C4DH42	IGHV3-66	P01767	IGHV3-53	3	0.5	0.5
A4UGR9	XIRP2	Q702N8	XIRP1	3	0.012987	0.0258621
A7E2Y1	MYH7B	P35579	MYH9	3	0.0234375	0.0232558
A7E2Y1	MYH7B	P35580	MYH10	3	0.0234375	0.023622
A7E2Y1	MYH7B	Q7Z406	MYH14	3	0.0234375	0.023622
A8MWD9	SNRPGP15	P62308	SNRPG	3	0.6	1
B2RPK0	HMGB1P1	P23497	SP100	3	0.3	0.0588235
B2RPK0	HMGB1P1	P26583	HMGB2	3	0.3	0.272727
O00425	IGF2BP3	Q9Y6M1	IGF2BP2	3	0.0857143	0.0882353
O43491	EPB41L2	P11171	EPB41	3	0.0483871	0.0555556
O60739	EIF1B	P41567	EIF1	3	0.6	0.6
O75155	CAND2	Q86VP6	CAND1	3	0.0461538	0.0447761
O75410	TACC1	O95359	TACC2	3	0.0625	0.0204082
O75828	CBR3	P16152	CBR1	3	0.142857	0.166667
O75874	IDH1	P48735	IDH2	3	0.1	0.1
O94788	ALDH1A2	P30837	ALDH1B1	3	0.103448	0.115385
O95140	MFN2	Q8IWA4	MFN1	3	0.0652174	0.0588235
O95793	STAU1	Q9NUL3	STAU2	3	0.0882353	0.0731707
P00338	LDHA	P07195	LDHB	3	0.125	0.142857
P00533	EGFR	P04626	ERBB2	3	0.0441176	0.0526316
P00533	EGFR	Q15303	ERBB4	3	0.0441176	0.0441176
P01889	HLA-B	P13747	HLA-E	3	0.15	0.157895
P04439	HLA-A	P17693	HLA-G	3	0.136364	0.142857
P06732	CKM	P12277	CKB	3	0.12	0.130435
P08237	PFKM	P17858	PFKL	3	0.075	0.0731707
P08237	PFKM	Q01813	PFKP	3	0.075	0.0810811
P08651	NFIC	Q12857	NFIA	3	0.115385	0.136364
P08651	NFIC	Q14938	NFIX	3	0.115385	0.130435
P0CF74	IGLC6	P0DOY2	IGLC2	3	0.5	0.428571
P0CF74	IGLC6	P0DOY3	IGLC3	3	0.5	0.428571
P11021	HSPA5	P11142	HSPA8	3	0.0789474	0.0810811
P11021	HSPA5	P54652	HSPA2	3	0.0789474	0.075
P11142	HSPA8	P17066	HSPA6	3	0.0810811	0.0769231
P13533	MYH6	P35580	MYH10	3	0.024	0.023622
P14649	MYL6B	P60660	MYL6	3	0.2	0.272727
P15735	PHKG2	Q16816	PHKG1	3	0.107143	0.111111
P20671	H2AC7	Q8IUE6	H2AC21	3	0.428571	0.5
P20671	H2AC7	Q96QV6	H2AC1	3	0.428571	0.428571
P20700	LMNB1	Q03252	LMNB2	3	0.0789474	0.0731707
P20908	COL5A1	P25940	COL5A3	3	0.0306122	0.0309278
P23497	SP100	P26583	HMGB2	3	0.0588235	0.272727
P24298	GPT	Q8TD30	GPT2	3	0.103448	0.0967742
P24534	EEF1B2	P29692	EEF1D	3	0.2	0.142857
P27348	YWHAQ	P62258	YWHAE	3	0.166667	0.166667
P31946	YWHAB	P62258	YWHAE	3	0.176471	0.166667
P34932	HSPA4	Q92598	HSPH1	3	0.0526316	0.0545455
P38919	EIF4A3	P60842	EIF4A1	3	0.115385	0.125
P38919	EIF4A3	Q14240	EIF4A2	3	0.115385	0.125
P39687	ANP32A	Q92688	ANP32B	3	0.272727	0.272727
P40123	CAP2	Q01518	CAP1	3	0.09375	0.0882353
P46977	STT3A	Q8TCJ2	STT3B	3	0.0833333	0.0789474
P51911	CNN1	Q15417	CNN3	3	0.176471	0.157895
P54619	PRKAG1	Q9UGJ0	PRKAG2	3	0.136364	0.0882353
P55854	SUMO3	P61956	SUMO2	3	0.75	0.75
P61981	YWHAG	P62258	YWHAE	3	0.166667	0.166667
P62258	YWHAE	P63104	YWHAZ	3	0.166667	0.157895
P62258	YWHAE	Q04917	YWHAH	3	0.166667	0.166667
P62873	GNB1	Q9HAV0	GNB4	3	0.230769	0.214286
P68032	ACTC1	Q9BYX7	POTEKP	3	0.130435	0.130435
P68133	ACTA1	Q9BYX7	POTEKP	3	0.130435	0.130435
P84243	H3-3A	Q5TEC6	H3-7	3	0.5	0.375
Q04759	PRKCQ	Q05655	PRKCD	3	0.0652174	0.0681818
Q06830	PRDX1	Q13162	PRDX4	3	0.2	0.1875
Q12857	NFIA	Q14938	NFIX	3	0.136364	0.130435
Q13283	G3BP1	Q9UN86	G3BP2	3	0.115385	0.107143
Q14524	SCN5A	Q9UQD0	SCN8A	3	0.0416667	0.0394737
Q15233	NONO	Q8WXF1	PSPC1	3	0.115385	0.111111
Q16777	H2AC20	Q8IUE6	H2AC21	3	0.5	0.5
Q52LJ0	FAM98B	Q8NCA5	FAM98A	3	0.111111	0.125
Q5T1J5	CHCHD2P9	Q9Y6H1	CHCHD2	3	0.6	0.5
Q5TEC6	H3-7	Q6NXT2	H3-5	3	0.375	0.5
Q7L7L0	H2AC25	Q8IUE6	H2AC21	3	0.428571	0.5
Q7L7L0	H2AC25	Q96QV6	H2AC1	3	0.428571	0.428571
Q7Z7H5	TMED4	Q9BVK6	TMED9	3	0.2	0.176471
Q969Q1	TRIM63	Q9BYV2	TRIM54	3	0.111111	0.12
Q9H223	EHD4	Q9H4M9	EHD1	3	0.09375	0.0909091
Q9HBI1	PARVB	Q9NVD7	PARVA	3	0.157895	0.142857
Q9NR31	SAR1A	Q9Y6B6	SAR1B	3	0.272727	0.272727
Q9P265	DIP2B	Q9Y2E4	DIP2C	3	0.0352941	0.0375
A0A075B6S2	IGKV2D-29	A0A0A0MRZ7	IGKV2D-26	2	0.333333	0.4
A0A0B4J1X5	IGHV3-74	P01764	IGHV3-23	2	0.285714	0.333333
A0A0B4J1X5	IGHV3-74	P01767	IGHV3-53	2	0.285714	0.333333
A0A0B4J1X5	IGHV3-74	P01772	IGHV3-33	2	0.285714	0.285714
A0A0C4DH42	IGHV3-66	P01772	IGHV3-33	2	0.333333	0.285714
B9A064	IGLL5	P0CF74	IGLC6	2	0.153846	0.333333
O00264	PGRMC1	O15173	PGRMC2	2	0.2	0.166667
O00423	EML1	O95834	EML2	2	0.0444444	0.0666667
O14967	CLGN	P27824	CANX	2	0.0555556	0.0540541
O14974	PPP1R12A	O60237	PPP1R12B	2	0.037037	0.0338983
O15143	ARPC1B	Q92747	ARPC1A	2	0.105263	0.0869565
O43237	DYNC1LI2	Q9Y6G9	DYNC1LI1	2	0.0689655	0.0606061
O43447	PPIH	P30405	PPIF	2	0.142857	0.125
O43447	PPIH	P62937	PPIA	2	0.142857	0.142857
O43815	STRN	Q13033	STRN3	2	0.05	0.0625
O60256	PRPSAP2	Q14558	PRPSAP1	2	0.0769231	0.0833333
O60493	SNX3	Q9UMY4	SNX12	2	0.181818	0.181818
O60749	SNX2	Q13596	SNX1	2	0.0625	0.0689655
O75323	NIPSNAP2	Q9BPW8	NIPSNAP1	2	0.1	0.105263
O75367	MACROH2A1	Q9P0M6	MACROH2A2	2	0.117647	0.105263
O75886	STAM2	Q92783	STAM	2	0.08	0.0952381
O75962	TRIO	Q86VW2	ARHGEF25	2	0.0121212	0.0625
O94788	ALDH1A2	P00352	ALDH1A1	2	0.0689655	0.08
O94788	ALDH1A2	P05091	ALDH2	2	0.0689655	0.08
O94911	ABCA8	Q8N139	ABCA6	2	0.0285714	0.0285714
P00352	ALDH1A1	P05091	ALDH2	2	0.08	0.08
P01619	IGKV3-20	P04433	IGKV3-11	2	0.285714	0.333333
P01764	IGHV3-23	P01768	IGHV3-30	2	0.333333	0.285714
P01767	IGHV3-53	P01772	IGHV3-33	2	0.333333	0.285714
P01889	HLA-B	P17693	HLA-G	2	0.1	0.0952381
P02458	COL2A1	P02461	COL3A1	2	0.0224719	0.0243902
P02461	COL3A1	P05997	COL5A2	2	0.0243902	0.0217391
P02461	COL3A1	P12110	COL6A2	2	0.0243902	0.0333333
P02545	LMNA	Q03252	LMNB2	2	0.0454545	0.0487805
P02549	SPTA1	Q13813	SPTAN1	2	0.0122699	0.0104712
P04439	HLA-A	P13747	HLA-E	2	0.0909091	0.105263
P05783	KRT18	P08727	KRT19	2	0.0666667	0.0606061
P05787	KRT8	P08670	VIM	2	0.0625	0.0571429
P06732	CKM	P17540	CKMT2	2	0.08	0.0740741
P08134	RHOC	P62745	RHOB	2	0.181818	0.181818
P08579	SNRPB2	P09012	SNRPA	2	0.181818	0.153846
P09914	IFIT1	Q13325	IFIT5	2	0.0606061	0.0689655
P0C0S5	H2AZ1	P20671	H2AC7	2	0.333333	0.285714
P0C0S5	H2AZ1	Q16777	H2AC20	2	0.333333	0.333333
P0C0S5	H2AZ1	Q7L7L0	H2AC25	2	0.333333	0.285714
P0C0S5	H2AZ1	Q93077	H2AC6	2	0.333333	0.285714
P0C0S5	H2AZ1	Q96KK5	H2AC12	2	0.333333	0.285714
P0C0S5	H2AZ1	Q96QV6	H2AC1	2	0.333333	0.285714
P0C0S5	H2AZ1	Q99878	H2AC14	2	0.333333	0.285714
P0C0S5	H2AZ1	Q9BTM1	H2AJ	2	0.333333	0.333333
P0CF74	IGLC6	P0CG04	IGLC1	2	0.333333	0.285714
P0DMV8	HSPA1A	P11021	HSPA5	2	0.0555556	0.0526316
P0DMV9	HSPA1B	P11021	HSPA5	2	0.0555556	0.0526316
P0DP23	CALM1	P27482	CALML3	2	0.222222	0.181818
P0DP24	CALM2	P27482	CALML3	2	0.222222	0.181818
P0DP25	CALM3	P27482	CALML3	2	0.222222	0.181818
P10163	PRB4	Q04118	PRB3	2	0.142857	0.133333
P10301	RRAS	P62070	RRAS2	2	0.133333	0.133333
P11055	MYH3	P35579	MYH9	2	0.015748	0.0155039
P11055	MYH3	P35580	MYH10	2	0.015748	0.015748
P11055	MYH3	Q7Z406	MYH14	2	0.015748	0.015748
P12268	IMPDH2	P20839	IMPDH1	2	0.0769231	0.0833333
P12882	MYH1	P35579	MYH9	2	0.015748	0.0155039
P12882	MYH1	P35580	MYH10	2	0.015748	0.015748
P12882	MYH1	Q7Z406	MYH14	2	0.015748	0.015748
P12883	MYH7	P35579	MYH9	2	0.016129	0.0155039
P12883	MYH7	P35580	MYH10	2	0.016129	0.015748
P12883	MYH7	Q7Z406	MYH14	2	0.016129	0.015748
P12883	MYH7	Q9H6N6	MYH16	2	0.016129	0.0243902
P12883	MYH7	Q9Y2K3	MYH15	2	0.016129	0.0168067
P13533	MYH6	P35579	MYH9	2	0.016	0.0155039
P13533	MYH6	Q7Z406	MYH14	2	0.016	0.015748
P13533	MYH6	Q9H6N6	MYH16	2	0.016	0.0243902
P13535	MYH8	P35579	MYH9	2	0.015873	0.0155039
P13535	MYH8	P35580	MYH10	2	0.015873	0.015748
P13535	MYH8	Q7Z406	MYH14	2	0.015873	0.015748
P13747	HLA-E	P17693	HLA-G	2	0.105263	0.0952381
P16949	STMN1	Q93045	STMN2	2	0.2	0.153846
P20671	H2AC7	Q71UI9	H2AZ2	2	0.285714	0.333333
P21397	MAOA	P27338	MAOB	2	0.0606061	0.0606061
P21695	GPD1	Q8N335	GPD1L	2	0.0833333	0.0769231
P30405	PPIF	P49792	RANBP2	2	0.125	0.00938967
P30405	PPIF	Q08752	PPID	2	0.125	0.0666667
P31942	HNRNPH3	P31943	HNRNPH1	2	0.1	0.0769231
P32119	PRDX2	Q06830	PRDX1	2	0.142857	0.133333
P34896	SHMT1	P34897	SHMT2	2	0.0740741	0.0606061
P35579	MYH9	Q9UKX2	MYH2	2	0.0155039	0.015748
P35579	MYH9	Q9UKX3	MYH13	2	0.0155039	0.016
P35579	MYH9	Q9Y623	MYH4	2	0.0155039	0.015748
P35580	MYH10	Q9UKX2	MYH2	2	0.015748	0.015748
P35580	MYH10	Q9UKX3	MYH13	2	0.015748	0.016
P35580	MYH10	Q9Y623	MYH4	2	0.015748	0.015748
P35611	ADD1	P35612	ADD2	2	0.0571429	0.0487805
P39023	RPL3	Q92901	RPL3L	2	0.0952381	0.0909091
P46821	MAP1B	P78559	MAP1A	2	0.0173913	0.0151515
P48163	ME1	Q16798	ME3	2	0.0625	0.0540541
P49792	RANBP2	Q08752	PPID	2	0.00938967	0.0666667
P50452	SERPINB8	P50453	SERPINB9	2	0.0833333	0.0740741
P51668	UBE2D1	Q9Y2X8	UBE2D4	2	0.4	0.4
P61026	RAB10	P62820	RAB1A	2	0.117647	0.111111
P61026	RAB10	Q9H0U4	RAB1B	2	0.117647	0.111111
P61586	RHOA	P62745	RHOB	2	0.166667	0.181818
P62995	TRA2B	Q13595	TRA2A	2	0.166667	0.125
P63027	VAMP2	Q15836	VAMP3	2	0.4	0.4
Q00577	PURA	Q96QR8	PURB	2	0.142857	0.133333
Q01432	AMPD3	Q01433	AMPD2	2	0.0512821	0.0454545
Q07157	TJP1	Q9UDY2	TJP2	2	0.0188679	0.025641
Q09666	AHNAK	Q8IVF2	AHNAK2	2	0.00738007	0.00865801
Q13425	SNTB2	Q13884	SNTB1	2	0.0625	0.0571429
Q15119	PDK2	Q16654	PDK4	2	0.0740741	0.08
Q15417	CNN3	Q99439	CNN2	2	0.105263	0.125
Q16777	H2AC20	Q71UI9	H2AZ2	2	0.333333	0.333333
Q32MZ4	LRRFIP1	Q9Y608	LRRFIP2	2	0.0465116	0.0434783
Q562R1	ACTBL2	Q6S8J3	POTEE	2	0.0833333	0.031746
Q562R1	ACTBL2	Q9BYX7	POTEKP	2	0.0833333	0.0869565
Q63HR2	TNS2	Q9HBL0	TNS1	2	0.027027	0.0206186
Q6QEF8	CORO6	Q9ULV4	CORO1C	2	0.0952381	0.0833333
Q71UI9	H2AZ2	Q7L7L0	H2AC25	2	0.333333	0.285714
Q71UI9	H2AZ2	Q93077	H2AC6	2	0.333333	0.285714
Q71UI9	H2AZ2	Q96KK5	H2AC12	2	0.333333	0.285714
Q71UI9	H2AZ2	Q96QV6	H2AC1	2	0.333333	0.285714
Q71UI9	H2AZ2	Q99878	H2AC14	2	0.333333	0.285714
Q71UI9	H2AZ2	Q9BTM1	H2AJ	2	0.333333	0.333333
Q7L1Q6	BZW1	Q9Y6E2	BZW2	2	0.0666667	0.0645161
Q7Z406	MYH14	Q9UKX2	MYH2	2	0.015748	0.015748
Q7Z406	MYH14	Q9UKX3	MYH13	2	0.015748	0.016
Q7Z406	MYH14	Q9Y623	MYH4	2	0.015748	0.015748
Q7Z4V5	HDGFL2	Q9Y3E1	HDGFL3	2	0.0526316	0.2
Q86SQ0	PHLDB2	Q86UU1	PHLDB1	2	0.0285714	0.0243902
Q86VS8	HOOK3	Q9UJC3	HOOK1	2	0.0454545	0.0425532
Q86YM7	HOMER1	Q9NSB8	HOMER2	2	0.0833333	0.0869565
Q8NDA2	HMCN2	Q8WZ42	TTN	2	0.00806452	0.000903342
Q8TF09	DYNLRB2	Q9NP97	DYNLRB1	2	0.333333	0.333333
Q92945	KHSRP	Q96I24	FUBP3	2	0.05	0.0526316
Q9BR76	CORO1B	Q9ULV4	CORO1C	2	0.08	0.0833333
Q9H987	SYNPO2L	Q9UMS6	SYNPO2	2	0.0454545	0.0327869
Q9H9S4	CAB39L	Q9Y376	CAB39	2	0.0869565	0.08
Q9HCJ2	LRRC4C	Q9NT99	LRRC4B	2	0.0769231	0.0645161
Q9NYF8	BCLAF1	Q9Y2W1	THRAP3	2	0.04	0.0344828
Q9NYL9	TMOD3	Q9NZR1	TMOD2	2	0.0869565	0.0952381
Q9NZA1	CLIC5	Q9Y696	CLIC4	2	0.0909091	0.117647
Q9UNH7	SNX6	Q9Y5X3	SNX5	2	0.0714286	0.0769231
A0A075B6S2	IGKV2D-29	P01615	IGKV2D-28	1	0.166667	0.2
A0A0A0MRZ7	IGKV2D-26	P01615	IGKV2D-28	1	0.2	0.2
A0A0B4J1X5	IGHV3-74	P01768	IGHV3-30	1	0.142857	0.142857
A0A0C4DH42	IGHV3-66	P01764	IGHV3-23	1	0.166667	0.166667
A0A0C4DH42	IGHV3-66	P01768	IGHV3-30	1	0.166667	0.142857
A0FGR8	ESYT2	Q9BSJ8	ESYT1	1	0.0188679	0.0175439
A3KMH1	VWA8	Q96MF6	COQ10A	1	0.008	0.0526316
A4UGR9	XIRP2	Q13573	SNW1	1	0.004329	0.0285714
A5YM72	CARNS1	Q7Z6Z7	HUWE1	1	0.025641	0.00480769
A6NMZ7	COL6A6	P46939	UTRN	1	0.00775194	0.00471698
A7E2Y1	MYH7B	O43795	MYO1B	1	0.0078125	0.0142857
A7E2Y1	MYH7B	Q09666	AHNAK	1	0.0078125	0.00369004
A7E2Y1	MYH7B	Q9BZF3	OSBPL6	1	0.0078125	0.0185185
A7E2Y1	MYH7B	Q9Y2K3	MYH15	1	0.0078125	0.00840336
A7E2Y1	MYH7B	Q9Y4I1	MYO5A	1	0.0078125	0.00854701
B1AJZ9	FHAD1	Q08378	GOLGA3	1	0.01	0.0103093
B1AJZ9	FHAD1	Q9NQ88	TIGAR	1	0.01	0.0666667
B2RPK0	HMGB1P1	Q08945	SSRP1	1	0.1	0.025
E7EW31	PROB1	Q9UKV3	ACIN1	1	0.0181818	0.0119048
O00299	CLIC1	Q9NZA1	CLIC5	1	0.0588235	0.0454545
O00299	CLIC1	Q9Y696	CLIC4	1	0.0588235	0.0588235
O00471	EXOC5	Q14980	NUMA1	1	0.0212766	0.00699301
O00571	DDX3X	P17844	DDX5	1	0.0243902	0.0277778
O00571	DDX3X	Q92841	DDX17	1	0.0243902	0.0243902
O00754	MAN2B1	P25786	PSMA1	1	0.0178571	0.0555556
O14531	DPYSL4	Q14195	DPYSL3	1	0.0277778	0.030303
O14776	TCERG1	P38159	RBMX	1	0.0185185	0.0294118
O14879	IFIT3	Q12797	ASPH	1	0.0333333	0.0277778
O14908	GIPC1	Q9NZT2	OGFR	1	0.0555556	0.0294118
O14950	MYL12B	P10916	MYL2	1	0.0909091	0.0909091
O14950	MYL12B	Q02045	MYL5	1	0.0909091	0.0833333
O14964	HGS	O75391	SPAG7	1	0.0344828	0.0666667
O14974	PPP1R12A	O75179	ANKRD17	1	0.0185185	0.00980392
O14974	PPP1R12A	Q9BZL4	PPP1R12C	1	0.0185185	0.0227273
O14974	PPP1R12A	Q9UQ35	SRRM2	1	0.0185185	0.00641026
O14979	HNRNPDL	Q14103	HNRNPD	1	0.0434783	0.0666667
O14979	HNRNPDL	Q99729	HNRNPAB	1	0.0434783	0.0714286
O15031	PLXNB2	Q9UIW2	PLXNA1	1	0.00952381	0.00909091
O15075	DCLK1	P11908	PRPS2	1	0.025641	0.0526316
O15078	CEP290	P02549	SPTA1	1	0.00537634	0.00613497
O15078	CEP290	P35658	NUP214	1	0.00537634	0.0121951
O15078	CEP290	Q02318	CYP27A1	1	0.00537634	0.0344828
O15078	CEP290	Q14789	GOLGB1	1	0.00537634	0.00438596
O15078	CEP290	Q5JR59	MTUS2	1	0.00537634	0.0108696
O15083	ERC2	Q68CZ1	RPGRIP1L	1	0.0149254	0.0128205
O15126	SCAMP1	Q9H2D6	TRIOBP	1	0.0526316	0.00763359
O15357	INPPL1	Q7Z7G0	ABI3BP	1	0.0123457	0.0163934
O15511	ARPC5	Q9BPX5	ARPC5L	1	0.0833333	0.0833333
O15523	DDX3Y	P17844	DDX5	1	0.0232558	0.0277778
O15523	DDX3Y	Q92841	DDX17	1	0.0232558	0.0243902
O43264	ZW10	Q01970	PLCB3	1	0.0204082	0.016129
O43290	SART1	P68036	UBE2L3	1	0.0238095	0.125
O43395	PRPF3	P50993	ATP1A2	1	0.025	0.0178571
O43447	PPIH	P23284	PPIB	1	0.0714286	0.0625
O43447	PPIH	P45877	PPIC	1	0.0714286	0.0833333
O43447	PPIH	P49792	RANBP2	1	0.0714286	0.00469484
O43447	PPIH	Q08752	PPID	1	0.0714286	0.0333333
O43548	TGM5	P21980	TGM2	1	0.030303	0.0263158
O43747	AP1G1	Q8IUR0	TRAPPC5	1	0.0222222	0.0769231
O43768	ENSA	P56211	ARPP19	1	0.1	0.125
O43795	MYO1B	P11055	MYH3	1	0.0142857	0.00787402
O43795	MYO1B	P12882	MYH1	1	0.0142857	0.00787402
O43795	MYO1B	P12883	MYH7	1	0.0142857	0.00806452
O43795	MYO1B	P13533	MYH6	1	0.0142857	0.008
O43795	MYO1B	P13535	MYH8	1	0.0142857	0.00793651
O43795	MYO1B	P35579	MYH9	1	0.0142857	0.00775194
O43795	MYO1B	P35580	MYH10	1	0.0142857	0.00787402
O43795	MYO1B	P36776	LONP1	1	0.0142857	0.0192308
O43795	MYO1B	Q12965	MYO1E	1	0.0142857	0.015625
O43795	MYO1B	Q7Z406	MYH14	1	0.0142857	0.00787402
O43795	MYO1B	Q9UKX2	MYH2	1	0.0142857	0.00787402
O43795	MYO1B	Q9UKX3	MYH13	1	0.0142857	0.008
O43795	MYO1B	Q9Y2K3	MYH15	1	0.0142857	0.00840336
O43795	MYO1B	Q9Y4I1	MYO5A	1	0.0142857	0.00854701
O43795	MYO1B	Q9Y623	MYH4	1	0.0142857	0.00787402
O43837	IDH3B	P51553	IDH3G	1	0.0434783	0.0526316
O43852	CALU	O60437	PPL	1	0.0588235	0.00740741
O43896	KIF1C	Q9H1H9	KIF13A	1	0.0144928	0.0102041
O60271	SPAG9	P46781	RPS9	1	0.0128205	0.0714286
O60306	AQR	Q5JTH9	RRP12	1	0.0123457	0.0133333
O60307	MAST3	P51812	RPS6KA3	1	0.0138889	0.0212766
O60437	PPL	P18621	RPL17	1	0.00740741	0.0833333
O60610	DIAPH1	O60879	DIAPH2	1	0.0142857	0.0151515
O60610	DIAPH1	Q8IUG5	MYO18B	1	0.0142857	0.00574713
O75052	NOS1AP	Q14839	CHD4	1	0.030303	0.00980392
O75112	LDB3	Q53GG5	PDLIM3	1	0.0285714	0.05
O75116	ROCK2	Q9UQE7	SMC3	1	0.0103093	0.0121951
O75179	ANKRD17	O94776	MTA2	1	0.00980392	0.0188679
O75179	ANKRD17	Q9UQ35	SRRM2	1	0.00980392	0.00641026
O75190	DNAJB6	P25686	DNAJB2	1	0.0666667	0.0666667
O75400	PRPF40A	P27824	CANX	1	0.025641	0.027027
O75400	PRPF40A	P35269	GTF2F1	1	0.025641	0.0416667
O75400	PRPF40A	P82663	MRPS25	1	0.025641	0.0909091
O75400	PRPF40A	Q13936	CACNA1C	1	0.025641	0.010101
