# Generated by pipeline/digest.py — DO NOT EDIT BY HAND
# generated = 2026-09-19T18:28:04Z
# digest = trypsin; cleave_after=KR; cleave_before_proline=both; length 6-30; missed_cleavages=0; source=Schwanhausser et al. 2011 (B4), Methods, iBAQ definition, as restated in Nature Sci Data 2018;5:180128 (doi 10.1038/sdata.2018.128): "theoretically observable tryptic peptides between 6 and 30 amino acids". Proline rule not stated in A1 Methods; both computed, difference disclosed (D49).
accession	gene	tier	length	mw_full	n_peptides	peptides_per_kDa	n_peptides_trypsin_P	n_peptides_trypsin	proline_rule_rel_diff
P18669	PGAM1	2	254	28803.5	15	0.52077	15	15	0
P18859	ATP5PF	2	108	12587.3	7	0.556115	7	7	0
P19022	CDH2	2	906	99807.9	41	0.410789	41	35	0.146341
P19075	TSPAN8	2	237	26043.5	9	0.345575	9	9	0
P19105	MYL12A	2	171	19793.9	11	0.555727	11	11	0
P19174	PLCG1	2	1290	148530	71	0.478018	71	67	0.056338
P19237	TNNI1	1	187	21692.1	14	0.645397	14	14	0
P19256	CD58	2	250	28147.1	8	0.284221	8	8	0
P19320	VCAM1	2	739	81275.2	43	0.529067	43	42	0.0232558
P19338	NCL	2	710	76613.7	44	0.57431	44	44	0
P19367	HK1	2	917	102485	51	0.497635	51	51	0
P19387	POLR2C	2	275	31440.7	16	0.508894	16	14	0.125
P19404	NDUFV2	2	249	27391.2	16	0.584128	16	17	-0.0625
P19429	TNNI3	1	210	24007.1	11	0.458197	11	11	0
P19474	TRIM21	2	475	54168.9	30	0.553823	30	30	0
P19525	EIF2AK2	2	551	62093.5	25	0.402619	25	25	0
P19623	SRM	2	302	33824.2	16	0.473034	16	16	0
P19793	RXRA	2	462	50810.7	26	0.511704	26	25	0.0384615
P19823	ITIH2	2	946	106462	51	0.479044	51	51	0
P19827	ITIH1	2	911	101388	40	0.394525	40	34	0.15
P19961	AMY2B	2	511	57709.2	28	0.485192	28	27	0.0357143
P19971	TYMP	2	482	49954.7	27	0.54049	27	27	0
P20020	ATP2B1	2	1220	134683	65	0.482615	65	65	0
P20042	EIF2S2	2	333	38388	22	0.573096	22	22	0
P20073	ANXA7	2	488	52738.5	25	0.474037	25	23	0.08
P20231	TPSB2	2	275	30650.8	15	0.489384	15	14	0.0666667
P20339	RAB5A	2	215	23658.4	14	0.591757	14	14	0
P20340	RAB6A	2	208	23592.5	17	0.720568	17	17	0
P20472	PVALB	2	110	12058.6	9	0.746355	9	9	0
P20591	MX1	2	662	75519.2	42	0.55615	42	41	0.0238095
P20592	MX2	2	715	82087.5	46	0.560378	46	46	0
P20618	PSMB1	2	241	26489	15	0.566272	15	15	0
P20671	H2AC7	2	130	14107.3	7	0.496198	7	7	0
P20674	COX5A	2	150	16761.9	13	0.775567	13	11	0.153846
P20700	LMNB1	2	586	66407.3	38	0.572226	38	38	0
P20774	OGN	2	298	33921.7	18	0.530634	18	17	0.0555556
P20807	CAPN3	1	821	94252.4	50	0.530491	50	51	-0.02
P20839	IMPDH1	2	514	55405.1	24	0.433173	24	23	0.0416667
P20908	COL5A1	2	1838	183558	98	0.53389	98	96	0.0204082
P20929	NEB	1	8525	986650	468	0.474332	468	467	0.00213675
P20962	PTMS	2	102	11529.8	3	0.260195	3	3	0
P21266	GSTM3	2	225	26559.2	19	0.715382	19	19	0
P21281	ATP6V1B2	2	511	56500	29	0.513275	29	29	0
P21283	ATP6V1C1	2	382	43941	28	0.637218	28	28	0
P21291	CSRP1	1	193	20567.3	15	0.729312	15	14	0.0666667
P21333	FLNA	1	2647	280736	151	0.537871	151	144	0.0463576
P21397	MAOA	2	527	59680.9	33	0.55294	33	31	0.0606061
P21399	ACO1	2	889	98397.6	48	0.487817	48	48	0
P21695	GPD1	2	349	37567.2	24	0.638854	24	24	0
P21796	VDAC1	2	283	30772.3	18	0.584942	18	18	0
P21817	RYR1	1	5038	565168	274	0.484812	274	266	0.0291971
P21912	SDHB	2	280	31629.3	22	0.695557	22	22	0
P21953	BCKDHB	2	392	43121.9	19	0.440612	19	19	0
P21964	COMT	2	271	30036.6	15	0.499391	15	15	0
P21980	TGM2	2	687	77327.9	38	0.491414	38	36	0.0526316
P22033	MMUT	2	750	83133.3	39	0.469126	39	38	0.025641
P22059	OSBP	2	807	89419.4	48	0.536796	48	49	-0.0208333
P22061	PCMT1	2	227	24636	12	0.487091	12	11	0.0833333
P22087	FBL	2	321	33784	23	0.680796	23	22	0.0434783
P22102	GART	2	1010	107766	56	0.519645	56	56	0
P22105	TNXB	2	4244	458384	167	0.364324	167	161	0.0359281
P22234	PAICS	2	425	47078.6	26	0.552268	26	26	0
P22314	UBA1	2	1058	117847	59	0.500648	59	56	0.0508475
P22392	NME2	2	152	17297.8	14	0.809349	14	12	0.142857
P22460	KCNA5	1	613	67226.9	27	0.401625	27	24	0.111111
P22528	SPRR1B	2	89	9887.45	7	0.707968	7	7	0
P22570	FDXR	2	491	53836	33	0.612973	33	32	0.030303
P22626	HNRNPA2B1	2	353	37429.5	20	0.534337	20	19	0.05
P22694	PRKACB	2	351	40622.2	20	0.492342	20	20	0
P22695	UQCRC2	2	453	48442.3	23	0.474792	23	23	0
P22735	TGM1	2	817	89785.6	49	0.545744	49	46	0.0612245
P22830	FECH	2	423	47861.4	31	0.647703	31	30	0.0322581
P23109	AMPD1	2	747	86488.7	42	0.485613	42	39	0.0714286
P23142	FBLN1	2	703	77213.5	35	0.453289	35	35	0
P23193	TCEA1	2	301	33969.3	19	0.559329	19	19	0
P23246	SFPQ	2	707	76148.5	36	0.472761	36	32	0.111111
P23258	TUBG1	2	451	51169.1	22	0.429947	22	21	0.0454545
P23284	PPIB	2	216	23742.3	16	0.673901	16	16	0
P23297	S100A1	2	94	10545.7	3	0.284476	3	3	0
P23327	HRC	1	699	80242.4	30	0.373867	30	29	0.0333333
P23352	ANOS1	2	680	76110.9	38	0.499271	38	37	0.0263158
P23368	ME2	2	584	65442.7	34	0.519539	34	30	0.117647
P23381	WARS1	2	471	53164.6	29	0.545476	29	29	0
P23396	RPS3	2	243	26688	19	0.711929	19	19	0
P23434	GCSH	2	173	18884.3	8	0.423631	8	7	0.125
P23490	LORICRIN	2	312	25760.9	3	0.116456	3	3	0
P23497	SP100	2	879	100415	51	0.50789	51	52	-0.0196078
P23508	MCC	2	829	93025.8	46	0.494487	46	43	0.0652174
P23526	AHCY	2	432	47715.5	21	0.440108	21	23	-0.0952381
P23527	H2BC17	2	126	13906	11	0.791027	11	11	0
P23528	CFL1	2	166	18502.3	12	0.648567	12	12	0
P23588	EIF4B	2	611	69150.2	36	0.520606	36	34	0.0555556
P23634	ATP2B4	1	1241	137918	65	0.471293	65	64	0.0153846
P23786	CPT2	2	658	73775.9	44	0.596401	44	43	0.0227273
P23919	DTYMK	2	212	23818.9	19	0.797684	19	18	0.0526316
P23921	RRM1	2	792	90069	45	0.499617	45	44	0.0222222
P24043	LAMA2	2	3122	343902	193	0.561207	193	184	0.0466321
P24298	GPT	2	496	54636.1	29	0.530784	29	29	0
P24310	COX7A1	2	79	9117.39	5	0.548403	5	5	0
P24311	COX7B	2	80	9160.38	3	0.327498	3	3	0
P24534	EEF1B2	2	225	24763.4	15	0.605733	15	14	0.0666667
P24539	ATP5PB	2	256	28908.2	17	0.588068	17	17	0
P24593	IGFBP5	2	272	30570	13	0.425254	13	14	-0.0769231
P24666	ACP1	2	158	18042.3	10	0.554254	10	10	0
P24821	TNC	2	2201	240851	111	0.460866	111	105	0.0540541
P24844	MYL9	1	172	19826.9	11	0.554801	11	11	0
P24928	POLR2A	2	1970	217203	111	0.511042	111	107	0.036036
P25205	MCM3	2	808	90979.5	54	0.59354	54	56	-0.037037
P25311	AZGP1	2	298	34258.2	19	0.554611	19	19	0
P25325	MPST	2	297	33177.9	21	0.632951	21	19	0.0952381
P25398	RPS12	2	132	14514.8	7	0.482266	7	7	0
P25685	DNAJB1	2	340	38043.7	21	0.551997	21	22	-0.047619
P25686	DNAJB2	2	324	35579.6	15	0.42159	15	16	-0.0666667
P25705	ATP5F1A	2	553	59749.8	36	0.602513	36	36	0
P25786	PSMA1	2	263	29555.1	18	0.609031	18	18	0
P25787	PSMA2	2	234	25898.3	16	0.617802	16	13	0.1875
P25788	PSMA3	2	255	28432.9	15	0.527558	15	14	0.0666667
P25789	PSMA4	2	261	29483.4	14	0.474843	14	14	0
P25815	S100P	2	95	10399.8	4	0.384624	4	4	0
P25940	COL5A3	2	1745	172119	97	0.563562	97	93	0.0412371
P26038	MSN	2	577	67819	39	0.57506	39	40	-0.025641
P26196	DDX6	2	483	54416.1	33	0.606439	33	29	0.121212
P26232	CTNNA2	2	953	105311	57	0.541252	57	57	0
P26368	U2AF2	2	475	53500.3	19	0.355138	19	19	0
P26373	RPL13	2	211	24261.1	13	0.535836	13	14	-0.0769231
P26440	IVD	2	426	46650.2	24	0.514467	24	24	0
P26447	S100A4	2	101	11728.4	6	0.511578	6	6	0
P26583	HMGB2	2	209	24033.5	11	0.457694	11	13	-0.181818
P26599	PTBP1	2	557	59632.1	21	0.352159	21	22	-0.047619
P26639	TARS1	2	723	83434.1	49	0.58729	49	47	0.0408163
P26640	VARS1	2	1264	140474	69	0.491195	69	65	0.057971
P26641	EEF1G	2	437	50118.1	26	0.518775	26	27	-0.0384615
P26678	PLN	2	52	6108.48	3	0.491121	3	3	0
P26885	FKBP2	2	142	15649.1	8	0.511212	8	8	0
P27105	STOM	2	288	31730.3	18	0.567282	18	18	0
P27144	AK4	2	223	25267.6	16	0.633221	16	14	0.125
P27169	PON1	2	355	39730.8	19	0.478219	19	19	0
P27338	MAOB	2	520	58762.2	33	0.561586	33	31	0.0606061
P27348	YWHAQ	2	245	27763.8	18	0.648325	18	18	0
P27361	MAPK3	2	379	43134.9	23	0.533211	23	22	0.0434783
P27482	CALML3	2	149	16890.5	11	0.651252	11	11	0
P27635	RPL10	2	214	24576.6	12	0.488269	12	13	-0.0833333
P27694	RPA1	2	616	68137.4	38	0.557697	38	33	0.131579
P27695	APEX1	2	318	35554	18	0.506272	18	18	0
P27797	CALR	2	417	48140.9	27	0.560854	27	24	0.111111
P27816	MAP4	2	1152	121003	69	0.570232	69	64	0.0724638
P27824	CANX	2	592	67567.4	37	0.547601	37	27	0.27027
P27986	PIK3R1	2	724	83597.1	46	0.550258	46	41	0.108696
P28065	PSMB9	2	219	23264	11	0.472833	11	9	0.181818
P28066	PSMA5	2	241	26410.7	12	0.454362	12	11	0.0833333
P28070	PSMB4	2	264	29203.8	11	0.376663	11	11	0
P28072	PSMB6	2	239	25357.4	11	0.433799	11	11	0
P28074	PSMB5	2	263	28479.9	17	0.596912	17	16	0.0588235
P28161	GSTM2	2	218	25744.3	18	0.699185	18	19	-0.0555556
P28289	TMOD1	1	359	40568.6	21	0.517641	21	19	0.0952381
P28331	NDUFS1	2	727	79466.5	44	0.553692	44	41	0.0681818
P28370	SMARCA1	2	1042	121140	64	0.528313	64	65	-0.015625
P28482	MAPK1	2	360	41389.1	24	0.579863	24	23	0.0416667
P28827	PTPRM	2	1452	163680	77	0.470429	77	69	0.103896
P28838	LAP3	2	519	56165.6	33	0.587548	33	34	-0.030303
P28907	CD38	2	300	34328	22	0.640876	22	23	-0.0454545
P29144	TPP2	2	1249	138348	68	0.491514	68	70	-0.0294118
P29218	IMPA1	2	277	30188.5	17	0.563128	17	17	0
P29279	CCN2	2	349	38091.3	28	0.735076	28	28	0
P29317	EPHA2	2	976	108265	54	0.498776	54	52	0.037037
P29373	CRABP2	2	138	15692.9	12	0.764677	12	11	0.0833333
P29475	NOS1	1	1434	160968	87	0.54048	87	86	0.0114943
P29508	SERPINB3	2	390	44564	23	0.516111	23	23	0
P29536	LMOD1	1	600	67029.4	34	0.50724	34	34	0
P29590	PML	2	882	97548.9	51	0.522815	51	49	0.0392157
P29692	EEF1D	2	281	31121.3	21	0.674778	21	20	0.047619
P29728	OAS2	2	719	82429.4	39	0.473132	39	38	0.025641
P29992	GNA11	2	359	42122.7	23	0.546023	23	23	0
P30038	ALDH4A1	2	563	61718.6	37	0.599496	37	36	0.027027
P30040	ERP29	2	261	28993	15	0.517366	15	15	0
P30041	PRDX6	2	224	25034.7	16	0.639114	16	16	0
P30043	BLVRB	2	206	22119	12	0.542519	12	11	0.0833333
P30044	PRDX5	2	214	22086.2	13	0.588603	13	13	0
P30046	DDT	2	118	12711.6	8	0.629348	8	7	0.125
P30048	PRDX3	2	256	27692.3	16	0.577779	16	13	0.1875
P30049	ATP5F1D	2	168	17489.7	6	0.34306	6	5	0.166667
P30050	RPL12	2	165	17818.3	11	0.617341	11	11	0
P30084	ECHS1	2	290	31387	19	0.605346	19	20	-0.0526316
P30085	CMPK1	2	196	22222.1	12	0.540003	12	11	0.0833333
P30086	PEBP1	2	187	21056.5	11	0.522404	11	11	0
P30101	PDIA3	2	505	56781.7	34	0.598784	34	32	0.0588235
P30153	PPP2R1A	2	589	65307.6	39	0.597174	39	39	0
P30405	PPIF	2	207	22040	16	0.725951	16	16	0
P30419	NMT1	2	496	56805.5	27	0.475306	27	25	0.0740741
P30519	HMOX2	2	316	36032.4	18	0.49955	18	18	0
P30533	LRPAP1	2	357	41465.3	25	0.602914	25	26	-0.04
P30566	ADSL	2	484	54888.4	32	0.583001	32	31	0.03125
P30622	CLIP1	2	1438	162244	104	0.64101	104	102	0.0192308
P30626	SRI	1	198	21676.1	13	0.599738	13	12	0.0769231
P30711	GSTT1	2	240	27334.5	11	0.402421	11	11	0
P30740	SERPINB1	2	379	42741.2	22	0.514726	22	21	0.0454545
P30837	ALDH1B1	2	517	57248.6	26	0.454159	26	25	0.0384615
P30876	POLR2B	2	1174	133895	72	0.537736	72	68	0.0555556
P31025	LCN1	2	176	19249.8	10	0.519487	10	10	0
P31040	SDHA	2	664	72690.6	36	0.495249	36	35	0.0277778
P31150	GDI1	2	447	50582.2	27	0.533785	27	26	0.037037
P31151	S100A7	2	101	11470.8	7	0.610244	7	7	0
P31153	MAT2A	2	395	43660.1	20	0.458084	20	21	-0.05
P31323	PRKAR2B	2	418	46301.5	25	0.539939	25	25	0
P31327	CPS1	2	1500	164937	90	0.545662	90	86	0.0444444
P31415	CASQ1	1	396	45159.5	16	0.3543	16	14	0.125
P31431	SDC4	1	198	21641.3	9	0.415872	9	9	0
P31689	DNAJA1	2	397	44867.8	24	0.534905	24	22	0.0833333
P31749	AKT1	2	480	55685.7	36	0.646485	36	35	0.0277778
P31751	AKT2	2	481	55768.1	36	0.645531	36	35	0.0277778
P31930	UQCRC1	2	480	52645	25	0.474879	25	25	0
P31937	HIBADH	2	336	35328.5	15	0.424587	15	15	0
P31939	ATIC	2	592	64615	38	0.588099	38	37	0.0263158
P31942	HNRNPH3	2	346	36926.3	20	0.54162	20	20	0
P31943	HNRNPH1	2	449	49229	26	0.528144	26	25	0.0384615
P31944	CASP14	2	242	27679.2	18	0.650309	18	18	0
P31946	YWHAB	2	246	28082	17	0.60537	17	17	0
P31948	STIP1	2	543	62638.4	42	0.670515	42	43	-0.0238095
P31949	S100A11	2	105	11740.3	6	0.51106	6	6	0
P32119	PRDX2	2	198	21891.7	14	0.639513	14	11	0.214286
P32121	ARRB2	2	409	46105.2	22	0.47717	22	20	0.0909091
P32322	PYCR1	2	319	33360.1	16	0.479615	16	15	0.0625
P32418	SLC8A1	1	973	108546	37	0.34087	37	35	0.0540541
P32455	GBP1	2	592	67929.7	32	0.471075	32	32	0
P32456	GBP2	2	591	67208.1	33	0.491013	33	33	0
P32856	STX2	2	288	33340.6	18	0.539883	18	16	0.111111
P33121	ACSL1	2	698	77942.4	40	0.513199	40	37	0.075
P33176	KIF5B	2	963	109683	67	0.610849	67	64	0.0447761
P33240	CSTF2	2	577	60958.7	25	0.410114	25	25	0
P33316	DUT	2	252	26562.9	19	0.715283	19	17	0.105263
P33778	H2BC3	2	126	13950	11	0.78853	11	11	0
P33897	ABCD1	2	745	82935.6	44	0.530532	44	42	0.0454545
P34896	SHMT1	2	483	53081.9	27	0.508648	27	28	-0.037037
P34897	SHMT2	2	504	55992.1	33	0.589369	33	33	0
P34913	EPHX2	2	555	62614.9	33	0.527031	33	30	0.0909091
P34932	HSPA4	2	840	94329.8	57	0.604263	57	57	0
P34949	MPI	2	423	46655.2	22	0.471545	22	17	0.227273
P35030	PRSS3	2	304	32528.5	16	0.491877	16	16	0
P35052	GPC1	2	558	61679.3	36	0.583664	36	32	0.111111
P35080	PFN2	2	140	15046.1	8	0.531698	8	8	0
P35221	CTNNA1	2	906	100070	55	0.549617	55	56	-0.0181818
P35222	CTNNB1	1	781	85495.2	43	0.502952	43	42	0.0232558
P35232	PHB1	2	272	29803.6	19	0.637507	19	18	0.0526316
P35237	SERPINB6	2	376	42621.4	24	0.563097	24	24	0
P35241	RDX	2	583	68562.9	37	0.53965	37	39	-0.0540541
P35244	RPA3	2	121	13568.6	9	0.663297	9	8	0.111111
P35268	RPL22	2	128	14786.9	6	0.405766	6	6	0
P35269	GTF2F1	2	517	58239.7	24	0.41209	24	24	0
P35270	SPR	2	261	28048	16	0.57045	16	17	-0.0625
P35321	SPRR1A	2	89	9877.38	7	0.70869	7	7	0
P35443	THBS4	2	961	105868	43	0.406166	43	41	0.0465116
P35498	SCN1A	1	2009	228969	79	0.345025	79	79	0
P35499	SCN4A	2	1836	208058	60	0.288381	60	61	-0.0166667
P35520	CBS	2	551	60585.7	31	0.511672	31	29	0.0645161
P35555	FBN1	2	2871	312297	162	0.518738	162	155	0.0432099
P35568	IRS1	2	1242	131589	63	0.478763	63	59	0.0634921
P35573	AGL	2	1532	174761	102	0.583653	102	98	0.0392157
P35579	MYH9	2	1960	226529	129	0.569464	129	127	0.0155039
P35580	MYH10	2	1976	228995	127	0.554596	127	125	0.015748
P35606	COPB2	2	906	102486	53	0.517145	53	51	0.0377358
P35609	ACTN2	1	894	103852	62	0.597003	62	62	0
P35611	ADD1	2	737	80954.1	35	0.432344	35	32	0.0857143
P35612	ADD2	2	726	80853.1	41	0.507092	41	41	0
P35613	BSG	2	385	42199.7	16	0.379149	16	16	0
P35625	TIMP3	2	211	24144.8	12	0.497002	12	12	0
P35637	FUS	2	526	53425.5	17	0.3182	17	17	0
P35658	NUP214	2	2090	213616	82	0.383866	82	68	0.170732
P35659	DEK	2	375	42673.9	24	0.562405	24	24	0
P35754	GLRX	2	106	11775.6	7	0.59445	7	6	0.142857
P35813	PPM1A	2	382	42447.3	24	0.565407	24	23	0.0416667
P35914	HMGCL	2	325	34359.8	18	0.523869	18	18	0
P35998	PSMC2	2	433	48633.2	32	0.657987	32	31	0.03125
P36404	ARL2	2	184	20877.6	10	0.478981	10	10	0
P36405	ARL3	2	182	20455.2	11	0.537761	11	12	-0.0909091
P36507	MAP2K2	2	400	44423.5	23	0.517744	23	19	0.173913
P36542	ATP5F1C	2	298	32995.5	17	0.515221	17	17	0
P36543	ATP6V1E1	2	226	26144.9	16	0.611974	16	16	0
P36551	CPOX	2	454	50151.3	30	0.59819	30	30	0
P36578	RPL4	2	427	47696.8	27	0.566076	27	30	-0.111111
P36776	LONP1	2	959	106488	52	0.488319	52	51	0.0192308
P36871	PGM1	2	562	61448.3	38	0.618406	38	37	0.0263158
P36873	PPP1CC	2	323	36983.3	18	0.486706	18	19	-0.0555556
P36915	GNL1	2	607	68659.9	36	0.524324	36	37	-0.0277778
P36952	SERPINB5	2	375	42099.8	22	0.522568	22	22	0
P36955	SERPINF1	2	418	46311.4	21	0.453452	21	23	-0.0952381
P36957	DLST	2	453	48754.8	26	0.533281	26	23	0.115385
P36959	GMPR	2	345	37418.5	17	0.454321	17	18	-0.0588235
P37108	SRP14	2	136	14569.8	7	0.480447	7	8	-0.142857
P37198	NUP62	2	522	53254.1	13	0.244113	13	13	0
P37235	HPCAL1	2	193	22312.9	15	0.672257	15	15	0
P37802	TAGLN2	2	199	22391.1	13	0.580587	13	14	-0.0769231
P37837	TALDO1	2	337	37539.5	24	0.639326	24	23	0.0416667
P38117	ETFB	2	255	27843.3	15	0.538729	15	15	0
P38159	RBMX	2	391	42331.4	34	0.803187	34	33	0.0294118
P38435	GGCX	2	758	87559.4	34	0.388308	34	30	0.117647
P38606	ATP6V1A	2	617	68303.2	39	0.570983	39	38	0.025641
P38646	HSPA9	2	679	73679.6	43	0.583608	43	43	0
P38919	EIF4A3	2	411	46870.4	26	0.554721	26	25	0.0384615
P39019	RPS19	2	145	16060.3	12	0.747184	12	12	0
P39023	RPL3	2	403	46108.4	21	0.455448	21	22	-0.047619
P39059	COL15A1	2	1388	141719	50	0.352812	50	46	0.08
P39060	COL18A1	2	1754	178185	73	0.409686	73	61	0.164384
P39656	DDOST	2	456	50800.1	27	0.531495	27	24	0.111111
P39687	ANP32A	2	249	28585.1	11	0.384816	11	11	0
P39748	FEN1	2	380	42592.4	25	0.586959	25	24	0.04
P40123	CAP2	2	477	52823.2	32	0.605795	32	28	0.125
P40222	TXLNA	2	546	61890.2	34	0.54936	34	32	0.0588235
P40227	CCT6A	2	531	58023.4	28	0.482564	28	29	-0.0357143
P40261	NNMT	2	264	29573.6	12	0.405767	12	11	0.0833333
P40337	VHL	2	213	24152.5	5	0.207018	5	6	-0.2
P40429	RPL13A	2	203	23577	17	0.721042	17	17	0
P40616	ARL1	2	181	20417.3	10	0.489781	10	10	0
P40763	STAT3	2	770	88066.5	48	0.545043	48	45	0.0625
P40855	PEX19	2	299	32806	18	0.54868	18	18	0
P40925	MDH1	2	334	36425.7	22	0.60397	22	22	0
P40926	MDH2	2	338	35502.9	24	0.676002	24	24	0
P40937	RFC5	2	340	38496	29	0.753326	29	29	0
P40939	HADHA	2	763	82998.7	45	0.542177	45	44	0.0222222
P41091	EIF2S3	2	472	51108.9	25	0.489152	25	24	0.04
P41218	MNDA	2	407	45835.6	29	0.632696	29	28	0.0344828
P41226	UBA7	2	1012	111692	51	0.456612	51	45	0.117647
P41236	PPP1R2	2	205	23014.8	8	0.347602	8	8	0
P41240	CSK	2	450	50703.8	30	0.591672	30	29	0.0333333
P41250	GARS1	2	739	83164.5	51	0.613243	51	51	0
P41252	IARS1	2	1262	144496	65	0.449839	65	65	0
P41567	EIF1	2	113	12732.3	5	0.392702	5	5	0
P42025	ACTR1B	2	376	42292.8	23	0.543827	23	23	0
P42126	ECI1	2	302	32815.5	15	0.457102	15	14	0.0666667
P42224	STAT1	2	750	87333.4	44	0.503816	44	45	-0.0227273
P42226	STAT6	2	847	94133.5	37	0.393059	37	37	0
P42229	STAT5A	2	794	90645.4	48	0.529536	48	47	0.0208333
P42345	MTOR	2	2549	288887	152	0.526158	152	153	-0.00657895
P42357	HAL	2	657	72696.6	41	0.563988	41	40	0.0243902
P42566	EPS15	2	896	98654.2	49	0.496685	49	48	0.0204082
P42677	RPS27	2	84	9461.06	5	0.528482	5	5	0
P42704	LRPPRC	2	1394	157903	104	0.658633	104	102	0.0192308
P42765	ACAA2	2	397	41923.6	24	0.57247	24	23	0.0416667
P42766	RPL35	2	123	14551.3	5	0.343612	5	6	-0.2
P42898	MTHFR	2	656	74595.5	38	0.509414	38	35	0.0789474
P43007	SLC1A4	2	532	55722.3	22	0.394815	22	20	0.0909091
P43034	PAFAH1B1	2	410	46637.4	26	0.557492	26	27	-0.0384615
P43121	MCAM	2	646	71606.5	36	0.502747	36	35	0.0277778
P43155	CRAT	2	626	70856.5	36	0.508069	36	34	0.0555556
P43243	MATR3	2	847	94621.8	46	0.486146	46	47	-0.0217391
P43246	MSH2	2	934	104742	55	0.525101	55	51	0.0727273
P43251	BTD	2	523	58912.5	21	0.356461	21	21	0
P43304	GPD2	2	727	80851.6	48	0.59368	48	47	0.0208333
P43307	SSR1	2	286	32234.9	11	0.341245	11	10	0.0909091
P43487	RANBP1	2	201	23309.8	11	0.471904	11	9	0.181818
P43490	NAMPT	2	491	55520.5	30	0.540341	30	29	0.0333333
P43652	AFM	2	599	69068.4	41	0.593614	41	41	0
P43686	PSMC4	2	418	47365.5	26	0.548922	26	22	0.153846
P43897	TSFM	2	325	35390.2	20	0.565128	20	20	0
P45378	TNNT3	1	269	31824.1	13	0.408496	13	13	0
P45379	TNNT2	1	298	35923	18	0.501072	18	18	0
P45381	ASPA	2	313	35734.6	20	0.559681	20	17	0.15
P45877	PPIC	2	212	22763.1	12	0.52717	12	8	0.333333
P45880	VDAC2	2	294	31566.2	17	0.538551	17	16	0.0588235
P45954	ACADSB	2	432	47484.8	25	0.526485	25	25	0
P45973	CBX5	2	191	22224.8	12	0.539939	12	12	0
P45974	USP5	2	858	95785	45	0.469802	45	43	0.0444444
P45985	MAP2K4	2	399	44287.2	26	0.587077	26	26	0
P46019	PHKA2	2	1235	138406	66	0.476858	66	65	0.0151515
P46020	PHKA1	2	1223	137310	67	0.487948	67	66	0.0149254
P46060	RANGAP1	2	587	63541.1	32	0.503611	32	31	0.03125
P46063	RECQL	2	649	73456.4	38	0.517314	38	37	0.0263158
P46087	NOP2	2	812	89300.6	40	0.447925	40	42	-0.05
P46108	CRK	2	304	33830.2	19	0.561629	19	18	0.0526316
P46109	CRKL	2	303	33776.5	19	0.562521	19	18	0.0526316
P46199	MTIF2	2	727	81316.3	36	0.442716	36	36	0
P46379	BAG6	2	1132	119407	39	0.326615	39	37	0.0512821
P46459	NSF	2	744	82593.2	55	0.665914	55	51	0.0727273
P46734	MAP2K3	2	347	39317.9	26	0.661276	26	24	0.0769231
P46736	BRCC3	2	316	36071.3	18	0.499011	18	18	0
P46776	RPL27A	2	148	16561.2	8	0.483056	8	8	0
P46777	RPL5	2	297	34362.3	17	0.494728	17	17	0
P46778	RPL21	2	160	18564.7	8	0.430926	8	9	-0.125
P46779	RPL28	2	137	15747.3	9	0.571526	9	11	-0.222222
P46781	RPS9	2	194	22591.1	14	0.619713	14	14	0
P46782	RPS5	2	204	22876.1	10	0.437138	10	10	0
P46783	RPS10	2	165	18897.5	12	0.635004	12	13	-0.0833333
P46821	MAP1B	2	2468	270631	115	0.424933	115	113	0.0173913
P46926	GNPDA1	2	289	32668.1	18	0.550996	18	18	0
P46939	UTRN	2	3433	394459	212	0.537444	212	210	0.00943396
P46940	IQGAP1	2	1657	189249	95	0.501984	95	93	0.0210526
P46976	GYG1	2	350	39383.2	15	0.380873	15	15	0
P46977	STT3A	2	705	80528.5	36	0.447047	36	36	0
P47755	CAPZA2	2	286	32948.6	16	0.485604	16	15	0.0625
P47756	CAPZB	1	272	30628.3	19	0.620341	19	19	0
P47813	EIF1AX	2	144	16460.2	10	0.607525	10	10	0
P47914	RPL29	2	159	17751.8	5	0.281661	5	6	-0.2
P47985	UQCRFS1	2	274	29667.6	15	0.505602	15	16	-0.0666667
P48047	ATP5PO	2	213	23277	14	0.601451	14	14	0
P48059	LIMS1	2	325	37251.1	19	0.510052	19	21	-0.105263
P48163	ME1	2	572	64148.7	32	0.498841	32	30	0.0625
P48444	ARCN1	2	511	57209.7	31	0.541866	31	29	0.0645161
P48449	LSS	2	732	83307.5	39	0.468145	39	37	0.0512821
P48507	GCLM	2	274	30726.5	13	0.423087	13	11	0.153846
P48509	CD151	2	253	28294.8	11	0.388764	11	11	0
P48556	PSMD8	2	350	39611.3	24	0.605888	24	22	0.0833333
P48594	SERPINB4	2	390	44853.4	23	0.512782	23	23	0
P48637	GSS	2	474	52383.9	34	0.649054	34	33	0.0294118
P48643	CCT5	2	541	59670.2	39	0.653592	39	38	0.025641
P48681	NES	2	1621	177436	101	0.569219	101	98	0.029703
P48730	CSNK1D	2	415	47329.4	23	0.485956	23	22	0.0434783
P48735	IDH2	2	452	50908.6	30	0.589291	30	29	0.0333333
P48739	PITPNB	2	271	31539.7	24	0.760946	24	23	0.0416667
P48788	TNNI2	1	182	21338.3	12	0.56237	12	12	0
P49023	PXN	2	591	64504.5	32	0.496089	32	30	0.0625
